name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Domobaal,3 John Street,,,Camden,http://www.domobaal.com/#,10091862142,E09000007,Holborn & Covent Garden,E05013662,51.52109586,-0.113122142,531006.2767000003,181929.03449999914
Eagle Gallery,159 Farringdon Road,,,Islington,http://www.emmahilleagle.com/#,5300033028,E09000019,Clerkenwell,E05013702,51.52365123,-0.108172319,531342.3126999997,182222.05749999918
Work,308 Essex Road,,,Islington,http://workgallery.co.uk/#,10091003649,E09000019,Canonbury,E05013701,51.54232944,-0.08977259,532564.4278999995,184332.2862999998
Catto Gallery,100 Heath Street,,,Camden,http://www.cattogallery.co.uk/#,5010317,E09000007,Hampstead Town,E05013659,51.55799728,-0.17688165,526480.7581000002,185920.44779999927
Orange Dot Gallery,54 Tavistock Place,,,Camden,http://www.orangedotgallery.co.uk/#,5030299,E09000007,Bloomsbury,E05013653,51.52513757,-0.123436662,530279.1923000002,182360.0789999999
Lawrence Alkin Gallery,42 New Compton Street,,,Camden,http://www.lawrencealkingallery.com/#,5066491,E09000007,Holborn & Covent Garden,E05013662,51.51491744,-0.126033366,530128.1834000004,181218.97629999928
Gallery K,101-103 Heath Street,,,Camden,http://www.gallery-k.co.uk/#,5082905,E09000007,Hampstead Town,E05013659,51.55865586,-0.177014019,526469.7576000001,185993.45580000058
Austin/Desmond Fine Art,Pied Bull YardÂ ,68â„69Â Great Russell Street,,Camden,http://austindesmond.com/#,5083316,E09000007,Bloomsbury,E05013653,51.51828276,-0.122767057,530345.2044000002,181599.01019999944
The October Gallery,24 Old Gloucester Street,,,Camden,http://www.octobergallery.co.uk/#,5087208,E09000007,Holborn & Covent Garden,E05013662,51.52018301,-0.120122844,530523.2229000004,181815.02789999917
Rebecca Hossack Gallery 2,"28 Charlotte Street,",,,Camden,http://www.richard-green.com/#,5087275,E09000007,Bloomsbury,E05013653,51.51843425,-0.133385054,529608.1228999998,181597.01490000077
Rebecca Hossack Gallery 1,2a Conway Street,,,Camden,http://www.rebeccahossack.com/#,5087297,E09000007,Bloomsbury,E05013653,51.52153754,-0.137943496,529283.0839999998,181934.0485999994
The Framers Gallery,36 Windmill Street,,,Camden,http://www.theframersgallery.co.uk/#,5087378,E09000007,Bloomsbury,E05013653,51.51839445,-0.132579415,529664.1289999997,181594.0150000006
Beside the Wave,41 Chalcot Road,,,Camden,http://www.beside-the-wave.co.uk/#,5087431,E09000007,Primrose Hill,E05013667,51.53966629,-0.152591987,528215.9512,183924.2385000009
Woolff Gallery,89 Charlotte St,,,Camden,http://www.woolffgallery.co.uk/#,5087726,E09000007,Bloomsbury,E05013653,51.51996059,-0.135485033,529458.1047999999,181763.0320999995
Lahd Gallery,92 Heath Street,,,Camden,http://www.lahdgallery.com/#,5087751,E09000007,Hampstead Town,E05013659,51.55771011,-0.176921991,526478.7576000001,185888.44380000047
The Cob Gallery,205 Royal College Street,,,Camden,http://www.cobgallery.com/#,5087949,E09000007,St Pancras & Somers Town,E05013669,51.54065193,-0.136442133,529333.0767000001,184062.24049999937
Hanmi Gallery,30 Maple Street,,,Camden,http://www.hanmigallery.co.uk/#,5088144,E09000007,Bloomsbury,E05013653,51.52169017,-0.137360609,529323.0882000001,181952.0502000004
Gagosian Gallery 1,6-24 Brittania Street,,,Camden,http://www.gagosian.com/#,5088316,E09000007,King's Cross,E05013666,51.5295938,-0.116418769,530753.2429999998,182868.1196999997
Novelty Automation,1A Princeton Street,,,Camden,http://www.novelty-automation.com/#,5105749,E09000007,Holborn & Covent Garden,E05013662,51.51915264,-0.115321587,530859.2615,181709.01600000076
Charlie Dutton Gallery,1a Princeton Street,,,Camden,http://www.charlieduttongallery.com/#,5105749,E09000007,Holborn & Covent Garden,E05013662,51.51915264,-0.115321587,530859.2615,181709.01600000076
The Gallery at 94,94 Cleveland Street,,,Camden,http://www.galleryat94.com/#,5109564,E09000007,Bloomsbury,E05013653,51.52209411,-0.139578703,529168.0707999999,181993.05489999987
Tristan Hoare,6 Fitzroy Square,,,Camden,http://www.tristanhoare.co.uk/#,5113050,E09000007,Bloomsbury,E05013653,51.52294747,-0.137813889,529288.0833,182091.06310000084
Hardy Tree Gallery,119 Pancras Road,,,Camden,http://hardytreegallery.com/#,5135046,E09000007,King's Cross,E05013666,51.53291576,-0.127298575,529989.1551999999,183218.15850000083
Contemporary Applied Arts,2 Percy Street,,,Camden,http://www.caa.org.uk/#,5159812,E09000007,Bloomsbury,E05013653,51.51740282,-0.132432584,529677.1315000001,181484.0044999998
The Crypt Gallery,St Pancras Church,Euston Road,,Camden,http://cryptgallery.org.uk/#,5188543,E09000007,Bloomsbury,E05013653,51.52656883,-0.128582733,529918.1509999996,182510.09589999914
CubeFuture,33 Fournier Street,,,Tower Hamlets,http://www.cubefuture.com/#,6001683,E09000030,Spitalfields & Banglatown,E05009333,51.51883799,-0.071078384,533929.5930000003,181754.0404000003
Eleven Spitalfields,11 Princelet Street,,,Tower Hamlets,http://www.elevenspitalfields.com/#,6001684,E09000030,Spitalfields & Banglatown,E05009333,51.51934484,-0.071273203,533914.5909000002,181810.04609999992
Leyden Gallery,9/9a Leyden Street,,,Tower Hamlets,http://www.leydengallery.com/#,6001837,E09000030,Spitalfields & Banglatown,E05009333,51.51638732,-0.074641529,533689.5707,181475.00630000047
Brick Lane Gallery,216 Brick Lane,,,Tower Hamlets,http://www.thebricklanegallery.com/#,6002804,E09000030,Weavers,E05009335,51.52397045,-0.069808992,534002.5950999996,182327.10089999996
Espacio Gallery,159 Bethl Green Road,,,Tower Hamlets,http://www.espaciogallery.com/#,6005162,E09000030,Weavers,E05009335,51.52509833,-0.068939478,534059.5997000001,182454.1157000009
Whitechapel Gallery,77-82 Whitechapel High Street,,,Tower Hamlets,http://www.whitechapel.org/#,6011122,E09000030,Whitechapel,E05009336,51.51566133,-0.068776522,534098.6140000001,181405.00799999945
The Mews Project Space,15c Osborn Street,,,Tower Hamlets,http://the-mews-about.blogspot.co.uk/#,6015759,E09000030,Whitechapel,E05009336,51.51591746,-0.068491805,534117.6157999998,181434.0117000006
Stolenspace Gallery,"17 Osborn St,",,,Tower Hamlets,https://www.stolenspace.com/#,6015771,E09000030,Whitechapel,E05009336,51.51596334,-0.068547523,534113.6152999997,181439.0114999991
Maureen Paley,21 Herald Street,,,Tower Hamlets,http://www.maureenpaley.com/#,6015931,E09000030,Bethnal Green,E05009317,51.52474415,-0.054393817,535069.6240999997,182441.49269999936
Arebyte,Unit 4,49 White Post Lane,,Tower Hamlets,http://www.arebyte.com/#,6077533,E09000030,Bow East,E05009319,51.5423738,-0.021909521,537269.9404999996,184462.3161999993
Proof London,26 Cheshire Street,,,Tower Hamlets,http://prooflondon.com/#,6089640,E09000030,Spitalfields & Banglatown,E05009333,51.52293991,-0.06880071,534075.5636999998,182214.35080000013
Vilma Gold,6 Minerva Street,,,Tower Hamlets,http://vilmagold.com/#,6143359,E09000030,St Peter's,E05009331,51.53108925,-0.05811634,534792.6672,183140.22159999982
Modern Art 2,50-58 Vyner Street,,,Tower Hamlets,http://www.modernart.net/#,6146632,E09000030,St Peter's,E05009331,51.53411007,-0.053171278,535126.6986999996,183485.27470000088
Forman's Smokehouse Gallery,Stour Road,Fish Island,,Tower Hamlets,http://smokehousegallery.org/#,6151026,E09000030,Bow East,E05009319,51.53911538,-0.019611746,537439.0794000002,184104.2829
The Alexander Miles Gallery,"Unit K, The Ivory House",St.Katharine Docks,,Tower Hamlets,http://www.thealexandermilesgallery.com/,6155400,E09000030,St Katharine's & Wapping,E05009330,51.50691545,-0.069622013,534065.6195999999,180430.90670000017
Calvert 22,22 Calvert Avenue,,,Tower Hamlets,http://calvert22.org/#,6159644,E09000030,Weavers,E05009335,51.5255732,-0.074645584,533662.3980999999,182496.48120000027
Breese Little,Unit 1,249-253 Cambridge Heath Road,,Tower Hamlets,http://www.breeselittle.com/#,6161973,E09000030,Bethnal Green,E05009317,51.5252217,-0.053964425,535097.9961999999,182495.39130000025
Public Exhibitions,"Black Gates,",Hassard Street,,Tower Hamlets,http://publicexhibitions.biz/#,6178041,E09000030,Weavers,E05009335,51.53014439,-0.070705406,533922.2997000003,183012.01329999976
Union Gallery,94 Teesdale Street,,,Tower Hamlets,http://www.union-gallery.com/#,6178788,E09000030,St Peter's,E05009331,51.52930433,-0.059732984,534685.8084000004,182938.75100000016
Cell Project Space,258 Cambridge Heath Road,,,Tower Hamlets,http://www.cellprojects.org/#,6180728,E09000030,St Peter's,E05009331,51.53276995,-0.055015701,535002.7470000004,183332.84310000017
Unit 9,The Huntingdon Estate,Ebor St / Bethl Green Rd,,Tower Hamlets,http://www.unit9.london/#,6210892,E09000030,Weavers,E05009335,51.52356848,-0.073257295,533764.5707999999,182276.09090000018
Raven Row,56 Artillery Lane,,,Tower Hamlets,http://www.ravenrow.org/#,6653355,E09000030,Spitalfields & Banglatown,E05009333,51.51764768,-0.075265891,533642.5645000003,181614.01940000057
Studio 106,106 Dawes Road,,,Hammersmith and Fulham,http://www.studio106artgallery.org/#,34055693,E09000013,Walham Green,E05013749,51.4799865,-0.20243497,524922.6256999997,177201.6216000002
Louise T Blouin Institute,3 Olaf Street,,,Kensington and Chelsea,http://www.ltbfoundation.org/#,34115265,E09000020,Notting Dale,E05009399,51.50957828,-0.216187306,523887.5053000003,180468.94260000065
Hidde van Seggelen Gallery,2 Michael Road,,,Hammersmith and Fulham,http://www.hiddevanseggelen.com/#,34144768,E09000013,Parsons Green & Sandford,E05013745,51.47707611,-0.186894072,526009.7357000001,176904.58239999972
The Cynthia Corbett Gallery,15 Claremont Lodge,,,Merton,http://www.thecynthiacorbettgallery.com/#,48022286,E09000024,Raynes Park,E05013823,51.41499765,-0.221209569,523794.4249999998,169942.9592000004
Bank of England Museum,Bartholomew Lane,,,City of London,http://www.bankofengland.co.uk/education/Pages/museum/visiting/default.aspx#,95511162,E09000001,Cornhill,E05009301,51.51372411,-0.086112163,532901.4908999996,181157.9600000009
Carter Lane Gallery,49 Carter Lane,,,City of London,http://www.carterlanegallery.com/#,95514285,E09000001,Castle Baynard,E05009297,51.51242821,-0.098778453,532026.3967000004,180990.93950000033
Pumphouse Gallery,Battersea Park,,,Wandsworth,http://pumphousegallery.org.uk/#,121032970,E09000032,Battersea Park,E05014010,51.47848393,-0.153207646,528344.9912999999,177119.5901999995
Brent Artists Resource,4â„5Â Queenâ€™s Parade,,,Brent,http://www.brentartistsresource.org.uk/#,202054057,E09000005,Willesden Green,E05013517,51.5471635,-0.22221816,523367.4036999997,184638.33449999988
Crane Kalman,178 Brompton Road,,,Kensington and Chelsea,http://cranekalman.com/#,217007694,E09000020,Brompton & Hans Town,E05009389,51.49745899,-0.165725579,527422.9053999996,179207.80360000022
Hollywood Road Gallery,12 Hollywood Road,,,Kensington and Chelsea,http://www.hollywoodroadgallery.com/#,217040769,E09000020,Redcliffe,E05009402,51.48552552,-0.183116086,526248.7834999999,177850.68119999953
The Rowley Gallery,115 Kensington Church Street,,,Kensington and Chelsea,http://www.rowleygallery.co.uk/#,217043176,E09000020,Campden,E05009390,51.50626751,-0.193200542,525491.6852000002,180139.9023000002
Japanese Gallery,66D Kensington Church St,,,Kensington and Chelsea,http://www.japanese-gallery.com/#,217043283,E09000020,Campden,E05009390,51.50481322,-0.192206067,525564.6946,179979.8864999991
Northcote Gallery Chelsea,253 Kingâ€™s Road,,,Kensington and Chelsea,http://www.northcotegallery.com/#,217046439,E09000020,Chelsea Riverside,E05009391,51.48553399,-0.170416849,527130.4385000002,177873.57719999924
Museum of Brands,111-117 Lancaster Road,,,Kensington and Chelsea,http://www.museumofbrands.com/#,217050374,E09000020,Notting Dale,E05009399,51.51586215,-0.209527314,524332.5477,181179.00650000013
James Harvey British Art,15 Langton Street,,,Kensington and Chelsea,http://www.jhba.co.uk/#,217051631,E09000020,Chelsea Riverside,E05009391,51.48184261,-0.179344634,526520.8032999998,177447.63599999994
Doyle Devere,30 Ledbury Road,,,Kensington and Chelsea,http://www.doyledevere.co.uk/#,217052558,E09000020,Pembridge,E05009400,51.51336221,-0.1972151,525193.6458,180921.97800000012
Tryon St,7-9 Tryon Street,,,Kensington and Chelsea,http://www.tryonst.co.uk/#,217087920,E09000020,Royal Hospital,E05009403,51.48981789,-0.161350241,527747.9447999997,178365.72130000032
Lacey Contemporary,8 Clarendon Cross,,,Kensington and Chelsea,http://www.laceycontemporarygallery.co.uk/#,217103015,E09000020,Norland,E05009398,51.50998432,-0.208604785,524412.5630999999,180526.94539999962
The Dot Project,94 Fulham Road,,,Kensington and Chelsea,http://www.thedotproject.com/#,217103153,E09000020,Stanley,E05009405,51.48928315,-0.17374671,526888.8521999996,178284.7184999995
Offer Waterman & Co,11 Langton Street,,,Kensington and Chelsea,http://www.waterman.co.uk/#,217103621,E09000020,Chelsea Riverside,E05009391,51.48177813,-0.179246376,526527.8037999999,177440.63529999927
Cadogan Contemporary,87 Old Brompton Road,,,Kensington and Chelsea,http://www.cadogancontemporary.com/#,217103741,E09000020,Courtfield,E05009393,51.49200577,-0.175323519,526771.8382000001,178584.74880000018
The Muse,269 Portobello Rd,,,Kensington and Chelsea,http://themuseat269.com/#,217103948,E09000020,Colville,E05009392,51.51742491,-0.205271243,524623.5783000002,181360.0214000009
GGGallery,15b Blenheim Crescent,,,Kensington and Chelsea,http://www.gggallery.co.uk/#,217106096,E09000020,Colville,E05009392,51.51514051,-0.204092588,524711.5904999999,181107.99719999917
Richard Young Gallery,4 Holland Street,,,Kensington and Chelsea,http://www.richardyounggallery.co.uk/#,217106179,E09000020,Campden,E05009390,51.50280048,-0.190550283,525685.1398,179758.9054000005
Hackelbury,4 Launceston Place,,,Kensington and Chelsea,http://www.hackelbury.co.uk/#,217106588,E09000020,Queen's Gate,E05009401,51.49852225,-0.183766347,526167.7670999998,179294.8189000003
Richard Green 2,33 New Bond Street,,,Westminster,http://www.richard-green.com/#,10033538913,E09000033,West End,E05013808,51.51123753,-0.142044713,529027.6667999998,180781.4428000003
The Foundry Gallery,39 Old Church Street,,,Kensington and Chelsea,http://www.thefoundrygallery.org/#,217106994,E09000020,Chelsea Riverside,E05009391,51.48387629,-0.170750556,527111.8722999999,177688.6579
The Little Black Gallery,13A Park Walk,,,Kensington and Chelsea,http://www.thelittleblackgallery.com/#,217107061,E09000020,Stanley,E05009405,51.48540507,-0.17825199,526586.8196,177845.67769999988
Saatchi Gallery,Duke of York's HQ,King's Road,,Kensington and Chelsea,http://www.saatchi-gallery.co.uk/#,217110596,E09000020,Royal Hospital,E05009403,51.49009321,-0.157118058,528040.9764,178403.7240999993
Graffik Gallery,284 Portobello Road,,,Kensington and Chelsea,http://graffikgallery.com/#,217113237,E09000020,Colville,E05009392,51.51884574,-0.205849663,524579.5718999999,181517.03690000065
Flying Colours Gallery,6 Burnsall Street,,,Kensington and Chelsea,http://www.flyingcoloursgallery.com/#,217115299,E09000020,Royal Hospital,E05009403,51.48830408,-0.164609267,527525.9212999996,178191.70680000074
Michael Hoppen Gallery,3 Jubilee Place,,,Kensington and Chelsea,http://www.michaelhoppengallery.com/#,217120296,E09000020,Royal Hospital,E05009403,51.48845439,-0.164444764,527536.9223999996,178208.7076999992
Dreamspace Gallery,3 Dufferin Street,,,Islington,https://adremgroup.com/dreamspace-gallery/#,5300028758,E09000019,Bunhill,E05013699,51.522075,-0.09082227,532550.4457,182078.04649999924
Bloomberg Space,50 Finsbury Square,,,City of London,http://www.bloombergspace.com/#,5300033404,E09000001,Bishopsgate,E05009292,51.51948888,-0.085553305,532923.4874,181800.02419999987
Arcade,87 Lever Street,,,Islington,http://arcadefinearts.com/#,5300056285,E09000019,Bunhill,E05013699,51.52650211,-0.09483273,532259.4112999998,182563.0901999995
Sway Gallery,70-72 Old Street,,,Islington,http://www.sway-gallery.com/#,5300069554,E09000019,Bunhill,E05013699,51.52372993,-0.093593237,532353.4236000003,182257.06110000052
Islington Arts Factory,2 Parkhurst Rd,,,Islington,http://www.islingtonartsfactory.org/#,5300075947,E09000019,Holloway,E05013706,51.55371125,-0.121265295,530348.1821999997,185541.3677999992
James Freeman Gallery,354 Upper Street,,,Islington,http://www.sesameart.com/#,5300095173,E09000019,St Peter's & Canalside,E05013711,51.53409791,-0.102922698,531676.3414000003,183393.16840000078
Curious Duke Gallery,173 Whitecross Street,,,Islington,http://curiousdukegallery.com/#,5300102398,E09000019,Bunhill,E05013699,51.52317249,-0.091944142,532469.4363000002,182198.05729999952
Space Station 65,373 Kennington Road,,,Lambeth,http://spacestationsixtyfive.com/#,10000445110,E09000022,Kennington,E05014105,51.48601134,-0.109183494,531380.3370000003,178034.66589999944
CGP London,1 Park Approach,Southwark Park,,Southwark,http://cgplondon.org/#,10000811263,E09000028,Rotherhithe,E05011112,51.49363345,-0.052317588,535305.7708,178985.76369999908
Purdy Hicks,65 Hopton Street,,,Southwark,http://www.purdyhicks.com/#,10000811558,E09000028,Borough & Bankside,E05011095,51.50695993,-0.100432908,531927.3893999998,180379.88570000045
Sprout Community Arts,74 Moyser Road,,,Wandsworth,http://www.sproutarts.com/#,10008157629,E09000032,Furzedown,E05014013,51.42351214,-0.145628394,529025.9699999997,171019.98900000006
Flowers Gallery East,82 Kingsland Road,,,Hackney,http://www.flowersgallery.com/#,10008242588,E09000012,Haggerston,E05009375,51.52913735,-0.075559892,533588.5467999997,182891.14990000054
Parasol unit,14 Wharf Road,,,Hackney,http://www.parasol-unit.org/#,10008244219,E09000012,Hoxton West,E05009378,51.52986692,-0.093424071,532347.3673999999,182939.80959999934
Five Years,"Unit 66, Regent Studios",8 Andrews Road,,Hackney,http://www.fiveyears.org.uk/#,10008244601,E09000012,London Fields,E05009381,51.53499195,-0.058627996,534745.6577000003,183573.27569999918
Rocket Gallery,56 Shoreditch High Street,,,Tower Hamlets,http://www.rocketgallery.com/#,10008304903,E09000030,Weavers,E05009335,51.52356281,-0.07510294,533636.5575000001,182272.08750000037
Hoxton Art Gallery,64 Charlotte Road,,,Hackney,http://www.hoxtonartgallery.co.uk/#,10008317965,E09000012,Hoxton East & Shoreditch,E05009377,51.52579324,-0.079492834,533325.5230999999,182512.10510000028
Galerie8,203 Richmond Road,,,Hackney,http://www.galerie8.co.uk/#,10008325659,E09000012,London Fields,E05009381,51.54308574,-0.055499462,534938.7096999995,184479.09410000034
The Proud Archivist,"The Archivist, Unit V Reliance Wharf",2-10 Hertford Road,,Hackney,http://www.theproudarchivist.co.uk/#,10008329599,E09000012,Haggerston,E05009375,51.53675409,-0.077120569,533458.0236999998,183735.3077000007
Charlie Smith,336 Old Street,,,Hackney,http://charliesmithlondon.com/#,10008336390,E09000012,Hoxton East & Shoreditch,E05009377,51.52607799,-0.079855719,533299.5201000003,182543.1085000001
Unit G Gallery,12A Collent Street,,,Hackney,http://unitg.london/gallery/#,10008339282,E09000012,Hackney Wick,E05009374,51.54353673,-0.046037109,535593.4771999996,184546.71800000034
BSMT Space,5d Stoke Newington Road,,,Hackney,http://www.bsmt.co.uk/#,10008342181,E09000012,Dalston,E05009370,51.55027066,-0.073816911,533647.5640000002,185244.43319999985
Modern Art 1,4-8 Helmet Row,,,Islington,http://www.modernart.net/#,10008977815,E09000019,Bunhill,E05013699,51.52452873,-0.092939916,532396.4274000004,182347.0708000008
Vibe Gallery,100 Clementâ€™s Road,,,Southwark,https://www.thegalleryguide.co.uk/galleries/vibe-gallery,10009799375,E09000028,North Bermondsey,E05011106,51.4942482,-0.060648022,534725.7061000001,179038.76429999992
All Visual Arts,2 Omega Place,,,Islington,http://www.allvisualarts.org/,10012789978,E09000019,Clerkenwell,E05013702,51.5309543,-0.118813917,530583.2230000002,183015.13529999927
Cubitt Gallery,8 Angel Mews,,,Islington,http://cubittartists.org.uk/#,10012791474,E09000019,Clerkenwell,E05013702,51.53184051,-0.106261015,531451.3187999995,183136.1423000004
Unit 24,20 Great Guildford Street,,,Southwark,http://unit24.info/#,10013527858,E09000028,Borough & Bankside,E05011095,51.505427,-0.096302938,532218.4226000002,180216.86959999986
Vitrine,15 Bermondsey Square,,,Southwark,http://www.vitrinegallery.co.uk/#,10013529059,E09000028,London Bridge & West Bermondsey,E05011104,51.49687761,-0.079165688,533432.6530999998,179297.25119999982
Horatio Jr,"The Lord Nelson, 66 Canon Beck Road",,,Southwark,http://www.horatiojr.com/#,10013529797,E09000028,Rotherhithe,E05011112,51.50063633,-0.047934029,535589.2721999995,179772.59259999916
The Wandsworth Museum,38 West Hill,,,Wandsworth,http://www.wandsworthmuseum.co.uk/#,10024086836,E09000032,East Putney,E05014011,51.45662105,-0.198904848,525231.6242000004,174609.37700000033
Skarstedt Gallery,8 Bennet Street,,,Westminster,http://www.skarstedt.com/#,10033524577,E09000033,St James's,E05013806,51.50660747,-0.13902792,529250.0958000002,180271.8928999994
Scream,27 - 28 Eastcastle Street,,,Westminster,http://www.screamlondon.com/#,10033525838,E09000033,West End,E05013808,51.51620658,-0.136950107,529367.0987999998,181342.99300000072
Ben Brown Fine Arts,12 Brookâ€™s Mews,,,Westminster,http://www.benbrownfinearts.com/#,10033526904,E09000033,West End,E05013808,51.51189141,-0.144433792,528860.0477999998,180849.94969999976
Marlborough Fine Art,6 Albemarle Street,,,Westminster,http://www.marlboroughfineart.com/#,10033528809,E09000033,St James's,E05013806,51.50805031,-0.139271776,529229.0921,180431.90809999965
Messum's,28 Cork Street,,,Westminster,http://www.messums.com/#,10033532792,E09000033,West End,E05013808,51.50996577,-0.139827885,529185.0853000004,180643.92860000022
Serpentine Gallery,Kensington Gardens,,,Westminster,http://www.serpentinegallery.org/#,10033534401,E09000033,Knightsbridge & Belgravia,E05013797,51.50427907,-0.173406528,526870.8383,179952.8764999993
Frith Street Gallery,17-18 Golden Square,,,Westminster,http://www.frithstreetgallery.com/#,10033534803,E09000033,West End,E05013808,51.51068715,-0.135416932,529489.1178000001,180731.93500000052
Sprovieri,23 Heddon Street,,,Westminster,http://www.sprovieri.com/london/#,10033536350,E09000033,West End,E05013808,51.51061608,-0.138302438,529289.0960999997,180718.93510000035
Berloni,63 Margaret Street,,,Westminster,http://www.berlonigallery.com/#,10033537907,E09000033,West End,E05013808,51.51613516,-0.138682793,529247.0856999997,181331.99230000004
Chelsea Space,Chelsea College of Arts,16 John Islip Street,,Westminster,http://www.chelseaspace.org/#,10033538283,E09000033,Vincent Square,E05013807,51.48992522,-0.126655127,530156.2063999996,178438.71380000003
Olivier Malingue,1st Floor,143 New Bond St,,Westminster,http://oliviermalingue.com/#,10033538864,E09000033,West End,E05013808,51.5109879,-0.142467085,528999.0640000002,180752.9397
Richard Green 1,147 New Bond Street,,,Westminster,http://www.richard-green.com/#,10033538867,E09000033,West End,E05013808,51.51080518,-0.142287149,529012.0656000003,180732.93789999932
White Cube,25-26 Masonâ€™s Yard,,,Westminster,http://whitecube.com/#,10033550744,E09000033,St James's,E05013806,51.50710128,-0.135577762,529488.1213999996,180332.89800000004
Willow Gallery,40 - 41 Duke Street,St James's,,Westminster,http://www.willowgallery.com/#,10033555200,E09000033,St James's,E05013806,51.50683819,-0.136402051,529431.6655000001,180302.18539999984
Blain Southern,4 Hanover Square,,,Westminster,http://www.blainsouthern.com/#,10033556658,E09000033,West End,E05013808,51.51334583,-0.141434251,529064.0686999997,181016.96380000003
Albemarle Gallery,49 Albemarle Street,,,Westminster,http://www.albemarlegallery.com/#,10033567550,E09000033,St James's,E05013806,51.5075163,-0.139625012,529206.0900999997,180371.90249999985
Rosenfeld Porcini,37 Rathbone Street,,,Westminster,http://rosenfeldporcini.com/#,10033569652,E09000033,West End,E05013808,51.5180099,-0.134411482,529538.1156000001,181548.01099999994
Lisson Gallery 1,67 Lisson St,Marylebone,,Westminster,http://www.lissongallery.com/#,10033571495,E09000033,Hyde Park,E05013796,51.52057634,-0.166555495,527300.8684999999,181777.04560000077
London Print Studio,425 Harrow Rd,,,Westminster,http://www.londonprintstudio.org.uk/#,10033572217,E09000033,Harrow Road,E05013795,51.52517449,-0.203914024,524696.5778999999,182224.10199999996
Eykyn Maclean,30 St George Street,,,Westminster,http://www.eykynmaclean.com/#,10033579746,E09000033,West End,E05013808,51.51187604,-0.1411914,529085.0724999998,180853.94930000044
Laurent Delaye Gallery,11 Savile Row,,,Westminster,http://www.laurentdelaye.com/#,10033580791,E09000033,West End,E05013808,51.5104559,-0.13840986,529282.0954,180700.93329999968
Pyms Gallery,9 Mount Street,,,Westminster,http://www.pymsgallery.com/#,10033584285,E09000033,West End,E05013808,51.5098081,-0.146910969,528694.0317000002,180613.9280999992
Imitate Modern,19 Shepherd Market,,,Westminster,http://imitatemodern.com/#,10033585747,E09000033,West End,E05013808,51.50592343,-0.145238341,528821.0494999997,180184.88790000044
