Year,Month,Zone,WasteType,District,Name,Total
2021,January,1,Rest,1,Centro,"3477,92"
2021,January,1,Rest,6,Tetuán,"2701,32"
2021,January,1,Rest,7,Chamberí,"2403,34"
2021,January,1,Rest,8,Fuencarral - El Pardo,"4017,66"
2021,January,1,Rest,9,Moncloa - Aravaca,"2873,78"
2021,January,1,Rest,10,Latina,"4140,12"
2021,January,1,Packaging,1,Centro,"189,1"
2021,January,1,Packaging,6,Tetuán,"255,4"
2021,January,1,Packaging,7,Chamberí,"212,94"
2021,January,1,Packaging,8,Fuencarral - El Pardo,"511,12"
2021,January,1,Packaging,9,Moncloa - Aravaca,"231,74"
2021,January,1,Packaging,10,Latina,"388,32"
2021,January,1,Glass,1,Centro,"485,1"
2021,January,1,Glass,6,Tetuán,"225,56"
2021,January,1,Glass,7,Chamberí,"225,28"
2021,January,1,Glass,8,Fuencarral - El Pardo,"440,3"
2021,January,1,Glass,9,Moncloa - Aravaca,"207,18"
2021,January,1,Glass,10,Latina,"223,04"
2021,January,1,Commercial Glass,1,Centro,"20,08"
2021,January,1,Clinicians,1,Centro,"142,62"
2021,January,1,Clinicians,6,Tetuán,"12,92"
2021,January,1,Clinicians,8,Fuencarral - El Pardo,"271,96"
2021,January,1,Clinicians,9,Moncloa - Aravaca,"210,3"
2021,January,1,Clinicians,10,Latina,"21,74"
2021,January,1,Organic,1,Centro,"399,22"
2021,January,1,Organic,6,Tetuán,"538,04"
2021,January,1,Organic,7,Chamberí,"523,76"
2021,January,1,Organic,8,Fuencarral - El Pardo,"1013,38"
2021,January,1,Organic,9,Moncloa - Aravaca,"618,82"
2021,January,1,Organic,10,Latina,"838,08"
2021,January,1,Paper,1,Centro,"320,59"
2021,January,1,Paper,6,Tetuán,"315,24"
2021,January,1,Paper,7,Chamberí,"268,95"
2021,January,1,Paper,8,Fuencarral - El Pardo,"582,79"
2021,January,1,Paper,9,Moncloa - Aravaca,"252,85"
2021,January,1,Paper,10,Latina,"317,05"
2021,January,1,Commercial paper,1,Centro,"94,32"
2021,January,1,Commercial paper,6,Tetuán,"56,2"
2021,January,1,Commercial paper,7,Chamberí,"62,2"
2021,January,1,Commercial paper,8,Fuencarral - El Pardo,"1,6"
2021,January,1,Commercial paper,9,Moncloa - Aravaca,"1,68"
2021,January,1,Commercial paper,10,Latina,"3,38"
2021,January,1,CDW,1,Centro,"56,795"
2021,January,1,CDW,6,Tetuán,"33,08"
2021,January,1,CDW,7,Chamberí,"34,83"
2021,January,1,CDW,8,Fuencarral - El Pardo,"59,325"
2021,January,1,CDW,9,Moncloa - Aravaca,"180,275"
2021,January,1,CDW,10,Latina,"51,44"
2021,January,1, Clean points,8,Fuencarral - El Pardo,"92,68"
2021,January,1, Clean points,9,Moncloa - Aravaca,"170,6"
2021,January,1, Clean points,10,Latina,"146,08"
2021,January,1,Clothing containers,10,Latina,"0,18"
2021,January,1,Horse bed,9,Moncloa - Aravaca,"54,45"
2021,January,2,Rest,3,Retiro,"1816,36"
2021,January,2,Rest,4,Salamanca,"2642,92"
2021,January,2,Rest,5,Chamartín,"2513,56"
2021,January,2,Rest,14,Moratalaz,1461
2021,January,2,Rest,15,Ciudad Lineal,"3582,04"
2021,January,2,Rest,16,Hortaleza,"3416,4"
2021,January,2,Rest,19,Vicálvaro,"1877,86"
2021,January,2,Rest,20,San Blas - Canillejas,"2696,5"
2021,January,2,Rest,21,Barajas,"958,86"
2021,January,2,Packaging,3,Retiro,171
2021,January,2,Packaging,4,Salamanca,"198,58"
2021,January,2,Packaging,5,Chamartín,"212,5"
2021,January,2,Packaging,14,Moratalaz,"196,9"
2021,January,2,Packaging,15,Ciudad Lineal,"429,3"
2021,January,2,Packaging,16,Hortaleza,"383,36"
2021,January,2,Packaging,19,Vicálvaro,"146,9"
2021,January,2,Packaging,20,San Blas - Canillejas,"315,58"
2021,January,2,Packaging,21,Barajas,"113,24"
2021,January,2,Glass,3,Retiro,"324,34"
2021,January,2,Glass,4,Salamanca,"214,58"
2021,January,2,Glass,5,Chamartín,"299,5"
2021,January,2,Glass,14,Moratalaz,"248,26"
2021,January,2,Glass,15,Ciudad Lineal,"153,1"
2021,January,2,Glass,16,Hortaleza,"179,86"
2021,January,2,Glass,19,Vicálvaro,"139,52"
2021,January,2,Glass,20,San Blas - Canillejas,"154,5"
2021,January,2,Glass,21,Barajas,"152,16"
2021,January,2,Commercial Glass,4,Salamanca,"26,96"
2021,January,2,Clinicians,3,Retiro,"176,66"
