PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
5989871;"Auditorio Carmen Laforet (Ciudad Lineal)";"Ubicado en el Centro de Mayores Carmen Laforet";"De lunes a sábado, de 9 a 21 horas.";"Aforo: 190 personas Zona wifi";"Metro: Pinar de Chamartín (líneas 1, 4 y línea 1 metro ligero)  Bus: 29, 125, 129, 150";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fca22248514ae210VgnVCM1000000b205a0aRCRD";"JAZMIN";"CALLE";"V";"46";"";"";"";"";"MADRID";"MADRID";"28033";"9";"COSTILLARES";"15";"CIUDAD LINEAL";"443573";"4481211";"40.47967249471556";"-3.6657243894913565";"913 831 456";"";"cscsiena@madrid.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
1881;"Biblioteca Histórica Municipal";"El origen de la Biblioteca Histórica Municipal fue la formación de una colección de libros sobre Madrid. Creada como Biblioteca Municipal en 1876 a iniciativa de Ramón de Mesonero Romanos, en 1990 recibe la denominación de Histórica y se constituye en un centro para la investigación. Su principal objetivo es la protección del legado patrimonial bibliográfico municipal y su difusión. Entre sus colecciones especiales están las siguientes: Madrid, Teatro y Música (manuscritos e impresos de los siglos XVII a XIX), Bio-bibliografía (colección Beltrán), Paremiología, Raros, Veterinaria, Guerra Civil Española (colección Tomás Borrás), Lope de Vega, Cervantes y Toros.";"Horario general: de lunes a viernes, de 8:30 horas a 14:30 horas. Ampliación de horario general: de lunes a jueves, de 14:30 a 17:00 horas, a través de cita previa en el correo electrónico: bibliotecah@madrid.es  Horario de verano (del 15 de junio al 15 de septiembre) y semana de San Isidro: de lunes a viernes, de 8:30 a 13:30 horas. Ampliación de horario de verano: de lunes a jueves, de 13:30 a 15:30 horas, a través de cita previa en el correo electrónico: bibliotecah@madrid.es Cerrada: festivos y los días 24 y 31 de diciembre.";"Los servicios que se prestan son los siguientes:  Préstamo en Sala de investigación. Consulta de la colección de referencia en la Sala de investigación.  Petición anticipada de documentos. Información bibliográfica por correo postal, correo electrónico y teléfono.  Reprografía.   Catálogo en línea    Requisitos: Ser mayor de edad y tener carné de la biblioteca.";"Metro: San Bernardo , Ventura Rodríguez , Plaza España, Noviciado Bus: 1 , 2 , 7 , 21 , 44 , 74 , 147 , Circular, Minibús M-2 BICIMAD: Estación 13 (calle Conde Duque 22)";"Directorio:    Dirección Teléfono: 91 588 57 44Correo electrónico bibliotecah@madrid.es   Negociado Administrativo / Secretaría  Teléfono: 91 3716489  Sección de Información y Referencia Teléfono: 91 4800557Correo electrónico bibliotecah@madrid.es   Sección de Gestión de la Colección Correo electrónico: bibliotecah@madrid.es";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ccbc3d0b5e71c010VgnVCM1000000b205a0aRCRD";"CONDE DUQUE";"CALLE";"V";"9";"";"";"";"";"MADRID";"MADRID";"28015";"5";"UNIVERSIDAD";"1";"CENTRO";"439723";"4475437";"40.42737760210632";"-3.7106116887809817";"913716489";"";"bibliotecah@madrid.es";"/contenido/entidadesYorganismos/BibliotecasEspecializadasUniversitarias"; 
6779450;"Biblioteca Musical Víctor Espinós";"Fundada en 1919 a propuesta de Víctor Espinós como Biblioteca Musical Circulante, es un centro creado para la difusión y fomento de la educación musical. Esta institución centenaria ha tenido desde su origen un marcado carácter de servicio público, combinando su especialización en música y su apertura a toda la ciudadanía. En 1932  gracias al empeño de Espinós, se inicia un servicio pionero de préstamo de instrumentos para facilitar el estudio y aprendizaje de música. A éste se añade otro servicio también muy valorado por los usuarios, las cabinas de ensayo, en las que se puede practicar individualmente o en grupo con distintos instrumentos propios o de la biblioteca. La institución también custodia y preserva interesantes colecciones, muy valoradas por investigadores nacionales e internacionales.";"Horario general:    Horario de atención al público: de lunes a viernes de 8:30 a 21 horas.  Horario  de cabinas de ensayo: de 9 a 20 horas.   Horario de verano:    Horario de atención al público: de lunes a viernes de 8:30 a 20 horas.  Horario  de cabinas de ensayo: de 9 a 20 horas.  Cerrado festivos y los días 24 y 31 de diciembre.";"Espacios:  Sala de consulta y lectura; cabinas de ensayo (con cita previa); sala polivalente.   Servicios:   Préstamo de libros, partituras, multimedia y revistas; Consulta y reproducción de fondo antiguo; Préstamo de instrumentos (con cita previa); Zona WiFi; Información bibliográfica; Formación de usuarios; Reprografía";"Metro: Ventura Rodríguez, Plaza de España, San Bernardo y Noviciado. Bus: 1 , 2 , 7 , 21 , 44 , 74 , 147 , Circular, Minibús M-2 Bicimad: Estación 13. Calle Conde Duque n&amp;ordm;22.";"Directorio:      Dirección:  Tfno: 91 513 36 81  Préstamo de Instrumentos Teléfono: 91 526 77 09  Información bibliográfica Teléfono: 91 588 57 60  Gestión económica y administrativa Teléfono: 91 588 57 53Teléfono: 91 480 13 44   Mostrador de préstamo / Cabinas de ensayo   Teléfonos: 91 588 57 60 / 91 588 57 39";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d482270f58c6c310VgnVCM2000000c205a0aRCRD";"CONDE DUQUE";"CALLE";"V";"9";"";"";"";"";"MADRID";"MADRID";"28015";"5";"UNIVERSIDAD";"1";"CENTRO";"439723";"4475437";"40.42737760210632";"-3.7106116887809817";"91 588 57 60";"";"bibliomusical@madrid.es";"/contenido/entidadesYorganismos/BibliotecasEspecializadasUniversitarias"; 
1757;"Biblioteca Pública Municipal Aluche (Latina)";"La Biblioteca Pública de Aluche se inauguró en junio de 1992 con la asistencia del entonces alcalde Don José María Alvarez del Manzano. Se sitúa en la primera planta del Centro Cultural Fernando de los Ríos, diseñado por el arquitecto José María Guijarro. Desde 1986 y hasta la fecha de su inauguración oficial, se encontraba situada en este mismo centro cultural y planta pero en el ala derecha del edificio y con la mitad de superficie. La ubicación de la biblioteca en el centro cultural en la década de los 80  se decidió porque éste era considerado un elemento aglutinador de la vida asociativa y cultural de los distritos.";"Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.";"Espacios:   Sala de consulta y lectura. Zona de publicaciones periódicas. Sala infantil y juvenil.    Servicios:   Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros) Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.";"Metro: Laguna, Casa de Campo, Aluche RENFE: Laguna, Aluche  Bus: 25, 31, 138";"Superficie: 712 metros cuadrados  Puestos de lectura: 130  Puestos de Internet: 18 (con lector de pantalla NVDA, que permite a las personas ciegas y con discapacidad visual usar ordenadores)  Página en Facebook";"1,5,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7f0e3d0b5e71c010VgnVCM1000000b205a0aRCRD";"CAMARENA";"CALLE";"V";"10";"";"";"";"";"MADRID";"MADRID";"28047";"4";"ALUCHE";"10";"LATINA";"435820";"4471982";"40.39597072367931";"-3.7562716852987847";"91 719 89 96";"";"bpaluche@madrid.es";"/contenido/entidadesYorganismos/BibliotecasPublicas"; 
1755;"Biblioteca Pública Municipal Ana María Matute (Carabanchel)";"La Biblioteca Pública Municipal Ana María Matute sustituyó a la antigua Biblioteca Pública Municipal de Carabanchel. La Biblioteca de Carabanchel, sita en la calle de los Hermanos del Moral 15, fue inaugurada el 12 de diciembre de 1981 por el entonces alcalde, Enrique Tierno Galván, contaba con unos 250 m&amp;sup2;. Despues de 32 años de servicio, se traslada a su actual emplazamiento bajo el nombre actual. El proyecto arquitectónico fue encargado al estudio RSP. A la inauguración, el 28 de enero de 2013, asistieron la escritora Ana María Matute y la alcaldesa Ana María Botella.";"Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.";"Espacios:   Sala de consulta y lectura. Sala polivalente. Zona de publicaciones periódicas. Sala infantil y juvenil.    Servicios:   Equipos de autopréstamo. Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros) Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.";"Metro: Marqués de Vadillo Bus: 34, 35, 50, 118 y 119.";"Superficie: 3.369 metros cuadrados  Puestos de lectura: 230  Puestos de Internet: 40 (con lector de pantalla NVDA, que permite a las personas ciegas y con discapacidad visual usar ordenadores)  Sala polivalente: 74  Salas de trabajo en grupo: 2 (12 personas en total)  Página en Facebook";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=628e3d0b5e71c010VgnVCM1000000b205a0aRCRD";"ISAAC ALBENIZ";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28019";"3";"SAN ISIDRO";"11";"CARABANCHEL";"438891";"4472167";"40.39786734087938";"-3.720088245008897";"91 588 08 30";"";"bpanammatute@madrid.es";"/contenido/entidadesYorganismos/BibliotecasPublicas"; 
5768564;"Biblioteca Pública Municipal Ángel González (Latina)";"La Biblioteca Pública Ángel González se inauguró el 26 de julio de 2010, contando con la presencia de, entre otros, el entonces Alcalde Alberto Ruiz-Gallardón, la Delegada del Área de Las Artes, Alicia Moreno, y la viuda del escritor, Susana Rivera.  El edificio es obra del arquitecto Carlos de Riaño, donde predomina el hormigón y el cristal. A pesar de estar junto a la A5, el aislamiento del entorno se consigue gracias a la utilización de grandes terrazas como elemento constructivo. Tiene su fachada principal orientada hacia la autovía de Extremadura en previsión del soterramiento de la autovía";"Apertura de lunes a domingo.  Horario: de lunes a viernes de 8:30 a 21 horas; sábados y domingos de 8:30 a 15 horas.   Verano (del 15 de junio al 15 de septiembre): de lunes a viernes de 8:30 a 20 horas; sábados y domingos de 8:30 a 14 horas.   Cerrado: festivos, Semana Santa (de jueves a domingo), los dos últimos fines de semana de julio y los fines de semana de agosto, el 24 y 31 de diciembre.";"Espacios:   Sala de consulta y lectura. Sala polivalente y de actividades. Zona de publicaciones periódicas. Sala infantil y juvenil. Bebeteca.    Servicios:   Equipos de autopréstamo. Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.";"Metro: Campamento  Bus: 25, 36, 39, 65, 121, 131, 138, H";"Superficie: 2.811 metros cuadrados  Puestos de lectura: 309  Puestos de Internet: 34 (con lector de pantalla NVDA, que permite a las personas ciegas y con discapacidad visual usar ordenadores)  Puestos de la sala polivalente: 60  Puestos de la sala de actividades: 18   Página en Facebook";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ec750a2153ef9210VgnVCM2000000c205a0aRCRD";"GRANJA DE TORREHERMOSA";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28024";"4";"ALUCHE";"10";"LATINA";"434954";"4472113";"40.397074625115906";"-3.7664885474841556";"91 512 35 42";"";"bpangelgonzalez@madrid.es";"/contenido/entidadesYorganismos/BibliotecasPublicas"; 
1882;"Biblioteca Pública Municipal Benito Pérez Galdós (Centro)";"La Biblioteca Pública Conde Duque se inaugura en los años 90, cuando se traslada a este edificio la Biblioteca Municipal situada en el actual emplazamiento del Museo de Historia de Madrid, en la calle Fuencarral, separándose la Biblioteca Pública de la Biblioteca Histórica, que habían estado juntas hasta entonces. El Cuartel de Conde Duque se reformó en 2011, obra llevada a cabo por el arquitecto Carlos de Riaño, inaugurándose de nuevo la biblioteca al año siguiente, en un primer momento fusionada con la Biblioteca Musical Víctor Espinós, de la que posteriormente se separaría. Con la reforma ganó en amplitud y homogeneidad con el resto de la red, ya que anteriormente no contaba con sala infantil ni multimedia. En 2019 recibe el nombre de Benito Pérez Galdós conmemorando el centenario del fallecimiento del escritor.";"De lunes a domingo.  Horario: Lunes a viernes de 8:30 a 21. Sábados y domingos de 8:30 a 15. Verano (del 15 de junio al 15 de septiembre): Lunes a viernes de 8:30 a 20. Sábados y domingos de 8:30 a 14.  Cerrado: festivos, Semana Santa (de jueves a domingo), los dos últimos fines de semana de julio y los fines de semana de agosto, el 24 y 31 de diciembre.   Sala de Estudio:  Lunes a viernes de 8:30 a 21. Sábados, domingos y festivos de 9:30 a 20:30. Verano: Lunes a viernes de 8:30 a 19:45. Sábados, domingos y festivos de 9:30 a 19:45.";"Espacios:   Sala de consulta y lectura. Zona de publicaciones periódicas. Sala infantil y juvenil.   Servicios:   Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.";"Metro: Ventura Rodríguez, Plaza de España, San Bernardo y Noviciado. Bus: 1, 2, 7, 21, 44, 74, 147, Circular, Minibús M-2 BICIMAD: Estación 13 (calle Conde Duque 22)";"Superficie: 5.870 metros cuadrados  Puestos de lectura: 118  Puestos de Internet: 26 (con lector de pantalla NVDA, que permite a las personas ciegas y con discapacidad visual usar ordenadores)   Página en Facebook";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13ec3d0b5e71c010VgnVCM1000000b205a0aRCRD";"CONDE DUQUE";"CALLE";"V";"9";"";"";"";"";"MADRID";"MADRID";"28015";"5";"UNIVERSIDAD";"1";"CENTRO";"439723";"4475438";"40.42738668300474";"-3.7105999955473625";"91 588 59 10";"";"bpperezgaldos@madrid.es";"/contenido/entidadesYorganismos/BibliotecasPublicas"; 
1745;"Biblioteca Pública Municipal Canillejas (San Blas-Canillejas)";"La Biblioteca Pública Municipal de Canillejas se inauguró el 4 de agosto de 1981 en la tercera planta del edificio que entonces ocupaba la Junta Municipal del Distrito de San Blas, en la calle Torre Arias. Ocho años después se trasladó al edificio que ocupa hoy, en la calle Boltaña, justo enfrente de su ubicación anterior y en pleno núcleo comercial del barrio de Canillejas. Su reapertura al público, en las nuevas instalaciones, se produjo el 15 de marzo de 1989, compartiendo edificio con el Centro Cultural Buero Vallejo.";"Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.";"Espacios:   Sala de consulta y lectura. Sala polivalente. Zona de publicaciones periódicas. Sala infantil y juvenil.    Servicios:   Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.";"Metro: Canillejas, Torre Arias (Línea 5). Bus: 77, 105, 140";"Superficie: 466 metros cuadrados  Puestos de lectura: 98  Puestos de Internet: 6 (con lector de pantalla NVDA, que permite a las personas ciegas y con discapacidad visual usar ordenadores)   Página en Facebook";"0,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb9e995a8bf5d010VgnVCM2000000c205a0aRCRD";"BOLTAÑA";"CALLE";"NUM";"23";"";"";"";"EN CENTRO CULTURAL BUERO VALLEJO";"MADRID";"MADRID";"28022";"7";"CANILLEJAS";"20";"SAN BLAS-CANILLEJAS";"448119";"4477485";"40.44640229188281";"-3.6117933204271098";"91 741 11 34";"";"bpcanillejas@madrid.es";"/contenido/entidadesYorganismos/BibliotecasPublicas"; 
1794;"Biblioteca Pública Municipal Ciudad Lineal (Ciudad Lineal)";"La Biblioteca de Ciudad Lineal se inauguró en febrero de 1993 asistiendo al acto el Alcalde, José M&amp;ordf; Alvarez del Manzano, y la entonces Concejal de Cultura, Esperanza Aguirre. Se encuentra dentro del Centro Cultural Príncipe de Asturias, en la primera planta. Su construcción se realizó para dar servicio a la zona y sustituir a la anterior biblioteca que había en los locales de un edificio de viviendas. Desde entonces ha sido ampliada tan solo una vez, en 50 m&amp;sup2;, en el año 2004, afectando esta obra a su distribución interna.";"Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.";"Espacios:   Sala de consulta y lectura. Zona de publicaciones periódicas. Sala infantil y juvenil.   Servicios:   Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.";"Metro: Ciudad Lineal  Bus: 4, 38, 48, 70, 77, 105, 109";"Superficie: 483 metros cuadrados  Puestos de lectura: 114  Puestos de Internet: 10 (con lector de pantalla NVDA, que permite a las personas ciegas y con discapacidad visual usar ordenadores)";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=82ce995a8bf5d010VgnVCM2000000c205a0aRCRD";"HERMANOS GARCIA NOBLEJAS";"CALLE";"V";"14";"";"";"";"";"MADRID";"MADRID";"28037";"2";"PUEBLO NUEVO";"15";"CIUDAD LINEAL";"445948";"4476395";"40.43644651057092";"-3.6372924261150033";"915 887 566";"";"bpciudadlineal@madrid.es";"/contenido/entidadesYorganismos/BibliotecasPublicas"; 
51188;"Biblioteca Pública Municipal Dámaso Alonso (Chamartín)";"La biblioteca se abrió al público en mayo de 1999 denominándose Biblioteca Mateo Inurria, por estar situada en dicha calle. En 2008, por acuerdo plenario, pasó a llamarse Biblioteca Dámaso Alonso. Y es que este poeta vivió en el número 25 de la calle Alberto Alcocer, en una casita con huerta y jardín situada en su momento a las afueras de Madrid, en Chamartín de la Rosa. En cuanto a los orígenes de la biblioteca, en 1997 la sede del diario Ya se convierte en sede del Barclays Bank. A cambio, la entidad cede una parcela al Ayuntamiento para la construcción de una biblioteca, que entregó ya equipada. En 2008 se amplió el vestíbulo, se instaló un ascensor y se cerró una de las dos escaleras. En su lugar se colocó un lucernario para iluminar la sala de lectura.";"Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.";"Espacios:   Sala de consulta y lectura. Zona de publicaciones periódicas. Sala infantil y juvenil.    Servicios:   Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.";"Metro: Plaza de Castilla , Duque de Pastrana  Bus: 70, 107, 129, 174";"Superficie: 808 metros cuadrados  Puestos de lectura: 129  Puestos de Internet: 8 (con lector de pantalla NVDA, que permite a las personas ciegas y con discapacidad visual usar ordenadores)   Página en Facebook";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5870007f8441f010VgnVCM1000000b205a0aRCRD";"MANUEL FERRERO";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28036";"6";"CASTILLA";"5";"CHAMARTIN";"441962";"4479867";"40.467453379213175";"-3.6846112774442705";"91 350 31 50";"";"bpdamasoalonso@madrid.es";"/contenido/entidadesYorganismos/BibliotecasPublicas"; 
