id_terraza,id_local,id_distrito,nombreDistrito,barrio,tipoVia,nombreCalle,portal,codPostal,coordenadaX,coordenadaY,situacion,rotulo,superficie,horaApertura,horaCierre,mesas,sillas
A7.2_S10_M5_I7,S_X448901_Y4474755,SAN-BLAS-CANIL,SAN BLAS - CANILLEJAS,ROSAS,CALLE,SOFIA,177,28022,448900.55,4474755.41,Abierto,SR,7.2,08:00:00,01:30:00,5,10
A21.06_S27_M9_I33,H_X442587_Y4476525,SALAM,SALAMANCA,GUINDALERA,AVENIDA,AMERICA,2,28028,442586.58,4476524.51,Abierto,HONTANARES,21.06,10:00:00,02:30:00,9,27
A11.16_S14_M4_I34,BML_X442987_Y4476380,SALAM,SALAMANCA,GUINDALERA,CALLE,ALONSO HEREDIA,25,28028,442986.58,4476379.5,Abierto,BAR MARISQUERIA LUIS,11.16,10:00:00,02:30:00,4,14
A7.2_S10_M5_I36,S_X442973_Y4476351,SALAM,SALAMANCA,GUINDALERA,CALLE,AGUSTIN DURAN,10,28028,442972.58,4476350.5,Abierto,SAGAR,7.2,10:00:00,00:00:00,5,10
A25.48_S24_M8_I40,W_X441657_Y4475471,SALAM,SALAMANCA,RECOLETOS,CALLE,AYALA,14,28001,441656.59,4475470.52,Abierto,WAGABOO,25.48,10:00:00,02:30:00,8,24
A21.04_S24_M6_I41,TJJIP_X441351_Y4474586,SALAM,SALAMANCA,RECOLETOS,CALLE,ALCALA,59,28014,441350.59,4474585.52,Abierto,THE JAMES JOYCE IRISH PUB,21.04,10:00:00,02:30:00,6,24
A19.44_S24_M6_I44,HAM_X442927_Y4476682,SALAM,SALAMANCA,GUINDALERA,AVENIDA,AMERICA,32,28028,442926.58,4476681.5,Abierto,HOTEL ABBA MADRID,19.44,10:00:00,02:30:00,6,24
A84.68_S92_M27_I50,LC_X447241_Y4470141,VILLA-DE-VALLE,VILLA DE VALLECAS,CASCO H.VALLECAS,PLAZA,JUAN DE MALASAÑA,5,28031,447240.53,4470141.43,Abierto,LA CHOZITA,84.68,10:00:00,02:30:00,27,92
A21.66_S25_M8_I51,ENRDJ_X443566_Y4475688,SALAM,SALAMANCA,GUINDALERA,CALLE,ALCALA,225,28028,443565.58,4475688.49,Abierto,EL NUEVO RINCON DE JAEN,21.66,10:00:00,02:30:00,8,25
A12.43_S9_M3_I52,VC_X442348_Y4474953,SALAM,SALAMANCA,GOYA,CALLE,ALCALA,127,28009,442347.58,4474952.51,Abierto,VIENA CAPELLANES,12.43,10:00:00,02:30:00,3,9
A21.66_S24_M6_I54,BLT_X441295_Y4465803,VILLA,VILLAVERDE,SAN CRISTOBAL,CALLE,MONCADA,119,28021,441294.52,4465802.5,Abierto,BAR LAS TORRES,21.66,08:00:00,01:30:00,6,24
A12.96_S16_M4_I56,KA_X441342_Y4467434,VILLA,VILLAVERDE,LOS ROSALES,CALLE,VILLAJOYOSA,73,28041,441341.54,4467433.5,Abierto,KEBAB ARMENIA,12.96,08:00:00,01:30:00,4,16
A33.65_S24_M8_I58,CP_X443482_Y4475598,SALAM,SALAMANCA,FUENTE DEL BERRO,CALLE,ALCALA,172,28028,443481.58,4475598.49,Abierto,CAFETERIA PARISIENA,33.65,08:00:00,01:30:00,8,24
A34.07_S32_M8_I60,ERDTP_X447267_Y4469503,VILLA-DE-VALLE,VILLA DE VALLECAS,CASCO H.VALLECAS,CALLE,PEÑA DE VARGAS,7,28031,447266.53,4469503.43,Abierto,EL RINCON DEL TIO PEPE,34.07,10:00:00,02:30:00,8,32
A10.23_S16_M4_I66,BJ_X446594_Y4475579,SAN-BLAS-CANIL,SAN BLAS - CANILLEJAS,SIMANCAS,CALLE,MIERES,13,28037,446593.56,4475579.45,Abierto,BAR JOSUE,10.23,10:00:00,01:00:00,4,16
A36.78_S47_M12_I67,RBT_X449559_Y4477260,SAN-BLAS-CANIL,SAN BLAS - CANILLEJAS,REJAS,COLONIA,OCCIDENTE,6,28022,449558.56,4477260.41,Abierto,RESTAURANTE BAR TORRES,36.78,08:00:00,00:00:00,12,47
A11.19_S13_M5_I68,BC_X439137_Y4466099,VILLA,VILLAVERDE,SAN ANDRES,CALLE,TORDEGRILLOS,45,28021,439136.54,4466098.52,Abierto,BONGO CAFE,11.19,08:00:00,01:30:00,5,13
A5.04_S6_M3_I69,EAYLT_X441878_Y4474704,SALAM,SALAMANCA,RECOLETOS,CALLE,ALCALA,89,28009,441877.58,4474703.52,Abierto,EL ARBOL Y LA TOSTA,5.04,10:00:00,02:30:00,3,6
A29.16_S36_M9_I72,BK_X450641_Y4480471,BARAJ,BARAJAS,TIMON,CALLE,ALAS,30,28042,450640.58,4480471.4,Abierto,BURGER KING,29.16,10:00:00,02:30:00,9,36
A97.2_S120_M30_I73,R4&C_X448327_Y4468742,VILLA-DE-VALLE,VILLA DE VALLECAS,ENSANCHE DE VALLECAS,AVENIDA,ENSANCHE DE VALLECAS,44,28051,448326.52,4468742.41,Abierto,RESTAURANTE 40 & CUATRO,97.2,10:00:00,02:30:00,30,120
A104.6_S112_M30_I74,BR_X447533_Y4470237,VILLA-DE-VALLE,VILLA DE VALLECAS,CASCO H.VALLECAS,CALLE,SIERRA GORDA,25,28031,447532.53,4470237.43,Abierto,BAR-RESTAURANTE,104.6,10:00:00,02:30:00,30,112
A28.8_S32_M8_I76,CM_X442612_Y4466074,VILLA,VILLAVERDE,BUTARQUE,CALLE,BERROCAL,11,28021,442611.52,4466074.49,Abierto,CERVECERIA MINERVA,28.8,08:00:00,01:30:00,8,32
A64.12_S80_M21_I77,BDS_X441338_Y4467034,VILLA,VILLAVERDE,LOS ROSALES,PLAZA,CHOZAS DE CANALES,1,28021,441337.53,4467033.5,Abierto,BAR DONDE SIEMPRE,64.12,08:00:00,01:30:00,21,80
A47.96_S44_M11_I78,LPE_X441703_Y4467388,VILLA,VILLAVERDE,LOS ROSALES,CALLE,MARIA BARRIENTOS,4,28021,441702.54,4467387.5,Abierto,LA PARADA ESQUINA,47.96,08:00:00,01:30:00,11,44
A29.13_S40_M10_I79,BC_X439582_Y4466422,VILLA,VILLAVERDE,SAN ANDRES,PASEO,ALBERTO PALACIOS,20,28021,439581.54,4466421.52,Abierto,BURGUER CAROVI,29.13,08:00:00,01:30:00,10,40
A111.3_S56_M16_I80,AGI_X440774_Y4467750,VILLA,VILLAVERDE,LOS ANGELES,CALLE,LA DEL MANOJO DE ROSAS,44,28041,440773.55,4467749.51,Abierto,A GAIVOTIÑA II,111.3,08:00:00,01:30:00,16,56
A32.4_S60_M15_I81,PDF_X440573_Y4466763,VILLA,VILLAVERDE,LOS ANGELES,PASEO,TALLERES,2,28021,440572.54,4466762.51,Abierto,PEÑA DE FRANCIA,32.4,08:00:00,01:30:00,15,60
A12.96_S16_M8_I82,L_X440243_Y4466571,VILLA,VILLAVERDE,SAN ANDRES,PASEO,TALLERES,48,28021,440242.54,4466570.51,Abierto,LUCKY,12.96,08:00:00,01:30:00,8,16
A127.98_S64_M16_I83,EK_X440666_Y4467318,VILLA,VILLAVERDE,LOS ANGELES,CALLE,LA DEL MANOJO DE ROSAS,102,28041,440665.54,4467317.51,Abierto,EL KUBO,127.98,08:00:00,01:30:00,16,64
A68.4_S88_M22_I84,BA_X439929_Y4466554,VILLA,VILLAVERDE,SAN ANDRES,PLAZA,MAYOR DE VILLAVERDE,4,28021,439928.54,4466553.51,Abierto,BAR ASTURIAS,68.4,08:00:00,01:30:00,22,88
A18.72_S24_M8_I85,LA_X441485_Y4467626,VILLA,VILLAVERDE,LOS ROSALES,AVENIDA,OROVILLA,63,28041,441484.54,4467625.5,Abierto,LA ABUELA,18.72,10:00:00,00:00:00,8,24
A37_S42_M11_I86,BP_X441021_Y4467962,VILLA,VILLAVERDE,LOS ANGELES,CALLE,PAN Y TOROS,11,28041,441020.55,4467961.51,Abierto,BAR PEMA,37,08:00:00,01:30:00,11,42
A50.04_S56_M15_I87,CM_X441053_Y4467693,VILLA,VILLAVERDE,LOS ANGELES,CALLE,PAN Y TOROS,37,28041,441052.54,4467692.51,Abierto,CASA MONICA,50.04,08:00:00,01:30:00,15,56
A97.56_S96_M24_I88,EJDB_X448358_Y4470622,VILLA-DE-VALLE,VILLA DE VALLECAS,SANTA EUGENIA,CALLE,CASTRILLO DE AZA,9,28031,448357.53,4470622.41,Abierto,EL JARDIN DEL BACO,97.56,10:00:00,02:30:00,24,96
A48.6_S57_M15_I89,CLT_X448374_Y4470489,VILLA-DE-VALLE,VILLA DE VALLECAS,SANTA EUGENIA,CALLE,PUENTELARRA,10,28031,448373.53,4470489.41,Abierto,CERVECERIA LA TOMASA,48.6,10:00:00,02:30:00,15,57
A83.16_S96_M24_I91,BLH_X448411_Y4470525,VILLA-DE-VALLE,VILLA DE VALLECAS,SANTA EUGENIA,CALLE,PUENTELARRA,8,28031,448410.53,4470525.41,Abierto,BAR  LA HACIENDA,83.16,10:00:00,02:30:00,24,96
A27_S40_M10_I95,CLT_X448431_Y4470416,VILLA-DE-VALLE,VILLA DE VALLECAS,SANTA EUGENIA,CALLE,PUENTELARRA,7,28031,448430.53,4470416.41,Abierto,CERVECERIA LA TORRE,27,10:00:00,02:30:00,10,40
A44.38_S68_M17_I98,EJDBI_X448570_Y4470101,VILLA-DE-VALLE,VILLA DE VALLECAS,SANTA EUGENIA,CALLE,FUENTESPINA,6,28031,448569.53,4470101.41,Abierto,EL JARDIN DE BACO II,44.38,10:00:00,02:30:00,17,68
A25.92_S32_M8_I101,DN_X439621_Y4466400,VILLA,VILLAVERDE,SAN ANDRES,PASEO,ALBERTO PALACIOS,15,28021,439620.54,4466399.52,Abierto,D'YISA NAILS,25.92,08:00:00,01:30:00,8,32
A99.12_S84_M25_I102,LB_X439063_Y4466078,VILLA,VILLAVERDE,SAN ANDRES,PASEO,ALBERTO PALACIOS,83,28021,439062.54,4466077.52,Abierto,LAS BEGONIAS,99.12,08:00:00,01:30:00,25,84
A37.08_S12_M4_I103,BCC_X440872_Y4467124,VILLA,VILLAVERDE,LOS ANGELES,CALLE,ARECHAVALETA,50,28041,440871.54,4467123.51,Abierto,BAR CASA CONEL,37.08,08:00:00,01:30:00,4,12
A30_S30_M10_I104,PPCC_X442610_Y4466445,VILLA,VILLAVERDE,BUTARQUE,CALLE,CANCHAL,4,28021,442609.52,4466445.49,Abierto,PASTELERIA PANADERIA CAFETERIA CHICO,30,08:00:00,01:30:00,10,30
A10.08_S14_M7_I105,BLN_X439442_Y4466239,VILLA,VILLAVERDE,SAN ANDRES,PASEO,ALBERTO PALACIOS,39,28021,439441.54,4466238.52,Abierto,BAR LAS NIÑAS,10.08,08:00:00,01:30:00,7,14
A31.86_S12_M6_I106,BM_X439236_Y4466442,VILLA,VILLAVERDE,SAN ANDRES,CALLE,GRAFITO,12,28021,439235.54,4466441.52,Abierto,BAR MEZQUITA,31.86,08:00:00,01:30:00,6,12
A98.81_S88_M22_I107,BR_X440118_Y4466834,VILLA,VILLAVERDE,SAN ANDRES,CALLE,ALCOCER,45,28021,440117.54,4466833.51,Abierto,BAR RENATO,98.81,08:00:00,01:30:00,22,88
A19.44_S24_M6_I108,PC_X441814_Y4466135,VILLA,VILLAVERDE,SAN CRISTOBAL,CALLE,BENIMAMET,95,28021,441813.52,4466134.5,Abierto,PEREZ CAFETERIA,19.44,08:00:00,01:30:00,6,24
A72.5_S84_M21_I109,1M_X442507_Y4466515,VILLA,VILLAVERDE,BUTARQUE,CALLE,BERROCAL,3,28021,442506.52,4466515.49,Abierto,100 MONTADITOS,72.5,08:00:00,01:30:00,21,84
A51.84_S64_M16_I110,RG_X440612_Y4467374,VILLA,VILLAVERDE,LOS ANGELES,CALLE,HERMANDAD DE DONANTES DE SANGRE,1,28041,440611.54,4467373.51,Abierto,RESTAURANTE GALLARDO,51.84,08:00:00,01:30:00,16,64
A97.2_S120_M30_I111,LA_X440693_Y4467515,VILLA,VILLAVERDE,LOS ANGELES,CALLE,EL HUESPED DEL SEVILLANO,7,28041,440692.54,4467514.51,Abierto,LA ATALAYA,97.2,08:00:00,01:30:00,30,120
A72_S80_M20_I112,ALBDC_X440700_Y4468092,VILLA,VILLAVERDE,LOS ANGELES,CALLE,LA CANCION DEL OLVIDO,2,28041,440699.55,4468091.51,Abierto,ALQUEZAR LA BODEGA DE COTE,72,08:00:00,01:30:00,20,80
A90.57_S56_M14_I113,RSPI_X442294_Y4467170,VILLA,VILLAVERDE,BUTARQUE,AVENIDA,LOS ROSALES,94,28021,442293.53,4467170.49,Abierto,RESTAURANTE SALINAS PROSPERIDAD III,90.57,08:00:00,01:30:00,14,56
A27_S28_M7_I114,J_X440730_Y4467407,VILLA,VILLAVERDE,LOS ANGELES,CALLE,LA DEL MANOJO DE ROSAS,78,28041,440729.54,4467406.51,Abierto,JOSE,27,08:00:00,01:30:00,7,28
A77.76_S96_M24_I115,CS_X439906_Y4466535,VILLA,VILLAVERDE,SAN ANDRES,CALLE,ANTIMONIO,2,28021,439905.54,4466534.52,Abierto,CAFE SAXO,77.76,08:00:00,01:30:00,24,96
A21.78_S24_M6_I116,CSC_X441635_Y4465851,VILLA,VILLAVERDE,SAN CRISTOBAL,CALLE,ROCAFORT,22,28021,441634.52,4465850.5,Abierto,CERVECERIA SAN CRISTOBAL,21.78,08:00:00,01:30:00,6,24
