ID,NOMBRE,EVENTO_LARGO,DIAS_DE_SEMANA,FECHA_INICIO,FECHA_FIN,HORA,DESCRIPCION,URL_CONTENIDO,INSTALACION_URL,NOMBRE_INSTALACION,same_as_wikidata_nombre_instalacion,ACCESIBILIDAD_INSTALACION,DIRECCION,DISTRITO,same_as_wikidata_distrito,BARRIO,same_as_wikidata_barrio,CODIGO_POSTAL,LATITUD,LONGITUD,TIPO_DE_ACTIVIDAD
12094320,Activa tu mente. Grupo I,0,-,2023-10-05T00:00:00Z,2023-10-05T00:00:00Z,12:00,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b360634bdf28a810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7b6882025c4b2610VgnVCM2000001f4a900aRCRD,Espacio de Igualdad Lucrecia Pérez. Fuencarral-El Pardo,,1,CALLE MANRESA 1,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,Valverde,https://wikidata.org/entity/Q31132,28034,40.49120609425076,-3.6916379633219116,Cursos Talleres
12094321,Activa tu mente. Grupo II,0,-,2023-10-26T00:00:00Z,2023-10-26T00:00:00Z,12:00,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=db50634bdf28a810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7b6882025c4b2610VgnVCM2000001f4a900aRCRD,Espacio de Igualdad Lucrecia Pérez. Fuencarral-El Pardo,,1,CALLE MANRESA 1,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,Valverde,https://wikidata.org/entity/Q31132,28034,40.49120609425076,-3.6916379633219116,Cursos Talleres
12117027,Aquí no paga nadie,0,-,2023-10-27T00:00:00Z,2023-10-27T00:00:00Z,19:00,"Compañía Eagle's Dreams  Antonia, una mujer de clase obrera, comprueba haciendo la compra en el supermercado que los precios vuelven a subir y subir. Unida a otras muchas mujeres, deciden recibelarse y llevarse los alimentos sin pagar.     Duración: 120 minutos",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1365b3a00f0ea810VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=618b1e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Cultural San Juan Bautista (Ciudad Lineal),,1,CALLE SAN NEMESIO 4,Ciudad Lineal,https://wikidata.org/entity/Q1763694,San Juan Bautista,https://wikidata.org/entity/Q165609,28043,40.45224737965276,-3.6580402287911937,Teatro Performance
10633173,Baile de Mayores en Centros Culturales Distrito Latina,1,V,2022-10-07T00:00:00Z,2024-06-30T00:00:00Z,16:30,"Viernes  6, 13, 20 y 27 y  de octubre 16:30 h. a 19 h",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=beaf2f9cb66d1610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=76c43d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Sociocultural Almirante Churruca (Latina),,1,CALLE FUENTE DEL TIRO 72,Latina,https://wikidata.org/entity/Q794954,Las Águilas,https://wikidata.org/entity/Q5971372,28024,40.3829835905706,-3.7800890564106613,
10634056,Baile de Mayores en Centros Culturales Distrito Latina,1,J,2022-10-06T00:00:00Z,2023-10-31T00:00:00Z,18:00,"Jueves 5, 19 y 26 de octubre 18 a 20:30 h.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=77922f9cb66d1610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cae2b3e42751c010VgnVCM2000000c205a0aRCRD,Centro Sociocultural El Greco (Latina),,1,CALLE EL GRECO 29,Latina,https://wikidata.org/entity/Q794954,Lucero,https://wikidata.org/entity/Q31162,28011,40.407316328180464,-3.747465416906973,
12121361,Chocolatada con animación musical,0,-,2023-10-15T00:00:00Z,2023-10-15T00:00:00Z,18:30,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b4ead85faf9fa810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e537b503a71c010VgnVCM1000000b205a0aRCRD,Auditorio al aire libre. Parque de la Vaguada,,0,PASEO VAGUADA 13,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,El Pilar,https://wikidata.org/entity/Q3773964,28029,40.48016602497203,-3.7112978051427574,Fiestas
12112846,Círculo de mujeres sabias. La menopausia y nosotras,0,-,2023-10-06T00:00:00Z,2023-10-06T00:00:00Z,10:00,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=577180a639ada810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6a38fb412e9a2610VgnVCM2000001f4a900aRCRD,Espacio de Igualdad Berta Cáceres. Usera,,1,CALLE GRAN AVENIDA 14,Usera,https://wikidata.org/entity/Q953368,Orcasitas,https://wikidata.org/entity/Q3773941,28041,40.36902428128397,-3.710212677306876,
12114645,Conéctate con el móvil. Manejo de whatsapp,1,M,2023-10-03T00:00:00Z,2023-10-31T00:00:00Z,10:00,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d381d1b058bda810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=048525eae8975710VgnVCM2000001f4a900aRCRD,Espacio de Igualdad Emilia Pardo Bazán. Ciudad Lineal,,1,AVENIDA BADAJOZ 60,Ciudad Lineal,https://wikidata.org/entity/Q1763694,San Pascual,https://wikidata.org/entity/Q165612,28027,40.442311100791215,-3.6534806246311913,Cursos Talleres
12114610,Consejo de Sabias. Teatralizando la vida,0,-,2023-10-31T00:00:00Z,2023-10-31T00:00:00Z,17:00,Sin descripción,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6120d1b058bda810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=048525eae8975710VgnVCM2000001f4a900aRCRD,Espacio de Igualdad Emilia Pardo Bazán. Ciudad Lineal,,1,AVENIDA BADAJOZ 60,Ciudad Lineal,https://wikidata.org/entity/Q1763694,San Pascual,https://wikidata.org/entity/Q165612,28027,40.442311100791215,-3.6534806246311913,Cursos Talleres
12117022,Don Juan Tenorio,0,-,2023-10-07T00:00:00Z,2023-10-07T00:00:00Z,18:00,"Compañía Operanova Producciones  En esta función, se aborda la obra original pensada por José Zorrilla abriendo todos los cortes que se le han hecho tradicionalmente para que el espectador tenga una experiencia lo más cercana posible a la que tuvieron sus paisanos del siglo XIX.     Duración: 3 horas y 30 minutos",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a305b3a00f0ea810VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=618b1e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Cultural San Juan Bautista (Ciudad Lineal),,1,CALLE SAN NEMESIO 4,Ciudad Lineal,https://wikidata.org/entity/Q1763694,San Juan Bautista,https://wikidata.org/entity/Q165609,28043,40.45224737965276,-3.6580402287911937,Teatro Performance
