MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;MINTZONA,C,20;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;TIPO,C,254;TOTAL_ELEM,N,10,0;ESTADO,C,50
8786012;M1510- MAYORES CALLE MADRES PLAZA DE MAYO, 5;15;CIUDAD LINEAL;152;PUEBLO NUEVO;;24/02/22;CALLE;MADRES DE LA PLAZA DE MAYO;5;20169092;MAYORES;4;OPERATIVO
8798266;M1512-MAYORES CALLE GABRIEL MONTERO 5;15;CIUDAD LINEAL;152;PUEBLO NUEVO;;24/02/22;CALLE;GABRIEL MONTERO;5;20076103;MAYORES;0;OPERATIVO
7180264;M0314-MAYORES-PARQUE LUTHERKING -ZONA 2;03;RETIRO;032;ADELFAS;;15/10/20;CALLE;ARREGUI Y ARUEJ;13;11011396;MAYORES;6;ACTIVO
18366;M1803-Mayores - CALLE DEL MONTE DE MONTJUICH 24;18;VILLA DE VALLECAS;182;SANTA EUGENIA;;06/06/13;CALLE;MONTE DE MONTJUICH;24;11131544;MAYORES;7;ACTIVO
4749886;M2108-Mayores-C BERGANTIN 26;21;BARAJAS;211;ALAMEDA DE OSUNA;;18/12/17;CALLE;BERGANTIN;26;31043159;MAYORES;7;ACTIVO
7129038;M1916- Mayores- CALLE DEL CERRO DEL CAMPO 41;19;VICALVARO;194;EL CAÑAVERAL;;17/07/20;CALLE;CERRO DEL CAMPO;41;31040410;MAYORES;5;ACTIVO
4749887;M2109-Mayores-C BAHIA DE SANTA POLA 68;21;BARAJAS;215;CORRALEJOS;;18/12/17;CALLE;BAHIA DE SANTA POLA;68;20143672;MAYORES;9;ACTIVO
16860;M0403-Mayores PARQUE DE LAS AVENIDAS;04;SALAMANCA;044;GUINDALERA;;;AVENIDA;BRASILIA;35;11017893;MAYORES;3;ACTIVO
7356654;M1119-Mayores - CALLE DE LA GUITARRA 9;11;CARABANCHEL;116;BUENAVISTA;;;CALLE;GUITARRA;9;11077474;MAYORES;5;ACTIVO
17025;M0802-Mayores PARQUE DE LA VAGUADA;08;FUENCARRAL-EL PARDO;084;EL PILAR;;;PASEO;VAGUADA;13;20095218;MAYORES;8;ACTIVO
