ID-EVENTO,TITULO,GRATUITO,DIAS-SEMANA,FECHA,FECHA-FIN,HORA,DESCRIPCION,CONTENT-URL,NOMBRE-INSTALACION,same_as_wiki_data_museum,URL-INSTALACION,ACCESIBILIDAD-INSTALACION,DIRECCION,same_as_wiki_data_direccion,NUM-INSTALACION,DISTRITO-INSTALACION,same_as_wiki_data_distrito,LATITUD,LONGITUD,TIPO,AUDIENCIA
12124733,"10 emociones, 10 rosas",NO GRATUITO,"M,X,J,V,S,D",2023-10-10T00:00:00.0,2023-10-19T23:59:00.0,,Entrada libre hasta completar aforo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bc84a325d4ffa810VgnVCM1000001d4a900aRCRD,Espacio Cultural Serreria Belga,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c3c0f13cd18a0810VgnVCM1000001d4a900aRCRD,ACCESSIBLE,Calle Victor Lamas,https://www.wikidata.org/entity/Q5740784,15,Centro,https://www.wikidata.org/entity/Q1763376,40.4105673503608,-3.6937819843413373,ProgramacionDestacadaAgendaCultura,Todos
12096206,20.000 especies de abejas,NO GRATUITO,U,2023-10-20T00:00:00.0,2023-10-20T23:59:00.0,19:00,Sin informacion,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=94dd6b6c66d8a810VgnVCM2000001f4a900aRCRD,Centro Cultural Francisco Fatou (Villa de Vallecas),,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9e73d0b5e71c010VgnVCM1000000b205a0aRCRD,ACCESSIBLE,CALLE MANUEL VELEZ,,10,Villa de Vallecas,https://www.wikidata.org/entity/Q1947988,40.379584618162156,-3.623110349262379,CineActividadesAudiovisuales,Todos
12110035,20.000 especies de abejas,GRATUITO,U,2023-10-26T00:00:00.0,2023-10-26T23:59:00.0,19:00,"De Estibaliz Urresola Solaguren. Con Sofia Otero, Patricia Lopez Arnaiz, Ane Gabarain. Espana 2023. Duracion: 129 minutos. No recomendada para menores de 7 anos y especialmente recomendada para el fomento de la igualdad de genero. Coco, de ocho anos, no encaja en las expectativas del resto y no entiende por que. Todos a su alrededor insisten en llamarle Aitor pero no se reconoce en ese nombre ni en la mirada de los demas. Su madre Ane, (Patricia Lopez Arnaiz), sumida en una crisis profesional y sentimental, aprovechara las vacaciones para viajar con sus tres hijos a la casa materna, donde reside su madre Lita (Itziar Lazkano) y su tia Lourdes (Ane Gabarain), estrechamente ligada a la cria de abejas y la produccion de miel. Este verano que cambiara sus vidas obligara a estas mujeres de tres generaciones muy distintas a enfrentarse a sus dudas y temores. ",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4759a738045da810VgnVCM1000001d4a900aRCRD,Centro Sociocultural Alberto Sanchez (Puente de Vallecas),,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=20a43d0b5e71c010VgnVCM1000000b205a0aRCRD,ACCESSIBLE,CALLE RISCO DE PELOCHE,,14,Puente de Vallecas,https://www.wikidata.org/entity/Q2003054,40.393619022093546,-3.6556016835101834,CineActividadesAudiovisuales,Todos
12116406,23 paseos,GRATUITO,U,2023-10-08T00:00:00.0,2023-10-08T23:59:00.0,19:00,Sin informacion,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e631eceda70ea810VgnVCM1000001d4a900aRCRD,Centro Cultural Juan Genoves (Moncloa - Aravaca),,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13153d0b5e71c010VgnVCM1000000b205a0aRCRD,ACCESSIBLE,TRAVESIA CAnO,,5,Moncloa-Aravaca,https://www.wikidata.org/entity/Q2017682,40.45866721398762,-3.786129575145957,CineActividadesAudiovisuales,Todos
12096505,24 horas,NO GRATUITO,U,2023-11-03T00:00:00.0,2023-11-03T23:59:00.0,19:00,Sin informacion,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a4ba55f80e8a810VgnVCM2000001f4a900aRCRD,Centro Cultural Francisco Fatou (Villa de Vallecas),,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9e73d0b5e71c010VgnVCM1000000b205a0aRCRD,ACCESSIBLE,CALLE MANUEL VELEZ,,10,Villa de Vallecas,https://www.wikidata.org/entity/Q1947988,40.379584618162156,-3.623110349262379,CineActividadesAudiovisuales,Todos
12117024,4 patas tiene un cuento,GRATUITO,U,2023-10-14T00:00:00.0,2023-10-14T23:59:00.0,18:00,"Paula Sanchez Arevalo  Cuatro cuentos sobre las emociones, a traves del teatro, la danza y la musica, para reir, pensar y celebrar.     Duracion: 50 minutos   Publico infantil y familiar ",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c825b3a00f0ea810VgnVCM2000001f4a900aRCRD,Centro Cultural San Juan Bautista (Ciudad Lineal),,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=618b1e79ee71c010VgnVCM1000000b205a0aRCRD,ACCESSIBLE,CALLE SAN NEMESIO,,4,Ciudad Lineal,https://www.wikidata.org/entity/Q1763694,40.45224737965276,-3.6580402287911937,TeatroPerformance/ComediaMonologo,"Ninos,Familias"
12050468,4x4,NO GRATUITO,"M,X,J,V,S,D",2023-12-14T00:00:00.0,2024-01-14T23:59:00.0,,Sin informacion,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=16e9e6b609029810VgnVCM1000001d4a900aRCRD,Fernan Gomez Centro Cultural de la Villa,https://www.wikidata.org/entity/Q56426930,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba663d0b5e71c010VgnVCM1000000b205a0aRCRD,"ACCESSIBLE,MAGNETIC LOOP",plaza de Colon,https://www.wikidata.org/entity/Q970525,4,Salamanca,https://www.wikidata.org/entity/Q1773521,40.4249721516942,-3.689948085098791,ProgramacionDestacadaAgendaCultura,Familias
12111217,6º Congreso Global de Metapoesia: la metapoesia es un genero nuevo,GRATUITO,"L,M,X,J,V,S,D",2023-10-13T00:00:00.0,2023-10-15T23:59:00.0,10:00,Sin informacion,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=45000dae9a6da810VgnVCM2000001f4a900aRCRD,Biblioteca Publica Municipal de San Fermin,https://www.wikidata.org/entity/Q111257503,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=83e748aaf535e710VgnVCM1000001d4a900aRCRD,"ACCESSIBLE,TACTILE PAVING,MAGNETIC LOOP",AVENIDA SAN FERMIN,,10,Usera,https://www.wikidata.org/entity/Q953368,40.3711623444796,-3.692742821990015,Cultural,Todos
11731709,7º Concurso de relatos Cuarto y Mitad: 'Ojos de Besugo',GRATUITO,"L,M,X,J,V,S,D",2023-08-14T00:00:00.0,2023-10-08T23:59:00.0,,Sin informacion,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d98a590d22f1810VgnVCM1000001d4a900aRCRD,Municipal Public Library Mario Vargas Llosa,https://www.wikidata.org/entity/Q63191732,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c4dbc2658739410VgnVCM2000000c205a0aRCRD,"ACCESSIBLE,MAGNETIC LOOP",calle de Barcelo,https://www.wikidata.org/entity/Q27051120,4,Centro,https://www.wikidata.org/entity/Q1763376,40.426642215368176,-3.699722994908341,ConcursosCertamenes,Todos
12104168,90 Salon de Otono,GRATUITO,"L,M,X,J,V,S,D",2023-10-26T00:00:00.0,2023-11-26T23:59:00.0,,Sin informacion,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cbc606532e1ba810VgnVCM2000001f4a900aRCRD,Centro Cultural Casa de Vacas,https://www.wikidata.org/entity/Q108328073,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35e53d0b5e71c010VgnVCM1000000b205a0aRCRD,ACCESSIBLE,Paseo de Colombia,https://www.wikidata.org/entity/Q24023155,1,Retiro,https://www.wikidata.org/entity/Q2002296,40.41906024374356,-3.6840615387926956,Exposiciones,Todos
