PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,TRANSPORTE,ACCESIBILIDAD,CONTENT-URL,DIRECCION,NUM,DISTRITO,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
5989871,Auditorio Carmen Laforet (Ciudad Lineal),Ubicado en el Centro de Mayores Carmen Laforet,"De lunes a sábado, de 9 a 21 horas.","Metro: Pinar de Chamartín (líneas 1, 4 y línea 1 metro ligero)  Bus: 29, 125, 129, 150",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fca22248514ae210VgnVCM1000000b205a0aRCRD,CALLE_JAZMIN,46,CIUDAD_LINEAL,40.47967249471556,-3.6657243894913565,913 831 456,cscsiena@madrid.es,AuditoriosSalasConcierto
2389,Auditorio al aire libre. Parque del Calero,Mantenimiento: Dependiente de la Junta Municipal de Distrito de Ciudad Lineal.,,"Metro: Quintana (línea 5), Barrio de la Concepción (línea 7).  Bus: 21, 146, 48.  Bicimad: Estación 229 (calle José del Hierro, 5).",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c6237b503a71c010VgnVCM1000000b205a0aRCRD,CALLE_JOSE DEL HIERRO,3,CIUDAD_LINEAL,40.43629956289038,-3.6504096146979457,"917654317 - Únicamente información sobre la propia instalación, la información sobre las actividades se consulta a través de las publicaciones especificas de cada una de ellas.",cultuclineal@madrid.es,AuditoriosSalasConcierto
139451,Auditorio y sala de exposiciones Paco de Lucía (Latina),,Cerrado durante todo el mes de agosto.,"Metro de Madrid. Línea 5. Estación: Aluche. Autobuses de la EMT. Líneas: 138, 139, 155, 17. Cercanías RENFE. Línea C 5. Estación: Aluche.",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6089ba61e681c010VgnVCM1000000b205a0aRCRD,AVENIDA_LAS AGUILAS,2,LATINA,40.38493929920335,-3.7641963952601154,915 120 890,,CentrosCulturales
84763,Centro Comunitario Casino de la Reina,,"De apertura   De lunes a viernes, de 8:30 a 21:30 horas Sábados, de 10 a 15 horas y de 16 a 21:30 horas Domingos cerrado.   De atención de los Trabajadores Sociales Comunitarios (no es necesaria cita previa)   Lunes a jueves, de 9 a 19 horas Viernes, de 9 a 14 horas Julio y agosto, de 9 a 15 horas.","Metro: Embajadores (líneas 3 y 5)  Bus: M1, 148, 41, 60, C03, C1  Renfe: Embajadores (C5)       Aparcamiento: Casino de la Reina (19), C/ Casino",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=326f38d60b41c010VgnVCM2000000c205a0aRCRD,CALLE_CASINO,3,CENTRO,40.40681802964019,-3.704690072394306,91 539 63 10,cccreina@madrid.es,CentrosServiciosSociales
1914,Centro Cultural - Centro Socio Cultural Villa de Barajas,,"De lunes a viernes, de 9 a 14 y de 15 a 17 horas.   En el mes de agosto los dos centros permanecen cerrados.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Metro: Barajas (línea 8)  Bus: 101, 105, 115","ACCESSIBLE,TACTILE_PAVING,MAGNETIC_LOOP",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=476c1e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE_BOTICA,7,BARAJAS,40.47324881250678,-3.5784908616003723,913 291 803,ccvillabarajas@madrid.es,CentrosCulturales
117288,Centro Cultural Agustín Díaz (Moncloa - Aravaca),,"De lunes a viernes, de 9 a 14 horas. Miércoles y jueves de 15 a 17 horas.  Verano. De lunes a viernes de 9 a 14 horas. Semana de San Isidro. De lunes a viernes de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Bus: 41, 75.",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d07cbf06c81c010VgnVCM1000000b205a0aRCRD,PASEO_COMANDANTE FORTEA,42,MONCLOA-ARAVACA,40.427538776051804,-3.732422725110936,915 487 772,ccadiaz@madrid.es,CentrosCulturales
118067,Centro Cultural Alfredo Kraus (Fuencarral - El Pardo),Teléfono de secretaría  91 376 70 85.,Centro: de lunes a viernes de 9 a 14 y de 16 a 21.30 h   Secretaría: de lunes a jueves de 9:30  a 14 y de 16:30 a 18. Viernes de 9:30 a 13:30 h.,"Bus: 49 , 64",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7337cbf06c81c010VgnVCM1000000b205a0aRCRD,GLORIETA_PRADERA DE VAQUERIZAS,9,FUENCARRAL-EL_PARDO,40.49082275610172,-3.7216054330053647,913 767 085,ccakraus@madrid.es,CentrosCulturales
1942,Centro Cultural Antonio Machado (San Blas - Canillejas),,"De lunes a viernes, de 10 a 13:30 y de 17 a 18:30 horas.   Julio, de lunes a viernes de 10 a 13:30 horas.   Agosto, secretaría cerrada.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Metro: Alsacia (línea 2)  Bus: 4, 70, 165, 167, 38, 48",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cce43d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE_SAN ROMAN DEL VALLE,8,SAN_BLAS-CANILLEJAS,40.420280457570335,-3.621730741880216,,ccamachado@madrid.es,CentrosCulturales
52511,Centro Cultural Auditorio Parque El Paraíso (San Blas - Canillejas),,,"Metro: Simancas (línea 7).  Bus: 109, 38.",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a395946be351c010VgnVCM2000000c205a0aRCRD,AVENIDA_ARCENTALES,4,SAN_BLAS-CANILLEJAS,40.42996840999023,-3.622184001035289,915 888 065,cultusanblas@madrid.es,AuditoriosSalasConcierto
64851,Centro Cultural Buenavista (Salamanca),,"De lunes a jueves, 9 a 14 horas y de 16 a 18 horas. Viernes, de 9 a 14 horas. Verano: de lunes a viernes, de 9 a 14 horas. Agosto: secretaría cerrada. Septiembre, de lunes a jueves, de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Metro: Diego de León (líneas 4 , 5 , 6)  Bus: 48, 12, 210, 56, C2, 74  Bicimad: Estación 192 (avenida de los Toreros, 3)",PARTIALLY_ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=068e598d1351c010VgnVCM1000000b205a0aRCRD,AVENIDA_TOREROS,5,SALAMANCA,40.43200210571468,-3.6709293330780204,917 240 800,ccbuenavista@madrid.es,CentrosCulturales
1943,Centro Cultural Buero Vallejo (San Blas - Canillejas),,"De lunes a viernes, de 9:30 a 13:30 y de 16:30 a 18 horas.   Agosto cerrado.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Metro: Torres Arias y Canillejas (línea 5)  Bus: 105, 140, 153, 165, 77",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=98953d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE_BOLTAÑA,27,SAN_BLAS-CANILLEJAS,40.44477474902185,-3.6129105844633775,917 411 182,ccbvallejo@madrid.es,CentrosCulturales
118317,Centro Cultural Carril del Conde (Hortaleza),,"De lunes a viernes, de 9 a 14 horas y de 17 a 19 horas. Verano y semana de San Isidro, de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Metro: Arturo Soria (línea 4)  Bus: 9, 72, 73",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=66a7cbf06c81c010VgnVCM1000000b205a0aRCRD,CALLE_CARRIL DEL CONDE,57,HORTALEZA,40.46088953531134,-3.6544210187969433,917 161 240,cccarrilconde@madrid.es,CentrosCulturales
1945,Centro Cultural Casa de Vacas (Retiro),,De 10 a 21 horas.,"Metro: Retiro (línea 2)  Bus: 2, 20, 28  Bicimad: Estación 102 (calle Alcalá, 95), estación 60 (Plaza Independencia, 6)",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35e53d0b5e71c010VgnVCM1000000b205a0aRCRD,PASEO_COLOMBIA,1,RETIRO,40.41906024374356,-3.6840615387926956,914 095 819,cccasadevacas@madrid.es,SalasExposiciones
1925,Centro Cultural Casa del Reloj (Arganzuela),,"De lunes a viernes, de 10 a 13 y de 17 a 19 horas.   Verano y semana de San Isidro: de lunes a viernes, de 9 a 14 horas.   Agosto cerrado.    Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Metro: Legazpi (líneas 3, 6)  Bus: 19, 247, 45, 47, 59, 62, 76, 8, 85, 86, 148, 186, 78, 123, 22, 79, 156, 180, T32  Bicimad: Estación 165 (Paseo Chopera, 14) / estación 177 (calle Bolivar, 3)",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8b063d0b5e71c010VgnVCM1000000b205a0aRCRD,PASEO_CHOPERA,6,ARGANZUELA,40.39466755008527,-3.700396761468562,915 886 118 / 915 886 299,crelojarganzuela@madrid.es,CentrosCulturales
4551096,Centro Cultural Ciudad Pegaso (San Blas - Canillejas),,"De lunes a jueves, de 10 a 12 horas y de 16:30 a 19 horas. Viernes, de 10 a 12 horas y de 16:30 a 18 horas.    Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",Bus: 77,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=07f63190712b1110VgnVCM1000000b205a0aRCRD,AVENIDA_SEPTIMA,11,SAN_BLAS-CANILLEJAS,40.44844757572015,-3.598099871155595,917 415 852,cccpegaso@madrid.es,CentrosCulturales
