PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
134929;"Centro Concertado de Atención a las Adicciones (CCAD) Cáritas Madrid";"El CCAD Cáritas que forma parte de la red del Instituto de Adicciones de la Ciudad de Madrid, presta una atención personalizada individual y/o grupal en régimen ambulatorio a las personas que presentan problemas de abuso o dependencia del alcohol y de otras drogas.";"De lunes a viernes mañanas de 9 a 14 horas, tardes de 15:30 a 18 horas";"Valoración interdisciplinar del/de la paciente. Tratamiento integral que además de abordar el propio consumo, contempla aspectos sanitarios, psicológicos, sociales y ocupacionales. Intervenciones de reducción del daño y riesgos dirigidas a disminuir los efectos del consumo de drogas y conseguir mejoras en la salud cuando no se consigue la abstinencia. Tratamientos farmacológicos, incluyen la utilización de tratamientos con sustitutivos opiáceos como metadona. Apoyo a la integración social y laboral del paciente. Intervención con las familias, tanto con las que acompañan a la persona directamente afectada, como con aquellas otras que solicitan ayuda sin que el consumidor haya decidido ponerse en tratamiento. Derivación a recursos externos de apoyo al tratamiento y a la reinserción social, que complementan y apoyan el trabajo realizado desde los CAD.";"Bus: 9, 73, N2Metro: Alfonso XIII (L4), Prosperidad (L4) Bicicletas:  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13ba654d9d91f010VgnVCM2000000c205a0aRCRD";"SANTA HORTENSIA";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28002";"2";"PROSPERIDAD";"5";"CHAMARTIN";"443159";"4477482";"40.446053313442704";"-3.6702766124516515";"917 440 599";"";"tto.adicciones@caritasmadrid.org";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosAsistenciaDrogodependientes"; 
53123;"Centro Concertado de Atención a las Adicciones (CCAD) Casa de Campo (Cruz Roja)";"El CCAD  Casa de Campo que forma parte de la red del Instituto de Adicciones de la Ciudad de Madrid, presta una atención personalizada individual y/o grupal en régimen ambulatorio a las personas que presentan problemas de abuso o dependencia del alcohol y de otras drogas.";"De lunes a viernes de 9 a 17 horas";"Valoración interdisciplinar del paciente. Tratamiento integral que además de abordar el propio consumo, contempla aspectos sanitarios, psicológicos, sociales y ocupacionales. Intervenciones de reducción del daño y riesgos dirigidas a disminuir los efectos del consumo de drogas y conseguir mejoras en la salud cuando no se consigue la abstinencia. Tratamientos farmacológicos, incluyen la utilización de tratamientos con sustitutivos opiáceos como metadona. Apoyo a la integración social y laboral del/de la paciente. Intervención con las familias, tanto con las que acompañan a la persona directamente afectada, como con aquellas otras que solicitan ayuda sin que el consumidor haya decidido ponerse en tratamiento. Derivación a recursos externos de apoyo al tratamiento y a la reinserción social, que complementan y apoyan el trabajo realizado desde los CAD.";"Bus: 31, 33, 36, 39, 65, 138 Metro:Puerta del Angel (L6), Lago (L10) Bicicletas:  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.";"Forma de acceso: directo";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=97d3598d1351c010VgnVCM1000000b205a0aRCRD";"PORTUGAL";"AVENIDA";"V";"0";"";"";"";"";"MADRID";"MADRID";"28011";"2";"PUERTA DEL ANGEL";"10";"LATINA";"438577";"4474219";"40.41633059885888";"-3.7239914257003304";"914 799 499";"";"";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosAsistenciaDrogodependientes"; 
11867;"Centro de Atención a las Adicciones (CAD) de Arganzuela";"";"Horario ordinario:   De septiembre a junio:   De lunes a jueves de 8:30 a 19:30 horas Viernes de 8:30 a 14:30 horas   Horario verano:  Del 15 al 30 de junio y del 1 al 15 de septiembre  De lunes a jueves de 8 a 19:30 horas  Viernes de 8 a 14:00 horas     Del 1 de julio al 31 de agosto  De lunes a viernes 8:30 a 13:45";"Valoración por equipo interdisciplinar Tratamiento ambulatorio y reinserción de drododependientes, a través de diferentes programas Atención a familiares Derivación a otros recursos: comunidades terapéuticas, pisos de reinserción, talleres Atención y tratamiento individualizado, según los casos";"Bus: 6 , 8 , 18 , 19 , 22 , 45 , 47 , 76 , 78 , 79 , 85 , 86 , 88 , 123 , 148 , 247Metro: Legazpi (L 3 y L 6) Bicicletas:  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.";"Forma de acceso: directo, a través de los servicios municipales, servicios de salud o entidades comunitarias.  Ámbito de actuación:  Distrito de Arganzuela Distrito de Centro Distrito de Retiro Distrito de Salamanca";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=de74d4985261c010VgnVCM1000000b205a0aRCRD";"CHOPERA";"PASEO";"V";"12";"";"";"";"";"MADRID";"MADRID";"28045";"3";"CHOPERA";"2";"ARGANZUELA";"440757";"4471619";"40.39305745803064";"-3.6980673403694104";"915 886 186";"";"cadarganzuela@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosAsistenciaDrogodependientes"; 
11887;"Centro de Atención a las Adicciones (CAD) de Hortaleza";"";"Horario ordinario:   De septiembre a junio:   De lunes a jueves de 8:30 a 19:30 horas Viernes de 8:30 a 14:30 horas   Horario verano:  Del 15 al 30 de junio y del 1 al 15 de septiembre  De lunes a jueves de 8 a 19:30 horas Viernes de 8 a 14:00 horas   Del 1 de julio al 31 de agosto  De lunes a viernes de 8:30 a 13:45 horas";"Valoración por equipo interdisciplinar Tratamiento ambulatorio y reinserción de drododependientes, a través de diferentes programas Atención a familiares Derivación a otros recursos: comunidades terapéuticas, pisos de reinserción, talleres Atención y tratamiento individualizado, según los casos";"Bus: 73, 87, 104, 112, 120, 125, 153, 172Metro: Mar de Cristal (L4, L8) Bicicletas:  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.";"Acceso: directo, a través de los servicios municipales, servicios de salud o entidades comunitarias  Ámbito de actuación:  Distrito de Hortaleza Distrito de Chamartín Distrito de Barajas Distrito Ciudad Lineal los barrios: San Juan Bautista, Colina, Atalaya y Costillares";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=25a4d4985261c010VgnVCM1000000b205a0aRCRD";"MINAYA";"CALLE";"V";"7";"";"";"";"";"MADRID";"MADRID";"28043";"3";"CANILLAS";"16";"HORTALEZA";"446072";"4479929";"40.468288815918534";"-3.636150078507109";"913 822 530";"";"cadhortaleza@madrid. es";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosAsistenciaDrogodependientes"; 
11862;"Centro de Atención a las Adicciones (CAD) de Latina";"";"Horario ordinario:   De septiembre a junio:   De lunes a jueves de 8:30 a 19:30 horas Viernes de 8:30 a 14:30 horas   Horario verano:  Del 15 al 30 de junio y del 1 al 15 de septiembre  De lunes a jueves de 8 a 19:30 horas Viernes de 8 a 14:00 horas   Del 1 de julio al 31 de agosto  De lunes a viernes de 8:30 a 13:45 horas";"Valoración por equipo interdisciplinar Tratamiento ambulatorio y reinserción de drododependientes, a través de diferentes programas Atención a familiares Derivación a otros recursos: comunidades terapéuticas, pisos de reinserción, talleres Atención y tratamiento individualizado, según los casos";"Bus: 25 , 31, 138Metro: Laguna (L 6), Casa de Campo (L 10)";"Acceso: directo, a traves de los servicios municipales, servicios de salud o entidades comunitarias  Ámbito de actuación:  Distrito de Latina Distrito de Moncloa - Aravaca: barrios de Arg&amp;uuml;elles, Plantío, Aravaca y Casa de Campo Distrito Carabanchel: barrios de San Isidro, Vista Alegre y Puerta Bonita.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7bc4d4985261c010VgnVCM1000000b205a0aRCRD";"CAMARENA";"CALLE";"V";"10";"";"";"";"";"MADRID";"MADRID";"28047";"4";"ALUCHE";"10";"LATINA";"435820";"4471982";"40.39597072367931";"-3.7562716852987847";"917 198 989";"";"cadlatina@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosAsistenciaDrogodependientes"; 
11865;"Centro de Atención a las Adicciones (CAD) de San Blas";"";"Horario ordinario:   De septiembre a junio:   De lunes a jueves de 8:30 a 19:30 horas Viernes de 8:30 a 14:30 horas   Horario verano:  Del 15 al 30 de junio y del 1 al 15 de septiembre  De lunes a jueves de 8 a 19:30 horas Viernes de 8 a 14:00 horas   Del 1 de julio al 31 de agosto  De lunes a viernes de 8:30 a 13:45 horas";"Valoración por equipo interdisciplinar Tratamiento ambulatorio y reinserción de drododependientes, a través de diferentes programas Atención a familiares Derivación a otros recursos: comunidades terapéuticas, pisos de reinserción, talleres Atención y tratamiento individualizado, según los casos";"Bus: 77, 104, 105, 775Metro: Suances (L 5)";"Acceso: directo, a traves de los servicios municipales, servicios de salud o entidades comunitarias  Ámbito de actuación  Distrito de San Blas Distrito de Ciudad Lineal los barrios: Ventas, Pueblo Nuevo, Quintana, Concepción y San Pascual Distrito de Vicálvaro";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c1f4d4985261c010VgnVCM1000000b205a0aRCRD";"ALCALA";"CALLE";"V";"527";"";"";"";"";"MADRID";"MADRID";"28027";"";"EL SALVADOR";"";"DISTRITO";"446815";"4476892";"40.44097774609991";"-3.6271316821262958";"917 434 771";"";"cadsanblas@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosAsistenciaDrogodependientes"; 
11866;"Centro de Atención a las Adicciones (CAD) de Tetuán";"";"Horario ordinario:   De septiembre a junio:   De lunes a jueves de 8:30 a 19:30 horas Viernes de 8:30 a 14:30 horas   Horario verano:  Del 15 al 30 de junio y del 1 al 15 de septiembre  De lunes a jueves de 8 a 19:30 horas Viernes de 8 a 14:00 horas   Del 1 de julio al 31 de agosto  De lunes a viernes de 8:30 a 13:45 horas";"Valoración por equipo interdisciplinar Tratamiento ambulatorio y reinserción de drododependientes, a través de diferentes programas Atención a familiares Derivación a otros recursos: comunidades terapéuticas, pisos de reinserción, talleres Atención y tratamiento individualizado, según los casos";"Bus: 42Metro: Ventilla (L-9), Valdeacederas (L-1) Bicicletas:  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.";"Acceso: directo, a través de los servicios municipales, servicios de salud o entidades comunitarias  Ámbito de actuación  Distrito de Tetuán Distrito de Fuencarral-El Pardo Distrito de Chamberí Distrito de Moncloa-Aravaca: Ciudad Universitaria, Valdezarza y Valdemarín";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1815d4985261c010VgnVCM1000000b205a0aRCRD";"PINOS ALTA";"CALLE";"V";"122";"";"";"";"";"MADRID";"MADRID";"28029";"4";"ALMENARA";"6";"TETUAN";"440529";"4480255";"40.47084721439769";"-3.701561801865397";"913 235 920";"";"cadtetuan@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosAsistenciaDrogodependientes"; 
11864;"Centro de Atención a las Adicciones (CAD) de Vallecas";"";"Horario ordinario:   De septiembre a junio:   De lunes a jueves de 8:30 a 19:30 horas Viernes de 8:30 a 14:30 horas   Horario verano:  Del 15 al 30 de junio y del 1 al 15 de septiembre  De lunes a jueves de 8 a 19:30 horas Viernes de 8 a 14:00 horas   Del 1 de julio al 31 de agosto  De lunes a viernes de 8:30 a 13:45 horas";"Valoración por equipo interdisciplinar Tratamiento ambulatorio y reinserción de drododependientes, a través de diferentes programas Atención a familiares Derivación a otros recursos: comunidades terapéuticas, pisos de reinserción, talleres Atención y tratamiento individualizado, según los casos";"Bus: 10, 24, 54, 57, 58, 111, 136, 140, 310Metro: Nueva Numancia (L1) Bicicletas:  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.";"Acceso: directo, a traves de los servicios municipales, servicios de salud o entidades comunitarias  Ámbito de actuación  Distrito de Villa de Vallecas Distrito de Puente de Vallecas Distrito de Moratalaz";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6e35d4985261c010VgnVCM1000000b205a0aRCRD";"CONCORDIA";"CALLE";"NUM";"17";"";"";"";"";"MADRID";"MADRID";"28053";"2";"SAN DIEGO";"13";"PUENTE DE VALLECAS";"443517";"4471815";"40.39501488341387";"-3.665565995938502";"914 801 486";"";"cadvallecas@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosAsistenciaDrogodependientes"; 
11863;"Centro de Atención a las Adicciones (CAD) de Villaverde";"";"Horario ordinario:   De septiembre a junio:   De lunes a jueves de 8:30 a 19:30 horas Viernes de 8:30 a 14:30 horas   Horario verano:  Del 15 al 30 de junio y del 1 al 15 de septiembre  De lunes a jueves de 8 a 19:30 horas Viernes de 8 a 14:00 horas   Del 1 de julio al 31 de agosto  De lunes a viernes de 8:30 a 13:45 horas";"Valoración por equipo interdisciplinar Tratamiento ambulatorio y reinserción de drododependientes, a través de diferentes programas Atención a familiares Derivación a otros recursos: comunidades terapéuticas, pisos de reinserción, talleres Atención y tratamiento individualizado, según los casos.";"Bus: 76Renfe: Cercanías Puente Alcocer Bicicletas:  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.";"Acceso: Directo a través de los servicios municipales, servicios de salud o entidades comunitarias.  Ámbito de Actuación  Distrito de Villaverde. Distrito de Usera. Distrito de Carabanchel, los barrios: Comillas, Opañel, Abrantes y Buenavista";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b465d4985261c010VgnVCM1000000b205a0aRCRD";"VERDE VIENTO";"CALLE";"V";"16";"";"";"";"";"MADRID";"MADRID";"28021";"";"SAN ANDRES";"";"VILLAVERDE";"439047";"4467110";"40.35231468998616";"-3.717783527602668";"917 231 110";"";"cadvillaverde@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosAsistenciaDrogodependientes"; 
11868;"Centro de Atención Integral a Drogodependientes CAID Este";"Centro de la red asistencial para las adicciones de la Comunidad de Madrid.";"Lunes a viernes, de 9 a 21 horas.";"Servicio de información y orientación. Servicio de valoración, diagnóstico y plan terapéutico. Servicio de seguimiento y control terapéutico. Servicio de atención familiar.";"Metro: San Blas (línea 7).  Bus: 153, 38, 165, 167, 48.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2385d4985261c010VgnVCM1000000b205a0aRCRD";"CIVICA";"PLAZA";"V";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"";"DISTRITO";"447678";"4475575";"40.42917334565452";"-3.6168271127274583";"913 064 542 / 913 064 543 / 901 350 350";"";"caideste@salud.madrid.org";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosAsistenciaDrogodependientes"; 
