PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;BARRIO_WIKIDATA;COD-DISTRITO;DISTRITO;DISTRITO_WIKIDATA;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;EMAIL;TIPO
134929;Centro Concertado de Atenci—n a las Adicciones (CCAD) C‡ritas Madrid;El CCAD C‡ritas que forma parte de la red del Instituto de Adicciones de la Ciudad de Madrid/ presta una atenci—n personalizada individual y/o grupal en rŽgimen ambulatorio a las personas que presentan problemas de abuso o dependencia del alcohol y de otras drogas.;De lunes a viernes ma–anas de 9 a 14 horas/ tardes de 15:30 a 18 horas;Bus: 9/ 73/ N2Metro: Alfonso XIII (L4)/ Prosperidad (L4) Bicicletas:  Servicio Bicimad/ para consultar la estaci—n m‡s cercana/ acceda al mapa de geolocalizaci—n de las estaciones.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13ba654d9d91f010VgnVCM2000000c205a0aRCRD;SANTA HORTENSIA;CALLE;V;1;MADRID;MADRID;28002;2;Prosperidad;https://wikidata.org/entity/Q4776;5;Chamart’n;https://wikidata.org/entity/Q1766348;443159;4477482;40.424;-3.697;917 440 599;tto.adicciones@caritasmadrid.org;Centros Asistencia Drogodependientes
53123;Centro Concertado de Atenci—n a las Adicciones (CCAD) Casa de Campo (Cruz Roja);El CCAD  Casa de Campo que forma parte de la red del Instituto de Adicciones de la Ciudad de Madrid/ presta una atenci—n personalizada individual y/o grupal en rŽgimen ambulatorio a las personas que presentan problemas de abuso o dependencia del alcohol y de otras drogas.;De lunes a viernes de 9 a 17 horas;Bus: 31/ 33/ 36/ 39/ 65/ 138 Metro:Puerta del Angel (L6)/ Lago (L10) Bicicletas:  Servicio Bicimad/ para consultar la estaci—n m‡s cercana/ acceda al mapa de geolocalizaci—n de las estaciones.;Forma de acceso: directo;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=97d3598d1351c010VgnVCM1000000b205a0aRCRD;PORTUGAL;AVENIDA;V;0;MADRID;MADRID;28011;2;Barrio de Puerta del çngel;https://wikidata.org/entity/Q31142;10;Latina;https://wikidata.org/entity/Q794954;438577;4474219;40.446;-3.670;914 799 499;;Centros Asistencia Drogodependientes
11867;Centro de Atenci—n a las Adicciones (CAD) de Arganzuela;;Horario ordinario:   De septiembre a junio:   De lunes a jueves de 8:30 a 19:30 horas Viernes de 8:30 a 14:30 horas   Horario verano:  Del 15 al 30 de junio y del 1 al 15 de septiembre  De lunes a jueves de 8 a 19:30 horas  Viernes de 8 a 14:00 horas     Del 1 de julio al 31 de agosto  De lunes a viernes 8:30 a 13:45;Bus: 6 / 8 / 18 / 19 / 22 / 45 / 47 / 76 / 78 / 79 / 85 / 86 / 88 / 123 / 148 / 247Metro: Legazpi (L 3 y L 6) Bicicletas:  Servicio Bicimad/ para consultar la estaci—n m‡s cercana/ acceda al mapa de geolocalizaci—n de las estaciones.;Forma de acceso: directo/ a travŽs de los servicios municipales/ servicios de salud o entidades comunitarias.  çmbito de actuaci—n:  Distrito de Arganzuela Distrito de Centro Distrito de Retiro Distrito de Salamanca;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=de74d4985261c010VgnVCM1000000b205a0aRCRD;CHOPERA;PASEO;V;12;MADRID;MADRID;28045;3;La Chopera;https://wikidata.org/entity/Q3773750;2;Arganzuela;https://wikidata.org/entity/Q2000929;440757;4471619;40.416;-3.723;915 886 186;cadarganzuela@madrid.es;Centros Asistencia Drogodependientes
11887;Centro de Atenci—n a las Adicciones (CAD) de Hortaleza;;Horario ordinario:   De septiembre a junio:   De lunes a jueves de 8:30 a 19:30 horas Viernes de 8:30 a 14:30 horas   Horario verano:  Del 15 al 30 de junio y del 1 al 15 de septiembre  De lunes a jueves de 8 a 19:30 horas Viernes de 8 a 14:00 horas   Del 1 de julio al 31 de agosto  De lunes a viernes de 8:30 a 13:45 horas;Bus: 73/ 87/ 104/ 112/ 120/ 125/ 153/ 172Metro: Mar de Cristal (L4/ L8) Bicicletas:  Servicio Bicimad/ para consultar la estaci—n m‡s cercana/ acceda al mapa de geolocalizaci—n de las estaciones.;Acceso: directo/ a travŽs de los servicios municipales/ servicios de salud o entidades comunitarias  çmbito de actuaci—n:  Distrito de Hortaleza Distrito de Chamart’n Distrito de Barajas Distrito Ciudad Lineal los barrios: San Juan Bautista/ Colina/ Atalaya y Costillares;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=25a4d4985261c010VgnVCM1000000b205a0aRCRD;MINAYA;CALLE;V;7;MADRID;MADRID;28043;3;Canillas;https://wikidata.org/entity/Q9694341;16;Hortaleza;https://wikidata.org/entity/Q1928529;446072;4479929;40.393;-3.698;913 822 530;cadhortaleza@madrid. es;Centros Asistencia Drogodependientes
11862;Centro de Atenci—n a las Adicciones (CAD) de Latina;;Horario ordinario:   De septiembre a junio:   De lunes a jueves de 8:30 a 19:30 horas Viernes de 8:30 a 14:30 horas   Horario verano:  Del 15 al 30 de junio y del 1 al 15 de septiembre  De lunes a jueves de 8 a 19:30 horas Viernes de 8 a 14:00 horas   Del 1 de julio al 31 de agosto  De lunes a viernes de 8:30 a 13:45 horas;Bus: 25 / 31/ 138Metro: Laguna (L 6)/ Casa de Campo (L 10);Acceso: directo/ a traves de los servicios municipales/ servicios de salud o entidades comunitarias  çmbito de actuaci—n:  Distrito de Latina Distrito de Moncloa - Aravaca: barrios de Arg&amp/uuml/elles/ Plant’o/ Aravaca y Casa de Campo Distrito Carabanchel: barrios de San Isidro/ Vista Alegre y Puerta Bonita.;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7bc4d4985261c010VgnVCM1000000b205a0aRCRD;CAMARENA;CALLE;V;10;MADRID;MADRID;28047;4;Aluche;https://wikidata.org/entity/Q31140;10;Latina;https://wikidata.org/entity/Q794954;435820;4471982;40.468;-3.636;917 198 989;cadlatina@madrid.es;Centros Asistencia Drogodependientes
11865;Centro de Atenci—n a las Adicciones (CAD) de San Blas;;Horario ordinario:   De septiembre a junio:   De lunes a jueves de 8:30 a 19:30 horas Viernes de 8:30 a 14:30 horas   Horario verano:  Del 15 al 30 de junio y del 1 al 15 de septiembre  De lunes a jueves de 8 a 19:30 horas Viernes de 8 a 14:00 horas   Del 1 de julio al 31 de agosto  De lunes a viernes de 8:30 a 13:45 horas;Bus: 77/ 104/ 105/ 775Metro: Suances (L 5);Acceso: directo/ a traves de los servicios municipales/ servicios de salud o entidades comunitarias  çmbito de actuaci—n  Distrito de San Blas Distrito de Ciudad Lineal los barrios: Ventas/ Pueblo Nuevo/ Quintana/ Concepci—n y San Pascual Distrito de Vic‡lvaro;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c1f4d4985261c010VgnVCM1000000b205a0aRCRD;ALCALA;CALLE;V;527;MADRID;MADRID;28027;8;Salvador;https://wikidata.org/entity/Q10367095;20;San Blas-Canillejas;https://wikidata.org/entity/Q2001937;446815;4476892;40.395;-3.756;917 434 771;cadsanblas@madrid.es;Centros Asistencia Drogodependientes
11866;Centro de Atenci—n a las Adicciones (CAD) de Tetu‡n;;Horario ordinario:   De septiembre a junio:   De lunes a jueves de 8:30 a 19:30 horas Viernes de 8:30 a 14:30 horas   Horario verano:  Del 15 al 30 de junio y del 1 al 15 de septiembre  De lunes a jueves de 8 a 19:30 horas Viernes de 8 a 14:00 horas   Del 1 de julio al 31 de agosto  De lunes a viernes de 8:30 a 13:45 horas;Bus: 42Metro: Ventilla (L-9)/ Valdeacederas (L-1) Bicicletas:  Servicio Bicimad/ para consultar la estaci—n m‡s cercana/ acceda al mapa de geolocalizaci—n de las estaciones.;Acceso: directo/ a travŽs de los servicios municipales/ servicios de salud o entidades comunitarias  çmbito de actuaci—n  Distrito de Tetu‡n Distrito de Fuencarral-El Pardo Distrito de Chamber’ Distrito de Moncloa-Aravaca: Ciudad Universitaria/ Valdezarza y Valdemar’n;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1815d4985261c010VgnVCM1000000b205a0aRCRD;PINOS ALTA;CALLE;V;122;MADRID;MADRID;28029;4;Almenara;https://wikidata.org/entity/Q2265427;6;Tetu‡n;https://wikidata.org/entity/Q1773540;440529;4480255;40.440;-3.627;913 235 920;cadtetuan@madrid.es;Centros Asistencia Drogodependientes
11864;Centro de Atenci—n a las Adicciones (CAD) de Vallecas;;Horario ordinario:   De septiembre a junio:   De lunes a jueves de 8:30 a 19:30 horas Viernes de 8:30 a 14:30 horas   Horario verano:  Del 15 al 30 de junio y del 1 al 15 de septiembre  De lunes a jueves de 8 a 19:30 horas Viernes de 8 a 14:00 horas   Del 1 de julio al 31 de agosto  De lunes a viernes de 8:30 a 13:45 horas;Bus: 10/ 24/ 54/ 57/ 58/ 111/ 136/ 140/ 310Metro: Nueva Numancia (L1) Bicicletas:  Servicio Bicimad/ para consultar la estaci—n m‡s cercana/ acceda al mapa de geolocalizaci—n de las estaciones.;Acceso: directo/ a traves de los servicios municipales/ servicios de salud o entidades comunitarias  çmbito de actuaci—n  Distrito de Villa de Vallecas Distrito de Puente de Vallecas Distrito de Moratalaz;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6e35d4985261c010VgnVCM1000000b205a0aRCRD;CONCORDIA;CALLE;NUM;17;MADRID;MADRID;28053;2;San Diego;https://wikidata.org/entity/Q11946851;13;Puente de Vallecas;https://wikidata.org/entity/Q2003054;443517;4471815;40.470;-3.701;914 801 486;cadvallecas@madrid.es;Centros Asistencia Drogodependientes
11863;Centro de Atenci—n a las Adicciones (CAD) de Villaverde;;Horario ordinario:   De septiembre a junio:   De lunes a jueves de 8:30 a 19:30 horas Viernes de 8:30 a 14:30 horas   Horario verano:  Del 15 al 30 de junio y del 1 al 15 de septiembre  De lunes a jueves de 8 a 19:30 horas Viernes de 8 a 14:00 horas   Del 1 de julio al 31 de agosto  De lunes a viernes de 8:30 a 13:45 horas;Bus: 76Renfe: Cercan’as Puente Alcocer Bicicletas:  Servicio Bicimad/ para consultar la estaci—n m‡s cercana/ acceda al mapa de geolocalizaci—n de las estaciones.;Acceso: Directo a travŽs de los servicios municipales/ servicios de salud o entidades comunitarias.  çmbito de Actuaci—n  Distrito de Villaverde. Distrito de Usera. Distrito de Carabanchel/ los barrios: Comillas/ Opa–el/ Abrantes y Buenavista;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b465d4985261c010VgnVCM1000000b205a0aRCRD;VERDE VIENTO;CALLE;V;16;MADRID;MADRID;28021;1;Villaverde Alto - Casco Hist—rico de Villaverde;https://wikidata.org/entity/Q390435;17;Villaverde;https://wikidata.org/entity/Q919536;439047;4467110;40.395;-3.665;917 231 110;cadvillaverde@madrid.es;Centros Asistencia Drogodependientes
11868;Centro de Atenci—n Integral a Drogodependientes CAID Este;Centro de la red asistencial para las adicciones de la Comunidad de Madrid.;Lunes a viernes/ de 9 a 21 horas.;Metro: San Blas (l’nea 7).  Bus: 153/ 38/ 165/ 167/ 48.;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2385d4985261c010VgnVCM1000000b205a0aRCRD;CIVICA;PLAZA;V;8;MADRID;MADRID;28037;7;Canillejas;https://wikidata.org/entity/Q663013;20;San Blas-Canillejas;https://wikidata.org/entity/Q2001937;447678;4475575;40.352;-3.717;913 064 542 / 913 064 543 / 901 350 350;caideste@salud.madrid.org;Centros Asistencia Drogodependientes
