PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2023;10;05;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;3;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;4;6;28079004_6_48;2023;10;05;0.6;V;0.5;V;0.5;V;0.4;V;0.3;V;0.3;V;0.4;V;0.5;V;0.6;V;0.8;V;0.7;V;0.6;V;0.5;V;0.4;V;0.4;V;0.3;V;0.3;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;4;7;28079004_7_8;2023;10;05;10;V;14;V;8;V;4;V;4;V;3;V;10;V;39;V;55;V;92;V;87;V;45;V;17;V;10;V;9;V;6;V;5;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;4;8;28079004_8_8;2023;10;05;71;V;64;V;50;V;37;V;30;V;22;V;29;V;45;V;49;V;59;V;63;V;65;V;51;V;42;V;41;V;26;V;22;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;4;12;28079004_12_8;2023;10;05;86;V;85;V;62;V;43;V;35;V;27;V;45;V;104;V;133;V;200;V;197;V;134;V;77;V;58;V;54;V;35;V;30;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;1;28079008_1_38;2023;10;05;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;6;28079008_6_48;2023;10;05;0.6;V;0.3;V;0.2;V;0.2;V;0.2;V;0.1;V;0.1;V;0.2;V;0.3;V;0.4;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;7;28079008_7_8;2023;10;05;19;V;1;V;2;V;1;V;1;V;1;V;1;V;4;V;13;V;28;V;16;V;14;V;9;V;7;V;6;V;4;V;5;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;8;28079008_8_8;2023;10;05;107;V;49;V;36;V;29;V;27;V;21;V;27;V;49;V;68;V;74;V;55;V;49;V;42;V;44;V;38;V;28;V;30;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;9;28079008_9_47;2023;10;05;27;V;19;V;21;V;21;V;13;V;14;V;13;V;17;V;22;V;13;V;19;V;10;V;13;V;4;V;16;V;9;V;19;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N
