IPEDSID,Applicants total,Enrollment rate,Admission rate,Admissions total,Enrolled total,Average graduation rate
100654,6142,17,89,5521,1104,20
100663,5689,31,86,4934,1773,42
100706,2054,31,80,1656,651,33
100724,10245,14,51,5251,1479,17
100751,30975,20,56,17515,6454,57
100830,1958,29,83,1639,579,19
100858,15745,23,82,13027,3726,56
100937,1931,18,64,1240,356,58
101435,1470,17,62,923,261,37
101480,3083,37,83,2567,1158,22
101541,268,25,73,198,68,40
101587,462,82,99,460,380,25
101693,866,29,71,617,259,43
101709,1385,38,87,1209,531,36
101879,2542,38,80,2057,970,23
101912,2728,14,34,937,409,29
102049,3447,22,76,2653,765,60
102094,4814,39,86,4142,1878,24
102234,6596,6,46,3052,431,52
102270,4121,6,42,1772,257,22
102368,5946,35,68,4056,2087,26
102377,10022,6,35,3519,650,32
102669,494,6,37,185,33,32
104151,21770,32,80,17465,7171,50
104179,26329,28,76,20251,7401,53
104586,1689,26,78,1334,448,50
105330,33989,14,91,31057,4772,41
105589,399,12,72,291,49,32
105899,344,26,60,209,90,40
106245,1443,46,52,761,667,14
106342,1309,13,58,772,174,46
106397,18908,22,58,11076,4339,50
106412,4094,13,27,1134,568,17
106458,4838,33,75,3653,1619,28
106467,3847,45,85,3271,1755,32
106704,3659,58,89,3292,2157,33
106713,540,23,54,292,129,31
107044,2180,47,76,1663,1041,53
107071,3350,21,62,2084,704,22
107080,1928,22,80,1550,436,67
107141,1143,26,69,798,305,61
107512,1740,22,70,1220,394,55
107558,1061,14,61,651,159,43
107877,531,29,67,361,156,33
107983,2720,24,60,1654,663,22
108092,3905,34,57,2240,1343,17
109785,5329,23,79,4255,1250,58
110097,4816,18,72,3509,903,60
110361,3853,25,78,3036,993,51
110404,5535,4,10,584,249,88
110413,6920,7,48,3323,540,66
110422,36941,9,31,11537,3635,53
110486,6630,20,66,4393,1328,28
110495,5763,19,72,4158,1109,37
110510,12239,20,58,7137,2448,26
110529,28143,11,52,14686,3120,32
110538,17215,15,71,12327,2714,40
110547,14742,8,57,8472,1214,16
110556,16242,19,58,9444,3139,33
110565,38909,11,45,17817,4526,35
110574,12741,12,68,8756,1572,26
