IPEDSID,Year,Ranking
186131,2023,1
166683,2023,2
166027,2023,3
130794,2023,3
243744,2023,3
144050,2023,6
215062,2023,7
162928,2023,7
110404,2023,9
198419,2023,10
147767,2023,10
182670,2023,12
217156,2023,13
221999,2023,13
179867,2023,15
227757,2023,15
190415,2023,17
190150,2023,18
152080,2023,18
110662,2023,20
110635,2023,20
139658,2023,22
131496,2023,22
211440,2023,22
170976,2023,25
234076,2023,25
123961,2023,25
193900,2023,25
134130,2023,29
199120,2023,29
199847,2023,29
168148,2023,32
110705,2023,32
110680,2023,34
110653,2023,34
195030,2023,36
164924,2023,36
110644,2023,38
228778,2023,38
240444,2023,38
231624,2023,41
164988,2023,41
145637,2023,41
139755,2023,44
165015,2023,44
201645,2023,44
160755,2023,44
167358,2023,44
139959,2023,49
204796,2023,49
213543,2023,51
243780,2023,51
216597,2023,51
194824,2023,51
121150,2023,55
134097,2023,55
122931,2023,55
135726,2023,55
163286,2023,55
236948,2023,55
186380,2023,55
196413,2023,62
215293,2023,62
131469,2023,62
174066,2023,62
233921,2023,62
129020,2023,67
168421,2023,67
228723,2023,67
166629,2023,67
197708,2023,67
191241,2023,72
151351,2023,72
228246,2023,72
131159,2023,72
199193,2023,72
214777,2023,77
223232,2023,77
217882,2023,77
117946,2023,77
171100,2023,77
196097,2023,77
235316,2023,83
196079,2023,83
239105,2023,83
186867,2023,83
153658,2023,83
110714,2023,83
230038,2023,89
126775,2023,89
198516,2023,89
131520,2023,89
228875,2023,89
110671,2023,89
196088,2023,89
130943,2023,89
445188,2023,97
122436,2023,97
100858,2023,97
126614,2023,97
165334,2023,97
185828,2023,97
145600,2023,97
137351,2023,97
127060,2023,105
209551,2023,105
230764,2023,105
212054,2023,105
204024,2023,105
179159,2023,105
104179,2023,105
122612,2023,105
195003,2023,105
196103,2023,105
181002,2023,115
146719,2023,115
221759,2023,115
218663,2023,115
186399,2023,115
129242,2023,115
216339,2023,121
104151,2023,121
111948,2023,121
231174,2023,121
155317,2023,121
178396,2023,121
145725,2023,127
153603,2023,127
190044,2023,127
131450,2023,127
202480,2023,127
207500,2023,127
193654,2023,127
102049,2023,127
186371,2023,127
216366,2023,127
144740,2023,137
236595,2023,137
186584,2023,137
157085,2023,137
153269,2023,137
183044,2023,137
174914,2023,137
207971,2023,137
232186,2023,137
100751,2023,137
100663,2023,137
132903,2023,137
110583,2023,137
163268,2023,137
131283,2023,>150
167783,2023,>150
117140,2023,>150
181464,2023,>150
228787,2023,>150
120883,2023,>150
126818,2023,>150
190567,2023,>150
212106,2023,>150
171128,2023,>150
130226,2023,>150
122409,2023,>150
201885,2023,>150
176017,2023,>150
204857,2023,>150
106397,2023,>150
236939,2023,>150
186131,2022,1
166683,2022,2
166027,2022,2
130794,2022,5
243744,2022,6
144050,2022,6
215062,2022,8
162928,2022,9
110404,2022,9
198419,2022,9
147767,2022,9
182670,2022,13
217156,2022,14
221999,2022,14
179867,2022,14
227757,2022,17
190415,2022,17
190150,2022,2
152080,2022,19
110662,2022,20
110635,2022,22
139658,2022,21
131496,2022,23
211440,2022,25
170976,2022,23
234076,2022,25
123961,2022,27
193900,2022,28
134130,2022,28
199120,2022,28
199847,2022,28
168148,2022,28
110705,2022,28
110680,2022,34
110653,2022,36
195030,2022,34
164924,2022,36
110644,2022,38
228778,2022,38
240444,2022,42
231624,2022,38
164988,2022,42
145637,2022,47
139755,2022,38
165015,2022,42
201645,2022,42
160755,2022,42
167358,2022,49
139959,2022,48
204796,2022,49
213543,2022,49
243780,2022,49
216597,2022,49
194824,2022,55
121150,2022,49
134097,2022,55
122931,2022,55
135726,2022,55
163286,2022,59
236948,2022,59
186380,2022,63
196413,2022,59
215293,2022,59
131469,2022,63
174066,2022,68
233921,2022,75
129020,2022,63
168421,2022,63
228723,2022,68
166629,2022,68
197708,2022,68
191241,2022,68
151351,2022,68
228246,2022,68
131159,2022,79
199193,2022,79
214777,2022,63
223232,2022,75
217882,2022,75
117946,2022,75
171100,2022,83
196097,2022,93
235316,2022,79
196079,2022,83
239105,2022,83
186867,2022,83
153658,2022,83
110714,2022,103
230038,2022,79
126775,2022,83
198516,2022,83
131520,2022,83
228875,2022,83
110671,2022,83
196088,2022,93
130943,2022,93
445188,2022,93
122436,2022,93
100858,2022,99
126614,2022,99
165334,2022,103
185828,2022,103
145600,2022,103
137351,2022,103
127060,2022,93
209551,2022,99
230764,2022,99
212054,2022,103
204024,2022,103
179159,2022,103
104179,2022,103
122612,2022,103
195003,2022,117
196103,2022,117
181002,2022,103
146719,2022,103
221759,2022,103
218663,2022,117
186399,2022,127
129242,2022,>150
216339,2022,103
104151,2022,117
111948,2022,117
231174,2022,117
155317,2022,122
178396,2022,122
145725,2022,122
153603,2022,122
190044,2022,127
131450,2022,127
202480,2022,127
207500,2022,127
193654,2022,136
102049,2022,136
186371,2022,148
216366,2022,148
144740,2022,127
236595,2022,127
186584,2022,127
157085,2022,127
153269,2022,136
183044,2022,136
174914,2022,136
207971,2022,136
232186,2022,148
100751,2022,148
100663,2022,148
132903,2022,148
110583,2022,>150
163268,2022,>150
131283,2022,136
167783,2022,136
117140,2022,136
181464,2022,136
228787,2022,136
120883,2022,136
126818,2022,148
190567,2022,148
212106,2022,148
171128,2022,148
130226,2022,148
122409,2022,148
201885,2022,148
176017,2022,148
204857,2022,>150
106397,2022,>150
236939,2022,>150
186131,2021,1
166683,2021,4
166027,2021,2
130794,2021,4
243744,2021,6
144050,2021,6
215062,2021,8
162928,2021,9
110404,2021,9
198419,2021,12
147767,2021,9
182670,2021,13
217156,2021,14
221999,2021,14
179867,2021,16
227757,2021,16
190415,2021,18
190150,2021,3
152080,2021,19
110662,2021,20
110635,2021,22
139658,2021,21
131496,2021,23
211440,2021,26
170976,2021,24
234076,2021,26
123961,2021,24
193900,2021,30
134130,2021,30
199120,2021,28
199847,2021,28
168148,2021,30
110705,2021,30
110680,2021,35
110653,2021,35
195030,2021,34
164924,2021,35
110644,2021,39
228778,2021,42
240444,2021,42
231624,2021,39
164988,2021,42
145637,2021,47
139755,2021,35
165015,2021,42
201645,2021,42
160755,2021,41
167358,2021,49
139959,2021,47
204796,2021,>150
213543,2021,49
243780,2021,>150
216597,2021,>150
194824,2021,>150
121150,2021,49
134097,2021,>150
122931,2021,>150
135726,2021,49
163286,2021,>150
236948,2021,>150
186380,2021,>150
196413,2021,>150
215293,2021,>150
131469,2021,>150
174066,2021,>150
233921,2021,>150
129020,2021,>150
168421,2021,>150
228723,2021,>150
166629,2021,>150
197708,2021,>150
191241,2021,>150
151351,2021,>150
228246,2021,>150
131159,2021,>150
199193,2021,>150
214777,2021,>150
223232,2021,>150
217882,2021,>150
117946,2021,>150
171100,2021,>150
196097,2021,>150
235316,2021,>150
196079,2021,>150
239105,2021,>150
186867,2021,>150
153658,2021,>150
110714,2021,>150
230038,2021,>150
126775,2021,>150
198516,2021,>150
131520,2021,>150
228875,2021,>150
110671,2021,>150
196088,2021,>150
130943,2021,>150
445188,2021,>150
122436,2021,>150
100858,2021,>150
126614,2021,>150
165334,2021,>150
185828,2021,>150
145600,2021,>150
137351,2021,>150
127060,2021,>150
209551,2021,>150
230764,2021,>150
212054,2021,>150
204024,2021,>150
179159,2021,>150
104179,2021,>150
122612,2021,>150
195003,2021,>150
196103,2021,>150
181002,2021,>150
146719,2021,>150
221759,2021,>150
218663,2021,>150
186399,2021,>150
129242,2021,>150
216339,2021,>150
104151,2021,>150
111948,2021,>150
231174,2021,>150
155317,2021,>150
178396,2021,>150
145725,2021,>150
153603,2021,>150
190044,2021,>150
131450,2021,>150
202480,2021,>150
207500,2021,>150
193654,2021,>150
102049,2021,>150
186371,2021,>150
216366,2021,>150
144740,2021,>150
236595,2021,>150
186584,2021,>150
157085,2021,>150
153269,2021,>150
183044,2021,>150
174914,2021,>150
207971,2021,>150
232186,2021,>150
100751,2021,>150
100663,2021,>150
132903,2021,>150
110583,2021,>150
163268,2021,>150
131283,2021,>150
167783,2021,>150
117140,2021,>150
181464,2021,>150
228787,2021,>150
120883,2021,>150
126818,2021,>150
190567,2021,>150
212106,2021,>150
171128,2021,>150
130226,2021,>150
122409,2021,>150
201885,2021,>150
176017,2021,>150
204857,2021,>150
106397,2021,>150
236939,2021,>150
186131,2020,1
166683,2020,3
166027,2020,2
130794,2020,3
243744,2020,6
144050,2020,6
215062,2020,6
162928,2020,10
110404,2020,12
198419,2020,10
147767,2020,9
182670,2020,12
217156,2020,14
221999,2020,17
179867,2020,19
227757,2020,17
190415,2020,17
190150,2020,3
152080,2020,15
110662,2020,20
110635,2020,22
139658,2020,21
131496,2020,24
211440,2020,25
170976,2020,25
234076,2020,28
123961,2020,22
193900,2020,29
134130,2020,34
199120,2020,29
199847,2020,27
168148,2020,29
110705,2020,34
110680,2020,37
110653,2020,36
195030,2020,29
164924,2020,37
110644,2020,39
228778,2020,48
240444,2020,46
231624,2020,40
164988,2020,40
145637,2020,48
139755,2020,29
165015,2020,40
201645,2020,40
160755,2020,40
167358,2020,40
139959,2020,50
204796,2020,54
213543,2020,50
243780,2020,57
216597,2020,46
194824,2020,50
121150,2020,50
134097,2020,57
122931,2020,>150
135726,2020,57
163286,2020,64
236948,2020,62
186380,2020,62
196413,2020,54
215293,2020,57
131469,2020,70
174066,2020,70
233921,2020,74
129020,2020,>150
168421,2020,64
228723,2020,70
166629,2020,64
197708,2020,97
191241,2020,74
151351,2020,79
228246,2020,64
131159,2020,77
199193,2020,84
214777,2020,57
223232,2020,79
217882,2020,70
117946,2020,>150
171100,2020,84
196097,2020,91
235316,2020,>150
196079,2020,79
239105,2020,84
186867,2020,74
153658,2020,84
110714,2020,84
230038,2020,77
126775,2020,84
198516,2020,>150
131520,2020,104
228875,2020,97
110671,2020,91
196088,2020,79
130943,2020,91
445188,2020,>150
122436,2020,91
100858,2020,107
126614,2020,104
165334,2020,91
185828,2020,>150
145600,2020,>150
137351,2020,>150
127060,2020,97
209551,2020,104
230764,2020,>150
212054,2020,97
204024,2020,91
179159,2020,97
104179,2020,117
122612,2020,>150
195003,2020,>150
196103,2020,>150
181002,2020,>150
146719,2020,104
221759,2020,104
218663,2020,104
186399,2020,>150
129242,2020,>150
216339,2020,>150
104151,2020,117
111948,2020,>150
231174,2020,121
155317,2020,130
178396,2020,139
145725,2020,117
153603,2020,121
190044,2020,117
131450,2020,>150
202480,2020,132
207500,2020,132
193654,2020,>150
102049,2020,>150
186371,2020,>150
216366,2020,>150
144740,2020,>150
236595,2020,>150
186584,2020,>150
157085,2020,132
153269,2020,>150
183044,2020,125
174914,2020,>150
207971,2020,121
232186,2020,>150
100751,2020,153
100663,2020,>150
132903,2020,>150
110583,2020,>150
163268,2020,>150
131283,2020,139
167783,2020,>150
117140,2020,>150
181464,2020,139
228787,2020,>150
120883,2020,125
126818,2020,166
190567,2020,>150
212106,2020,>150
171128,2020,147
130226,2020,>150
122409,2020,>150
201885,2020,>150
176017,2020,>150
204857,2020,>150
106397,2020,153
236939,2020,>150
186131,2019,1
166683,2019,3
166027,2019,2
130794,2019,3
243744,2019,7
144050,2019,3
215062,2019,8
162928,2019,10
110404,2019,12
198419,2019,8
147767,2019,10
182670,2019,12
217156,2019,14
221999,2019,14
179867,2019,19
227757,2019,16
190415,2019,16
190150,2019,3
152080,2019,18
110662,2019,19
110635,2019,22
139658,2019,22
131496,2019,22
211440,2019,25
170976,2019,27
234076,2019,25
123961,2019,22
193900,2019,30
134130,2019,35
199120,2019,30
199847,2019,27
168148,2019,27
110705,2019,30
110680,2019,41
110653,2019,33
195030,2019,33
164924,2019,38
110644,2019,38
228778,2019,49
240444,2019,49
231624,2019,38
164988,2019,42
145637,2019,46
139755,2019,35
165015,2019,35
201645,2019,42
160755,2019,44
167358,2019,44
139959,2019,46
204796,2019,56
213543,2019,53
243780,2019,56
216597,2019,49
194824,2019,49
121150,2019,46
134097,2019,70
122931,2019,>150
135726,2019,53
163286,2019,63
236948,2019,59
186380,2019,56
196413,2019,53
215293,2019,70
131469,2019,63
174066,2019,76
233921,2019,76
129020,2019,>150
168421,2019,59
228723,2019,66
166629,2019,70
197708,2019,80
191241,2019,70
151351,2019,89
228246,2019,63
131159,2019,78
199193,2019,80
214777,2019,59
223232,2019,78
217882,2019,66
117946,2019,>150
171100,2019,85
196097,2019,80
235316,2019,>150
196079,2019,80
239105,2019,89
186867,2019,70
153658,2019,89
110714,2019,70
230038,2019,63
126775,2019,80
198516,2019,>150
131520,2019,89
228875,2019,80
110671,2019,85
196088,2019,89
130943,2019,89
445188,2019,>150
122436,2019,85
100858,2019,115
126614,2019,96
165334,2019,66
185828,2019,>150
145600,2019,>150
137351,2019,>150
127060,2019,96
209551,2019,102
230764,2019,>150
212054,2019,102
204024,2019,89
179159,2019,106
104179,2019,106
122612,2019,>150
195003,2019,>150
196103,2019,>150
181002,2019,>150
146719,2019,89
221759,2019,115
218663,2019,106
186399,2019,>150
129242,2019,>150
216339,2019,>150
104151,2019,115
111948,2019,>150
231174,2019,96
155317,2019,129
178396,2019,129
145725,2019,96
153603,2019,119
190044,2019,102
131450,2019,>150
202480,2019,127
207500,2019,124
193654,2019,>150
102049,2019,>150
186371,2019,>150
216366,2019,>150
144740,2019,>150
236595,2019,>150
186584,2019,>150
157085,2019,147
153269,2019,>150
183044,2019,106
174914,2019,>150
207971,2019,106
232186,2019,>150
100751,2019,129
100663,2019,>150
132903,2019,>150
110583,2019,>150
163268,2019,>150
131283,2019,129
167783,2019,>150
117140,2019,>150
181464,2019,129
228787,2019,>150
120883,2019,106
126818,2019,140
190567,2019,>150
212106,2019,>150
171128,2019,136
130226,2019,>150
122409,2019,>150
201885,2019,>150
176017,2019,>150
204857,2019,>150
106397,2019,147
236939,2019,>150
186131,2018,1
166683,2018,5
166027,2018,2
130794,2018,3
243744,2018,5
144050,2018,3
215062,2018,8
162928,2018,11
110404,2018,10
198419,2018,9
147767,2018,11
182670,2018,11
217156,2018,14
221999,2018,14
179867,2018,18
227757,2018,14
190415,2018,14
190150,2018,5
152080,2018,18
110662,2018,21
110635,2018,21
139658,2018,21
131496,2018,20
211440,2018,25
170976,2018,28
234076,2018,25
123961,2018,21
193900,2018,30
134130,2018,42
199120,2018,30
199847,2018,27
168148,2018,29
110705,2018,37
110680,2018,42
110653,2018,42
195030,2018,34
164924,2018,32
110644,2018,46
228778,2018,56
240444,2018,46
231624,2018,32
164988,2018,37
145637,2018,52
139755,2018,34
165015,2018,34
201645,2018,37
160755,2018,40
167358,2018,40
139959,2018,54
204796,2018,54
213543,2018,46
243780,2018,56
216597,2018,49
194824,2018,42
121150,2018,46
134097,2018,81
122931,2018,>150
135726,2018,46
163286,2018,61
236948,2018,56
186380,2018,69
196413,2018,61
215293,2018,68
131469,2018,56
174066,2018,69
233921,2018,69
129020,2018,>150
168421,2018,61
228723,2018,69
