value,year
No Rank,2009
No Rank,2007
Q4 (106-140),1992
No Rank,1999
No Rank,1984
No Rank,1988
No Rank,2005
No Rank,1996
No Rank,2003
164,2022
No Rank,1997
167,2014
No Rank,2011
No Rank,1990
155,2021
No Rank,2002
No Rank,2001
No Rank,2006
168,2019
No Rank,2004
T2 (156-201),2023
171,2012
No Rank,1986
146,2017
Q4 (106-140),1993
T3 (126-184),2008
148,2015
No Rank,2000
147,2018
No Rank,1998
Q4 (107-141),1991
148,2016
157,2020
170,2013
No Rank,2010
No Rank,1995
No Rank,1989
Q4 (106-140),1994
19,1996
18,1998
22,2010
22,2008
23,2009
17,1999
17,2022
11,2020
12,2017
22,2014
17,2004
15,2015
24,2023
18,1991
18,2000
12,2018
21,2012
No Rank,1986
No Rank,1988
23,2011
23,1995
20,2007
No Rank,1984
20,2002
19,2005
15,1993
18,2003
19,2016
15,2021
18,1997
17,1994
22,1989
19,2001
20,1992
23,1990
18,2019
18,2013
20,2006
29,2016
18,2023
26,2018
28,2003
27,2006
No Rank,1984
22,2021
26,2011
25,2000
25,1990
32,2014
No Rank,1986
25,2019
24,1999
29,2005
32,1996
19,1992
Q1 (26-35),1994
26,2007
25,1991
32,2015
28,2013
T1 (26-40),1995
23,1997
28,2002
30,2008
27,2009
29,2001
38,2004
17,2022
25,2020
30,2010
Q1 (26-35),1993
No Rank,1988
27,1998
19,1989
33,2012
27,2017
62,2005
56,2008
T2 (41-80),1995
No Rank,1984
Q2 (37-71),1991
No Rank,1990
63,2004
Q2 (36-70),1992
66,2006
77,2017
T2 (43-80),2000
58,2009
55,2007
84,2021
No Rank,1989
76,2018
86,2019
Q2 (36-70),1993
T2 (53-112),2003
T2 (41-80),1997
T2 (41-89),1999
62,2012
T2 (41-81),1996
Q3 (71-105),1994
59,2011
No Rank,2002
60,2013
67,2016
T2 (52-80),2001
58,2010
No Rank,1988
82,2020
T2 (43-92),1998
89,2023
69,2015
No Rank,1986
85,2022
65,2014
151,2023
T3 (126-184),2008
139,2015
144,2012
No Rank,1984
Q4 (107-141),1991
Q4 (106-140),1994
T4 (122-161),1996
T4 (122-161),2000
T3 (113-161),2003
No Rank,1989
162,2019
No Rank,2009
158,2022
168,2018
130,2013
T4 (123-162),1999
T3 (111-162),2007
T4 (121-160),1995
T3 (111-162),2005
T4 (121-160),1997
Q4 (106-140),1992
T3 (111-161),2004
T3 (111-164),2006
T4 (121-162),2001
131,2011
T2 (164-215),2020
No Rank,2010
No Rank,2002
158,2016
Q4 (106-140),1993
T4 (128-158),1998
No Rank,1986
No Rank,1990
138,2014
155,2021
171,2017
No Rank,1988
No Rank,1990
No Rank,2015
No Rank,1999
No Rank,2013
No Rank,1993
154,2016
No Rank,2009
132,2020
No Rank,1997
No Rank,1996
No Rank,2006
No Rank,1986
No Rank,2001
No Rank,2011
No Rank,2010
No Rank,1992
120,2023
140,2021
No Rank,2000
146,2022
147,2018
No Rank,1988
152,2019
No Rank,1989
No Rank,2004
No Rank,1998
No Rank,2007
No Rank,2014
No Rank,1995
149,2017
No Rank,1994
No Rank,2003
No Rank,2005
No Rank,2012
No Rank,2008
No Rank,1984
No Rank,2002
No Rank,1991
No Rank,1995
No Rank,1996
No Rank,2007
136,2022
No Rank,2006
No Rank,1997
T3 (126-184),2008
No Rank,1991
No Rank,2002
No Rank,2004
No Rank,2000
No Rank,2003
No Rank,1989
163,2018
No Rank,2001
No Rank,1984
130,2023
148,2020
No Rank,2013
162,2019
No Rank,2016
154,2017
136,2021
No Rank,1998
No Rank,2015
No Rank,1986
No Rank,1988
No Rank,2009
No Rank,2012
No Rank,1993
No Rank,1999
No Rank,2005
No Rank,1994
No Rank,2014
No Rank,1992
180,2011
No Rank,1990
No Rank,2010
No Rank,1988
119,2017
123,2018
No Rank,1986
136,2022
Q3 (71-105),1993
Q3 (71-105),1994
T4 (123-162),1999
T3 (81-120),2001
T3 (82-121),1996
130,2021
142,2023
T3 (111-164),2006
No Rank,1989
Q3 (71-105),1992
97,2010
T3 (111-161),2004
124,2019
101,2011
120,2015
No Rank,1984
120,2014
T3 (93-127),1998
98,2009
95,2007
130,2020
No Rank,2002
116,2016
105,2005
Q3 (72-106),1991
T2 (53-112),2003
No Rank,1990
T3 (81-120),1995
112,2013
T3 (81-120),1997
102,2012
106,2008
T3 (81-121),2000
100,2013
106,2008
87,2018
Q3 (71-105),1994
100,2014
T3 (81-120),1997
T2 (43-92),1998
Q3 (71-105),1993
112,2010
T4 (122-161),2000
No Rank,1984
No Rank,1989
84,2023
70,2004
No Rank,1986
Q2 (37-71),1991
89,2020
90,2017
76,2021
T3 (81-120),2001
No Rank,1988
95,2019
79,2022
89,2015
T3 (90-122),1999
102,2012
100,2006
T3 (81-120),1995
No Rank,1990
T2 (53-112),2003
104,2009
Q2 (36-70),1992
T3 (82-121),1996
96,2005
No Rank,2002
122,2011
91,2007
93,2016
53,2005
52,2007
67,2011
62,2022
56,2009
63,2023
59,2014
T2 (41-80),1997
58,2020
56,2008
52,2004
48,2002
53,2006
57,2016
Q2 (36-70),1993
60,2017
56,2013
60,2012
Q2 (36-70),1994
42,2001
T1 (26-40),1995
59,2010
No Rank,1989
Q2 (36-70),1992
No Rank,1986
40,2000
40,1998
No Rank,1988
No Rank,1990
59,2015
No Rank,1984
63,2021
56,2019
Q2 (37-71),1991
50,2003
T2 (41-81),1996
58,2018
T2 (41-89),1999
T3 (81-121),2000
121,2013
104,2009
