nameCity,uniname
North Miami,Bellasa Professional Institute
Bellingham,Whatcom Community College
Savannah,South University
Charleston,Charleston Cosmetology Institute
Santa Fe Springs,Presbyterian Theological Seminary In America
Batesville,University of Arkansas Community College at Batesville
Andalusia,Lurleen B. Wallace Community College
Oberlin,Lorain County Joint Vocational School District
Glendale,Western Maricopa Education Center
Cleveland,Lakeshore Technical College
Beloit,North Central Kansas Technical College
Los Angeles,Kc Beauty Academy
Hermitage,Laurel Technical Institute
Wentworth,Rockingham Community College
Florence,Heritage Christian University
Conway,University of Central Arkansas
Portsmouth,Shawnee State University
Troy,Hobart Institute Of Welding Technology
Dahlonega,University of North Georgia
Ada,Pontotoc Technology Center
Hollywood,Hollywood Institute Of Beauty Careers
Union,Kean University
Lincoln,Myotherapy Institute
Philadelphia,Missio Theological Seminary
Sidney,Montcalm Community College
Petersburg,Another Level Barbering And Cosmetology School
San Marcos,Texas State University
Kansas City,Ea La Mar'S Cosmetology & Barber College
Lubbock,Texas Tech University
Austin,The University Of Texas System Office
Hialeah,La Belle Beauty School
Piedmont,Arclabs
Battle Creek,Wright Beauty Academy
Wichita,Newman University
Baton Rouge,Baton Rouge School Of Computers
Lakewood,Bais Medrash Toras Chesed
Poplar Bluff,Poplar Bluff Technical Career Center
Hartford,Rensselaer at Hartford
New Orleans,The Chicago School Of Professional Psychology At Xavier University Of Louisiana
Ontario,Baldy View Regional Occupational Program
Oneonta,State University of New York at Oneonta
Tampa,Faith Theological Seminary And Christian College
Gadsden,Gadsden State Community College
Spokane Valley,Studio Beauty School
Lumberton,Robeson Community College
Shreveport,Setting The Standard Barbering And Natural Hair Academy
Chicago,DePaul University
Tarboro,Edgecombe Community College
Aurora,Empire Beauty School-Aurora
San Antonio,Milan Institute-San Antonio Ingram
