score,year
>150,1991
89,2020
>150,1986
>150,1992
17,2021
11,1989
>150,1986
>150,1986
68,2023
>150,2007
>150,1989
39,2018
>150,1988
132,2012
>150,1998
>150,1999
41,ID
>150,2000
7,2015
12,1996
>150,2002
>150,1990
>150,1998
>150,2006
68,2019
>150,1998
>150,1996
>150,1991
>150,2002
111,2018
>150,1999
>150,2019
>150,1986
15,2013
>150,1997
35,2002
128,2011
12,1986
>150,2006
24,2008
24,1997
88,2016
44,2008
>150,2001
41,2002
75,2009
39,2012
>150,2004
104,2021
>150,1989
