uniname,value
Seattle Pacific University,14
Metropolitan State University Of Denver,33
Washington University In St Louis,5
University Of Arkansas-Fort Smith,34
Indiana University-South Bend,37
Hampden-Sydney College,11
Northland College,13
Central Connecticut State University,23
Bryn Mawr College,13
Metropolitan College Of New York,16
University Of Southern Maine,22
Bridgewater State University,24
Ottawa University-Ottawa,54
Drexel University,6
University Of Jamestown,23
Pennsylvania State University-Penn State Lehigh Valley,24
Champlain College,11
Siena Heights University,21
Illinois Institute Of Technology,16
Culver-Stockton College,10
Belmont Abbey College,12
Medaille College,29
Stetson University,8
Wofford College,15
University Of Dayton,11
Union College,9
Felician University,9
Washington And Lee University,7
Longwood University,27
Middle Tennessee State University,33
The University Of Texas Rio Grande Valley,33
Paul Quinn College,11
California State University-Fresno,19
California State Polytechnic University-Pomona,11
Pittsburg State University,37
Saint Augustine'S University,12
Aurora University,25
Furman University,12
St. John'S University-New York,5
Mississippi University For Women,14
Salve Regina University,9
Berry College,17
Suny College Of Technology At Canton,23
Glenville State College,26
Hofstra University,6
Concordia University-Nebraska,21
Lane College,8
Olivet College,15
California Polytechnic State University-San Luis Obispo,9
William Woods University,23
Tiffin University,25
University Of Missouri-Columbia,29
Corban University,7
Texas A & M University-Kingsville,19
Regent University,18
John Carroll University,21
Saint Mary'S College Of California,12
The University Of Texas At El Paso,48
University Of Kentucky,23
Mansfield University Of Pennsylvania,31
North Central College,12
Johnson & Wales University-Charlotte,13
University Of Sioux Falls,17
University Of New Orleans,26
Lewis University,12
California State University Maritime Academy,22
Louisiana State University-Shreveport,64
University Of North Alabama,38
University Of Nevada-Las Vegas,51
University Of Colorado Denver/Anschutz Medical Campus,32
Saint Ambrose University,19
Macalester College,8
Taylor University,28
Warner University,14
Northern Arizona University,14
University Of Colorado Colorado Springs,22
Messiah University,22
Cornell College,11
King University,22
University Of Lynchburg,8
California State University-Northridge,14
Mills College,11
Georgia College & State University,34
Iowa Wesleyan University,7
Huston-Tillotson University,11
Duquesne University,22
University Of Mount Olive,15
Manhattanville College,12
Northwestern Oklahoma State University,49
University Of Houston,19
Bluefield State College,27
Cuny Queens College,7
Salisbury University,13
Texas Woman'S University,26
Middlebury College,6
Merrimack College,12
Rochester Institute Of Technology,17
University Of Wisconsin-La Crosse,27
New Jersey City University,15
William Jewell College,18
