PARQUE;ESPECIE;UNIDADES 2022;;;;;;;;;;;
JARDINES DEL BUEN RETIRO;Aesculus hippocastanum;5877;;;;;;;;;;;
JARDINES DEL BUEN RETIRO;Platanus x hispanica;952;;;;;;;;;;;
JARDINES DEL BUEN RETIRO;Cercis siliquastrum;695;;;;;;;;;;;
JARDINES DEL BUEN RETIRO;Cupressus sempervirens;540;;;;;;;;;;;
JARDINES DEL BUEN RETIRO;Celtis australis;539;;;;;;;;;;;
JARDINES DEL BUEN RETIRO;Gleditsia triacanthos;508;;;;;;;;;;;
JARDINES DEL BUEN RETIRO;Trachycarpus fortunei;484;;;;;;;;;;;
JARDINES DEL BUEN RETIRO;Styphnolobium japonicum;384;;;;;;;;;;;
JARDINES DEL BUEN RETIRO;Pinus pinea;374;;;;;;;;;;;
JARDINES DEL BUEN RETIRO;Ulmus pumila;354;;;;;;;;;;;
JARDINES DEL BUEN RETIRO;Ulmus minor;343;;;;;;;;;;;
JARDINES DEL BUEN RETIRO;Otros;5827;;;;;;;;;;;
;Total:;16.877;;;;;;;;;;;
QUINTA FUENTE DEL BERRO;Ligustrum lucidum;299;;;;;;;;;;;
QUINTA FUENTE DEL BERRO;Cupressus sempervirens;134;;;;;;;;;;;
QUINTA FUENTE DEL BERRO;Aesculus hippocastanum;81;;;;;;;;;;;
QUINTA FUENTE DEL BERRO;Prunus cerasifera  subsp. pissardii;58;;;;;;;;;;;
QUINTA FUENTE DEL BERRO;Cedrus deodara;55;;;;;;;;;;;
QUINTA FUENTE DEL BERRO;Acacia dealbata;47;;;;;;;;;;;
QUINTA FUENTE DEL BERRO;Trachycarpus fortunei;33;;;;;;;;;;;
QUINTA FUENTE DEL BERRO;Populus alba 'Bolleana';30;;;;;;;;;;;
QUINTA FUENTE DEL BERRO;Platanus x hispanica;26;;;;;;;;;;;
QUINTA FUENTE DEL BERRO;Celtis australis;25;;;;;;;;;;;
QUINTA FUENTE DEL BERRO;Otros;325;;;;;;;;;;;
;Total:;1.113;;;;;;;;;;;
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Cercis siliquastrum;745;;;;;;;;;;;
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Cupressus sempervirens;346;;;;;;;;;;;
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Gleditsia triacanthos;213;;;;;;;;;;;
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Pinus pinea;199;;;;;;;;;;;
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Fraxinus angustifolia;184;;;;;;;;;;;
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Quercus robur;138;;;;;;;;;;;
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Platanus x hispanica;139;;;;;;;;;;;
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Acer campestre;114;;;;;;;;;;;
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Robinia pseudoacacia;104;;;;;;;;;;;
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Aesculus hippocastanum;77;;;;;;;;;;;
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Otros;1211;;;;;;;;;;;
;Total:;3.470;;;;;;;;;;;
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Pinus halepensis;2901;;;;;;;;;;;
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Pinus pinea;2864;;;;;;;;;;;
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Celtis australis;1209;;;;;;;;;;;
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Quercus ilex;838;;;;;;;;;;;
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Cedrus deodara;605;;;;;;;;;;;
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Platanus orientalis;641;;;;;;;;;;;
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Ulmus pumila;396;;;;;;;;;;;
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Quercus robur;324;;;;;;;;;;;
