Nombre_distrito;Nº_Distrito;NOMBRE_ESPECIE;Nº_Unidades 2022;;;;
Centro;01;Ligustrum japonicum;2592;;;;
Centro;01;Styphnolobium japonicum;1579;;;;
Centro;01;Platanus x hispanica;1412;;;;
Centro;01;Aesculus hippocastanum;503;;;;
Centro;01;Prunus cerasifera  subsp. pissardii;419;;;;
Centro;01;Pyrus calleryana 'Chanticleer';400;;;;
Centro;01;Ulmus pumila;332;;;;
Centro;01;Cercis siliquastrum;316;;;;
Centro;01;Ligustrum japonicum 'Variegatum';300;;;;
Centro;01;Otros;3958;;;;
;;Total;11811;;;;
Arganzuela;02;Platanus x hispanica;3449;;;;
Arganzuela;02;Styphnolobium japonicum;2373;;;;
Arganzuela;02;Celtis australis;1668;;;;
Arganzuela;02;Ligustrum japonicum;1269;;;;
Arganzuela;02;Pinus pinea;1253;;;;
Arganzuela;02;Ulmus pumila;1236;;;;
Arganzuela;02;Robinia pseudoacacia;1224;;;;
Arganzuela;02;Acer negundo;1174;;;;
Arganzuela;02;Melia azedarach;1096;;;;
Arganzuela;02;Prunus cerasifera  subsp. pissardii;674;;;;
Arganzuela;02;Gleditsia triacanthos;670;;;;
Arganzuela;02;Otros;7597;;;;
;;Total;23683;;;;
Retiro;03;Platanus x hispanica;2616;;;;
Retiro;03;Styphnolobium japonicum;2347;;;;
Retiro;03;Ulmus pumila;1884;;;;
Retiro;03;Ligustrum japonicum;934;;;;
Retiro;03;Pinus pinea;779;;;;
Retiro;03;Robinia pseudoacacia;549;;;;
Retiro;03;Celtis australis;502;;;;
Retiro;03;Cupressus x leylandii;418;;;;
Retiro;03;Cupressus sempervirens;416;;;;
Retiro;03;Liquidambar styraciflua;368;;;;
Retiro;03;Cupressus arizonica;333;;;;
Retiro;03;Aesculus hippocastanum;296;;;;
Retiro;03;Prunus cerasifera  subsp. pissardii;287;;;;
Retiro;03;Otros;2944;;;;
;;Total;14673;;;;
Salamanca;04;Styphnolobium japonicum;5843;;;;
Salamanca;04;Platanus x hispanica;2438;;;;
Salamanca;04;Ligustrum japonicum;1808;;;;
Salamanca;04;Ulmus pumila;855;;;;
Salamanca;04;Pinus pinea;728;;;;
Salamanca;04;Aesculus hippocastanum;666;;;;
Salamanca;04;Robinia pseudoacacia;538;;;;
Salamanca;04;Prunus cerasifera  subsp. pissardii;491;;;;
Salamanca;04;Acer negundo;387;;;;
Salamanca;04;Melia azedarach;362;;;;
Salamanca;04;Otros;5714;;;;
;;Total;19830;;;;
CHAMARTÍN;05;Platanus x hispanica;6070;;;;
CHAMARTÍN;05;Styphnolobium japonicum;3709;;;;
CHAMARTÍN;05;Ulmus pumila;2535;;;;
CHAMARTÍN;05;Pinus pinea;1254;;;;
