File,Nombre_Distrito,Nº_Distrito,Nombre_Especie,Nº_Unidades 2022,ID_Parque_Canino,Nº_Barrio,Nombre_Barrio,Dirección
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CENTRO,01,Ligustrum japonicum,2592,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CENTRO,01,Styphnolobium japonicum,1579,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CENTRO,01,Platanus x hispanica,1412,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CENTRO,01,Aesculus hippocastanum,503,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CENTRO,01,Prunus cerasifera subsp. pissardii,419,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CENTRO,01,Pyrus calleryana 'Chanticleer',400,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CENTRO,01,Ulmus pumila,332,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CENTRO,01,Cercis siliquastrum,316,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CENTRO,01,Ligustrum japonicum 'Variegatum',300,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CENTRO,01,Otros,3958,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,Total,11811,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,ARGANZUELA,02,Platanus x hispanica,3449,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,ARGANZUELA,02,Styphnolobium japonicum,2373,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,ARGANZUELA,02,Celtis australis,1668,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,ARGANZUELA,02,Ligustrum japonicum,1269,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,ARGANZUELA,02,Pinus pinea,1253,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,ARGANZUELA,02,Ulmus pumila,1236,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,ARGANZUELA,02,Robinia pseudoacacia,1224,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,ARGANZUELA,02,Acer negundo,1174,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,ARGANZUELA,02,Melia azedarach,1096,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,ARGANZUELA,02,Prunus cerasifera subsp. pissardii,674,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,ARGANZUELA,02,Gleditsia triacanthos,670,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,ARGANZUELA,02,Otros,7597,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,Total,23683,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,RETIRO,03,Platanus x hispanica,2616,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,RETIRO,03,Styphnolobium japonicum,2347,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,RETIRO,03,Ulmus pumila,1884,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,RETIRO,03,Ligustrum japonicum,934,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,RETIRO,03,Pinus pinea,779,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,RETIRO,03,Robinia pseudoacacia,549,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,RETIRO,03,Celtis australis,502,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,RETIRO,03,Cupressus x leylandii,418,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,RETIRO,03,Cupressus sempervirens,416,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,RETIRO,03,Liquidambar styraciflua,368,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,RETIRO,03,Cupressus arizonica,333,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,RETIRO,03,Aesculus hippocastanum,296,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,RETIRO,03,Prunus cerasifera subsp. pissardii,287,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,RETIRO,03,Otros,2944,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,Total,14673,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,SALAMANCA,04,Styphnolobium japonicum,5843,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,SALAMANCA,04,Platanus x hispanica,2438,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,SALAMANCA,04,Ligustrum japonicum,1808,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,SALAMANCA,04,Ulmus pumila,855,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,SALAMANCA,04,Pinus pinea,728,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,SALAMANCA,04,Aesculus hippocastanum,666,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,SALAMANCA,04,Robinia pseudoacacia,538,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,SALAMANCA,04,Prunus cerasifera subsp. pissardii,491,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,SALAMANCA,04,Acer negundo,387,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,SALAMANCA,04,Melia azedarach,362,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,SALAMANCA,04,Otros,5714,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,Total,19830,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMARTÍN,05,Platanus x hispanica,6070,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMARTÍN,05,Styphnolobium japonicum,3709,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMARTÍN,05,Ulmus pumila,2535,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMARTÍN,05,Pinus pinea,1254,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMARTÍN,05,Celtis australis,1197,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMARTÍN,05,Robinia pseudoacacia,1115,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMARTÍN,05,Ligustrum japonicum,927,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMARTÍN,05,Prunus cerasifera subsp. pissardii,909,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMARTÍN,05,Melia azedarach,760,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMARTÍN,05,Aesculus hippocastanum,645,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMARTÍN,05,Populus alba 'Bolleana',563,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMARTÍN,05,Otros,6068,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,Total,25752,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,TETUÁN,06,Platanus x hispanica,4619,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,TETUÁN,06,Ligustrum japonicum,901,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,TETUÁN,06,Ulmus pumila,791,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,TETUÁN,06,Prunus cerasifera subsp. pissardii,680,,,,
