File,Nombre_Distrito,Wikidata_Distrito,N_Distrito,Nombre_Especie,Wikidata_Especies,N_Unidades 2022,ID_Parque_Canino,N_Barrio,Nombre_Barrio,Wikidata_Barrio,Direccion,Wikidata_Direccion
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Centro,https://wikidata.org/entity/Q1763376,01,Ligustrum japonicum,https://wikidata.org/entity/Q1209219,2592,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Centro,https://wikidata.org/entity/Q1763376,01,Styphnolobium japonicum,https://wikidata.org/entity/Q288558,1579,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Centro,https://wikidata.org/entity/Q1763376,01,Platanus × hispanica,https://wikidata.org/entity/Q161374,1412,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Centro,https://wikidata.org/entity/Q1763376,01,Aesculus hippocastanum,https://wikidata.org/entity/Q26899,503,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Centro,https://wikidata.org/entity/Q1763376,01,Prunus cerasifera  subsp. pissardii,,419,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Centro,https://wikidata.org/entity/Q1763376,01,Pyrus calleryana 'Chanticleer',,400,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Centro,https://wikidata.org/entity/Q1763376,01,Ulmus pumila,,332,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Centro,https://wikidata.org/entity/Q1763376,01,Cercis siliquastrum,https://wikidata.org/entity/Q29488,316,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Centro,https://wikidata.org/entity/Q1763376,01,Ligustrum japonicum 'Variegatum',,300,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Centro,https://wikidata.org/entity/Q1763376,01,Otros,,3958,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,,Total,,11811,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Arganzuela,https://wikidata.org/entity/Q2000929,02,Platanus × hispanica,https://wikidata.org/entity/Q161374,3449,,,,,,
