name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Arthouse Crouch End,,159A Tottenham Lane,N8 9BT,Haringey,,100023208418,E09000014,Crouch End,E05013588,51.581831,-0.11999002,530356.2303999998,188670.6629000008
Barbican Centre,,Silk Street,EC2Y 8DS,City of London,,200000072615,E09000001,Cripplegate,E05009302,51.519959,-0.09412869,532327.2068999996,181836.76060000062
BFI IMAX ,1 Charlie Chaplin Walk,Lambeth ,SE1 8XR,Lambeth,,200000488784,E09000022,Waterloo & South Bank,E05014118,51.504816,-0.11365137,531016.2463999996,180117.75809999928
BFI Southbank,,Belvedere Road,SE1 8XT,Lambeth,,200000480097,E09000022,Waterloo & South Bank,E05014118,51.50694,-0.11597015,530849.2448000005,180349.8038999997
Cineworld Illford,,Clements Rd,IG1 1BP,Redbridge,,10034911858,E09000026,Ilford Town,E05011246,51.55762,0.0743,543893.1485000001,186342.56240000017
Cineworld South Ruislip ,,The Old Dairy,HA4 0EU,Hillingdon,,10092984334,E09000017,South Ruislip,E05013579,51.55907,-0.40009244,511005.5724999998,185677.8219000008
Cineworld Wood Green,The Mall Wood Green,High Rd,N22 6LU,Haringey,,10003977027,E09000014,Noel Park,E05013595,51.59436,-0.10807,531146.0422,190085.26239999942
Cineworld Leicester Square ,5-6 Leicester Square,,WC2H 7NA,Westminster,,10091946844,E09000033,St James's,E05013806,51.51081,-0.13046,529832.7259,180754.36999999918
Clapham Picturehouse,,76 Venn Street,SW4 0AT,Lambeth,,100023362688,E09000022,Clapham Town,E05014102,51.46254,-0.13825614,529428.2390999999,175372.88719999976
Close-Up Film Centre,,97 Sclater Street,E1 6HR,Tower Hamlets,,6002778,E09000030,Weavers,E05009335,51.523609,-0.07207926,533846.1706999997,182282.75129999965
Covent Garden Hotel,,10 Monmouth Street,WC2H 9HB,Camden,,5046977,E09000007,Holborn & Covent Garden,E05013662,51.514546,-0.12708544,530056.2452999996,181175.80340000056
Crouch End Picturehouse,,165 Tottenham Lane,N8 9BY,Haringey,,100023207152,E09000014,Crouch End,E05013588,51.581401,-0.1206717,530310.2302000001,188621.62989999913
Curzon Aldgate ,,2 Canter Way,E1 8PS,Tower Hamlets,,6701865,E09000030,Whitechapel,E05009336,51.513817,-0.06883201,534100.1793,181199.8147
Curzon Bloomsbury,,The Brunswick Centre,WC1N 1AW,Camden,,5066588,E09000007,Bloomsbury,E05013653,51.52415,-0.12317399,530300.2309999997,182250.72780000046
Curzon Chelsea,,206 King's Road,SW3 5XP,Kensington and Chelsea,,217047105,E09000020,Stanley,E05009405,51.48813,-0.16738,527334.0524000004,178167.53050000034
Curzon Goldsmiths,Goldsmiths University of London,Richard Hoggart Building,SE14 6NW,Lewisham,,100023238053,E09000023,Brockley,E05013716,51.474144,-0.03540115,536538.2103000004,176849.95800000057
Curzon Mayfair,,38 Curzon Street,W1J 7TY,Westminster,,100023476131,E09000033,West End,E05013808,51.506562,-0.14813432,528618.2810000004,180250.80920000002
Curzon Mondrian London,,20 Upper Ground,SE1 9PD,Southwark,,10091666184,E09000028,Borough & Bankside,E05011095,51.508441,-0.10697369,531469.2323000003,180532.82279999927
Curzon Richmond,,Water Lane,TW9 1TJ,Richmond upon Thames,,100023409354,E09000027,South Richmond,E05013786,51.459287,-0.30685176,517725.43790000025,174727.0373999998
Curzon Soho,,99 Shaftesbury Avenue,W1D 5DY,Westminster,,10091855706,E09000033,West End,E05013808,51.5127,-0.13058,529819.0278000003,180964.32740000077
Curzon Victoria,,58 Victoria Street,SW1E 6QW,Westminster,,10033621426,E09000033,St James's,E05013806,51.497714,-0.13683759,529427.2821000004,179286.7968000006
