name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Matter ,Studio 1Unit 13,Elizabeth Industrial Estate,Juno Way,Lewisham,http://mttr.uk/,10093394512,E09000023,New Cross Gate,E05013728,51.48219844,-0.042894815,535993.8640999999,177731.65729999915
White Light Ltd,20 Merton Industrial Park,Jubilee Way,,Merton,https://www.whitelight.ltd.uk,48101205,E09000024,Abbey,E05013810,51.41079639,-0.186377363,526228.0378,169535.13910000026
Aldworth James & Bond,"Unit 305, 34-37, Parkside Business Estate",Rolt St,,Lewisham,https://aldworthjamesandbond.co.uk/contact,100022000186,E09000023,Deptford,E05013719,51.48263867,-0.035875438,536479.9172,177793.66999999993
Andrew Lim Clarkson,1 Dye House Lane,,,Newham,http://andrewlimclarkson.com/,6713918,E09000025,Stratford Olympic Park,E05013925,51.53428947,-0.018770269,537511.9671,183569.21550000086
Block 9 ,The Silver Building,60 Dock Road,,Newham,https://www.block9.com,10008985422,E09000025,Royal Victoria,E05013923,51.5042494,0.01873578,540205.3361999998,180299.92980000004
Diagon ,Chaucer House,12 Viking Way,Erith,Bexley,http://www.diagonltd.com,10094789586,E09000004,Belvedere,E05011218,51.49259016,0.16022355,550062.4883000003,179283.7935000006
Exib,Unit 1,Fourth Way,,Brent,http://www.exib.co.uk,202096971,E09000005,Wembley Park,E05013516,51.55916233,-0.270459745,519991.06790000014,185892.51300000027
Flints Theatrical Chandlers,Unit 9 Deptford Trading Estate,Blackhorse Road,,Lewisham,https://www.flints.co.uk/,100023282024,E09000023,Evelyn,E05013721,51.48388144,-0.038659768,536282.8937999997,177926.6785000004
Flux Metal,25 Hatcham Road,,,Southwark,http://fluxmetal.co.uk/,10013524422,E09000028,Old Kent Road,E05011109,51.48186015,-0.053366686,535267.7828000002,177674.64460000023
Francesca Zagari,32C  Aynhoe Road,,,Hammersmith and Fulham,http://www.coroflot.com/francescazagari,34026245,E09000013,Brook Green,E05013735,51.49578456,-0.215746179,523955.5278000003,178935.79820000008
