name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Troubadour Wembley Park Theatre,3 Fulton Road,Wembley Park,Wembley,Brent,https://www.troubadourtheatres.com/wembley-park,202228835,E09000005,Wembley Park,E05013516,51.56085054,-0.281788454,519201.39969999995,186061.74090000056
"Assembly Rooms, Surbiton",138 Maple Road, Surbiton,,Kingston upon Thames,NA,128012933,E09000021,St Mark's & Seething Wells,E05013943,51.39623937,-0.308425963,517777.9526000004,167713.3855000008
George Wood Theatre ,Goldsmith's College, University of London,,Lewisham,NA,100023238053,E09000023,Deptford,E05013719,51.47568861,-0.037712479,536373.0966999996,177017.40990000032
Greenwich & Lewisham Young People's Theatre,The Tramshed, 51-53 Woolwich New Road,,Greenwich,http://www.glypt.co.uk/,100023246054,E09000011,Woolwich Arsenal,E05014092,51.49001293,0.066393079,543557.3782000002,178809.16740000062
Piccadilly Theatre,16 Denman St, Soho,,Westminster,https://www.piccadillytheatre.org/,100023472891,E09000033,West End,E05013808,51.51156529,-0.136980332,529378.1476999996,180826.82269999944
Bacon's College Theatre,Timber Pond Road, Rotherhithe,,Southwark,NA,200003413985,E09000028,Rotherhithe,E05011112,51.50287556,-0.043862524,535865.1903999997,180029.14130000025
Courtyard Theatre,40 Pitfield Street,,,Hackney,NA,10091002509,E09000012,Hoxton West,E05009378,51.52838974,-0.084962889,532938.5301000001,182790.88570000045
Dugdale Arts Centre,39 London Road, Enfield,,Enfield,https://www.dugdalecentre.co.uk/,207007119,E09000010,Grange Park,E05013681,51.65033225,-0.082311783,532766.6771999998,196356.1163999997
Bloomsbury Theatre,15 Gordon St, Bloomsbury,,Camden,https://www.thebloomsbury.com/,5007085,E09000007,Bloomsbury,E05013653,51.52583301,-0.134581862,529504.1073000003,182417.64800000004
Etcetera Theatre,265 Camden High St,,,Camden,http://www.etceteratheatre.com/,5007472,E09000007,Camden Town,E05013655,51.54065446,-0.145554108,528701.2098000003,184046.46910000034
KOKO,1A Camden High St, Kings Cross,,Camden,http://www.koko.uk.com/,5023741,E09000007,Regent's Park,E05013668,51.53549102,-0.140876459,529040.1732000001,183480.51930000074
Phoenix Theatre,110 Charing Cross Road,,,Westminster,NA,5037592,E09000033,West End,E05013808,51.51517556,-0.131318258,529760.7699999996,181238.30409999937
Shaftesbury Theatre,210 Shaftesbury Ave,,,Camden,http://www.shaftesburytheatre.com/,5038488,E09000007,Holborn & Covent Garden,E05013662,51.51678597,-0.127702349,530007.0661000004,181423.79509999976
Conway Hall,25 Red Lion Square,,,Camden,https://conwayhall.org.uk/,5048256,E09000007,Holborn & Covent Garden,E05013662,51.52030279,-0.1199192,530537.0082999999,181828.71040000021
Theatro Technis,26 Crowndale Rd, Kings Cross,,Camden,http://www.theatrotechnis.com/,5061419,E09000007,St Pancras & Somers Town,E05013669,51.53604907,-0.135763985,529393.1501000002,183551.59530000016
Tristan Bates Theatre,1A Tower St, London,,Westminster,https://www.tristanbatestheatre.co.uk/,5077305,E09000033,West End,E05013808,51.51379621,-0.129684093,529878.0743000004,181087.81519999914
Lion and Unicorn Theatre,42-44 Gaisford St, Kentish Town,,Camden,http://www.lionandunicorntheatre.co.uk/,5082943,E09000007,Kentish Town South,E05013664,51.54861882,-0.141422724,528965.1853999998,184939.3853999991
Dominion Theatre,268-269 Tottenham Court Rd, Fitzrovia,,Camden,https://www.nederlander.co.uk/dominion-theatre,5083050,E09000007,Bloomsbury,E05013653,51.51747184,-0.131248013,529759.1196999997,181493.77740000002
Shaw Theatre,100-110 Euston Rd, Kings Cross,,Camden,https://www.shaw-theatre.com/,5083194,E09000007,St Pancras & Somers Town,E05013669,51.5291548,-0.129717428,529832.0893000001,182795.64599999972
Embassy Theatre,The Royal Central School of Speech and Drama, 62-64 Eton Ave,,Camden,https://www.cssd.ac.uk/content/facilities,5084778,E09000007,Belsize,E05013652,51.5448335,-0.175782191,526593.4801000003,184458.49560000002
Cambridge Theatre,31 Earlham Street,,,Camden,http://www.reallyusefultheatres.co.uk/our-theatres/cambridge,5089373,E09000007,Holborn & Covent Garden,E05013662,51.51402122,-0.127988264,529995.0980000002,181115.84469999932
Haverstock School Theatre ,Haverstock School, 24 Haverstock Hill,,Camden,NA,5090679,E09000007,Haverstock,E05013660,51.54480979,-0.155023519,528032.9049000004,184491.94940000027
St Martin's Theatre,West St,,,Westminster,https://www.the-mousetrap.co.uk/,5090739,E09000033,West End,E05013808,51.51335016,-0.129215629,529911.8470000001,181039.04470000044
Roundhouse,Chalk Farm Rd, Camden Town,,Camden,http://www.roundhouse.org.uk/,5109516,E09000007,Camden Town,E05013655,51.54354905,-0.15289144,528184.2796,184355.48289999925
Ambassadors Theatre,West St,,,Westminster,https://www.theambassadorstheatre.co.uk/Online/,5110511,E09000033,West End,E05013808,51.51350874,-0.129569398,529886.8498,181056.0515999999
Bridge House Theatre,2 High St,,,Bromley,https://www.bhtheatre.com/,100020437216,E09000006,Crystal Palace & Anerley,E05013995,51.41858406,-0.062230219,534838.4951999998,170622.07579999976
Lauderdale House,Waterlow Park, Highgate Hill,,Camden,http://lauderdalehouse.org.uk/,5132343,E09000007,Highgate,E05013661,51.57016551,-0.14491124,528662.5437000003,187329.30890000053
Hampstead Theatre,Eton Avenue, Swiss Cottage,,Camden,https://www.hampsteadtheatre.com/,5134828,E09000007,Belsize,E05013652,51.54456256,-0.173976362,526719.4446,184431.49000000022
Donmar Warehouse,41 Earlham St,,,Camden,https://www.donmarwarehouse.com/,5147687,E09000007,Holborn & Covent Garden,E05013662,51.51456818,-0.127317341,530040.0921,181177.85810000077
New Diorama Theatre,15-16 Triton St,Regent's Place,,Camden,http://www.newdiorama.com/,5155688,E09000007,Regent's Park,E05013668,51.52541488,-0.143924929,528857.1935,182354.67300000042
Gillian Lynne Theatre,166 Drury Ln,,,Camden,http://www.reallyusefultheatres.co.uk/our-theatres/new-london,5157611,E09000007,Holborn & Covent Garden,E05013662,51.51594211,-0.12437866,530240.0696,181335.86130000092
Camden People's Theatre,58-60 Hampstead Rd, Kings Cross,,Camden,https://www.cptheatre.co.uk/,5158137,E09000007,Regent's Park,E05013668,51.52689881,-0.139972353,529127.1744999997,182526.64919999987
Pentameters Theatre,The Horseshoe, 28 Heath St,,Camden,http://www.pentameters.co.uk/,5162760,E09000007,Frognal,E05013657,51.5562823,-0.180041195,526266.4913999997,185724.28219999932
Upstairs at The Gatehouse,1 North Road,,,Haringey,http://www.upstairsatthegatehouse.com/,5166442,E09000014,Highgate,E05013592,51.57246809,-0.151935655,528169.2899000002,187573.04619999975
Platform Theatre,Central Saint Martin's, 1 Handyside St, Kings Cross,Camden,NA,5167112,E09000007,King's Cross,E05013666,51.53743115,-0.125196079,530122.1025999999,183724.00789999962
