tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;Municipio URIs;direccion_via_codigo;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;horario_acceso;codigo_dea
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Ríos Rosas 23 Baja ;28003;INSTITUTO GEOLÓGICO Y MINERO DE ESPAÑA JUNTO AL SERVICIO MÉDICO;440663;4477077;24 HORAS;2017-38
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Paseo De La Castellana 182  ;28046;MAKIBER ;441610;4479170;DE 08:00 A 20:00 HORAS;2017-39
Centro de trabajo con más de 250 trabajadores;Privada;014;Arganda del Rey;https://www.wikidata.org/wiki/Q497692;Calle Latón 3 1ª ;28500;TETRAPACK ENVASES SA ÁREA DE OFICINA DE JEFES DE TURNO;460489;4461360;;2017-41
Centro educativo;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Monasterio De Las Huelgas 15  ;28049;FUNDACIÓN A LA PAR EN EL HALL DE ENTRADA DEL EDIFICIO PRINCIPAL JUNTO CONSERJE;439919;4483766;HORARIO LECTIVO;2017-48
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;https://www.wikidata.org/wiki/Q1641013;Calle De Isabel Ii 26  ;28660;JUZGADO DE PAZ EN EL HALL DE ENTRADA;425269;4473564;DE 8:00 A 16:00 DE LUNES A VIERNES;2017-55
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;https://www.wikidata.org/wiki/Q1641013;Calle De Juan Carlos I 42  ;28660;SEDE ADMINISTRATIVA DEL AYUNTAMIENTO EN EL HALL DE ENTRADA;425413;4473275;24 HORAS  365 DIAS;2017-56
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;https://www.wikidata.org/wiki/Q1641013;Calle Del Convento 10  ;28660;BIBLIOTECA MUNICIPAL LA MILLONARIA EN EL HALL DE ENTRADA;425577;4473257;DE LUNES A VIERNES DE 9:00 A 22:00;2017-57
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;https://www.wikidata.org/wiki/Q1641013;Avda Sede Institucional Del Ayuntamiento. Hall De Entrada S/n  ;28660;AVENIDA DE ADOLFO SUAREZ S/N;425598;4473109;DE LUNES A VIERNES DE 2:00 A 20:00;2017-58
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Alto Del Retiro 33  ;28051;IKEA ENSANCHE DE VALLECAS ;449406;4469024;;2017-98
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Consuegra 7 2 A;28036;ONTEX ID SAU ;442642;4480695;HORARIO COMERCIAL;2017-100
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Juan Ramón Jiménez 15  ;28036;PREMAAT UPS ;441742;4478847;"DE 8;00 A 18:00";2017-101
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Goya 22 3 ;28001;SIERRA SPAIN SHOPPING CENTER SERVICES SAU ;442037;4475154;L A J: 9:00 A 19:00. V: 9:00 A16:00;2017-108
Otros;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Plaza De Francisco Sandoval Caballero 1  ;28600;AYUNTAMIENTO DE NAVALCARNERO EN EL HALL DE ENTRADA;413706;4460531;9:00 A 14:00 HORAS;2017-119
Otros;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Plaza Del Teatro S/n  ;28600;POLICÍA LOCAL ;413855;4460388;;2017-121
Centro educativo;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Calle De Las Víctimas Del Terrorismo   ;28600;CEIP MARÍA MARTÍN EN EL HALL DE ENTRADA PABELLÓN 2º GRADO;415331;4460874;HORARIO LECTIVO;2017-123
Otros;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Calle Del Río Ebro S/n  ;28600;PABELLÓN CUBIERTO LA ESTACIÓN HALL DE RECEPCIÓN;414399;4460907;SEGÚN ACTIVIDADES;2017-129
Otros;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Calle Juan Antonio Zenón S/n  ;28600;POLIDEPORTIVO MUNICIPAL EL PIJORRO ;413304;4460258;9:00 A 23:00;2017-130
Centro educativo;Pública;049;Coslada;https://www.wikidata.org/wiki/Q164197;Calle De La Virgen Del Mar S/n Baja ;28821;ENTRADA POR AVENIDA DEL PLANTÍO. EN ANTESALA DE ASEOS PROFESORES I.E.S. LUIS GARCÍA BERLANGA (Coslada);452271;4475706;LUNES A JUEVES 8:30 A 18:00. VIERNES 8:30 A 14:30;2017-135
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Plaza Del Celenque 2  ;28013;FUNDACIÓN OBRA SOCIAL Y MONTE de PIEDAD DE MADRID HALL ENTRADA PRINCIPAL. ZONA CONTROL ACCESOS;440103;4474347;;2017-143
Otros;Privada;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Avda De Meco S/n  ;28805;PABELLÓN POLIDEPORTIVO FUNDACIÓN MONTEMADRID DENTROPISTA POLILDEPORTIVA JUNTOA A INSTALACIÓN MEGAFONÍA;469844;4482845;;2017-144
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Torrelaguna 79 B Comed;28043;COFELY ESPAÑA ENGIE;444296;4477663;7:30 A 19:00;2017-154
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Nicolás Cabrera 1  ;28049;CENTRO DE BIOLOGÍA MOLECULAR SEVERO OCHOA CAMPUS UAM CANTOBLANCO . CAMPUS UAM ENTRADA PRINCIPAL CBM;441455;4488971;8:00 A 18:00 HORAS;2017-160
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Paseo De Las Doce Estrellas 4 4 ;28042;LIBERTY SEGUROS. EDIFICIO TIERRA MODULO B PLANTA 4 EN HALL DE SALIDA A ESCALERA EMERGENCIAS;447846;4479172;9 A 18;2017-161
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Alfonso Xii 62 5 ;28014;AECOM INOCSA SLU. ACCESO POR PUERTA DE RECEPCIÓN JUNTO A LA ENTRADA DE LOS CUARTOS DE BAÑO;441546;4473318;L A V DE 8:00 A 18:00 APROX.;2017-172
Centro educativo;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Maqueda 8  ;28024;ESCUELA POLITÉCNICA GINER CENTRO ESPAÑOL DE TECNOLOGÍA APLICACA;435023;4471800;;2017-173
Centro educativo;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Puerta De Hierro 1  ;28040;FACULTAD DE VETERINARIA UNIVERSIDAD COMPLUTENSE DE MADRID;437616;4477626;;2017-175
Centro educativo;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Puerta De Hierro 1  ;28040;FACULTAD DE VETERINARIA UNIVERSIDAD COMPLUTENSE DE MADRID;437616;4477626;;2017-176
Centro educativo;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Puerta De Hierro 1  ;28040;FACULTAD DE VETERINARIA UNIVERSIDAD COMPLUTENSE DE MADRID;437616;4477626;;2017-177
Centro educativo;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Puerta De Hierro 1  ;28040;FACULTAD DE VETERINARIA UNIVERSIDAD COMPLUTENSE DE MADRID;437616;4477626;;2017-178
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;181;Villaviciosa de Odón;https://www.wikidata.org/wiki/Q1631897;Avda Manuel Gutiérrez Mellado S/n  ;28670;COMPLEJO ACUÁTICO DEPORTIVO MUNICIPAL HISPAOCIO VILLAVICIOSA SL;423703;4467521;;2017-181
Otros;Privada;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Calle Lucio Emilio Cándido 4  G;;PLATAFORMA LOGÍSTICA LIDL SUPERMERCADOS ALCALÁ DE HENARES OFICINA;465444;4479902;L A V DE 8:00 A 19:00. S DE 9:00 A 14:00;2017-183
Otros;Privada;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Calle Lucio Emilio Cándido 4 0 G;;PLATAFORMA LOGÍSTICA LIDL SUPERMERCADOS ALCALÁ DE HENARES. ALMACÉN;465506;4479960;L A S: 24 HORAS. D: 22:00 A 6:00;2017-184
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;113;Pinto;https://www.wikidata.org/wiki/Q909718;Calle Sur S/n  ;28320;ESTADIO RAMÓN MENDOZA HALL PRINCIPAL JUNTO A PUERTA LATERAL DE CONSERJERÍA;440475;4454152;DE 9:00 A 23:00;2017-3
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;113;Pinto;https://www.wikidata.org/wiki/Q909718;Calle Sevilla S/n  ;28320;POLIDEPORTIVO PATRICIA CHAMORRO JUNTO A CONSERJERÍA;441232;4454909;08:00 A 22:00;2017-6
