farmacia_nro_soe;titular_nombre;direccion_vial_tipo;direccion_vial_nombre;direccion_vial_nro;municipio_nombre;localizacion_coordenada_x;localizacion_coordenada_y
2;Amaya Corral Palomino;PLAZA;del Dos de Mayo;6;Madrid;440267;4475426
3;Montserrat Gimenez Mestre;CALLE;de Ríos Rosas;50;Madrid;440954;4477004
4;Justo Aquilino Corral Aragon;CALLE;de Argensola;12;Madrid;441063;4475193
5;Irene Arroita Del Campo;CALLE;de Alcalá;98;Madrid;442754;4475148
6;Esther Sansi Ponsico;PLAZA;de Salesas;7;Madrid;441090;4475021
7;Pilar Velez De Mendoza;CALLE;de Leopoldo Alas Clarín;8;Madrid;437825;4481330
8;Manuel Baños Lopez;CALLE;Cáceres;5;San Fernando de Henares;454673;4475306
9;Sandra Patricia Baeza Orallo;GTA;de López de Hoyos;3;Madrid;442277;4476922
10;Isabel Miranda Martín;CALLE;del Valle de Mena;4;Madrid;439379;4480188
11;Rosa Maria Perello Gonzalez-Moreno;CALLE;del Príncipe de Vergara;210;Madrid;442561;4478050
12;Maria Cruz Lamela Martinez;CALLE;del General Pardiñas;61;Madrid;442473;4475915
14;Rosario Jaroso Almodovar;CALLE;Velázquez;2;Loeches;465215;4470371
15;Mercedes Valdes Galera;CALLE;de Gutenberg;20;Madrid;442273;4473116
16;Jose Carlos Montilla Illera;CALLE;de Preciados;19;Madrid;440152;4474506
17;Alejandro Jimenez Gamella;CALLE;del Alcalde Henche de la Plata;7;Madrid;444924;4482163
18;Mercedes Allue Linares;CALLE;de Ponzano;31;Madrid;440683;4476762
19;Marta Llorente Garcia;AVDA;General;1;Madrid;451019;4480449
20;Paloma Gonzalez Perez;PASEO;de Santa María de la Cabeza;80;Madrid;440463;4472251
21;Leyre  De La Iglesia Santamaria;CALLE;de Rodríguez San Pedro;23;Madrid;439688;4475906
22;Ana Maria Quintas Rodriguez;CALLE;de Feijoo;12;Madrid;440361;4476244
23;Maria Pilar Fernandez Lopez-Ayllon;CALLE;de Diego de León;34;Madrid;442211;4476226
25;María Del Mar Acuyo Iriarte;CALLE;Madrid;48;Getafe;438001;4462161
26;Luis Ceña Guisado;CALLE;de Juan Zofío;4;Madrid;439237;4470321
27;Juan Antonio Ciller Cortes;CALLE;de la Ilustración;8;Madrid;439175;4474765
28;Jose Ramon Barro Arranz;CALLE;del General Ricardos;118;Madrid;438361;4471542
29;Margarita De Vicente Galan;CALLE;de Eugenia de Montijo;43;Madrid;436897;4470374
30;Beatriz Piñero Panadero;CALLE;de Hortaleza;44;Madrid;440650;4474853
31;Eduardo San Nicolas Lopez;CALLE;de Ramón Esteban;27;San Sebastián de los Reyes;446730;4488417
33;Irene Mercedes Fernandez Gonzalo;AVDA;de Peña Prieta;16;Madrid;443339;4472281
34;Maria Isabel Fernandez Cabrera;PLAZA;Mayor;7;Cercedilla;410894;4510574
35;Marta Covadonga Nestares Lopez;CALLE;de Goya;55;Madrid;442205;4475180
37;Fernando Ausin Puertas;AVDA;de la Ciudad de Barcelona;105;Madrid;443053;4472310
38;Paloma Bañon Blasco;CALLE;de Toledo;129;Madrid;439617;4473052
39;Miguel Angel Alegre Sanz;AVDA;de Peña Prieta;39;Madrid;443529;4472523
40;Olga Mª Toro Ferrandez;CALLE;de Alonso Cano;69;Madrid;440833;4476994
41;Maria Del Carmen Comendador Sanchez-Serrano;PASEO;del General Martínez Campos;22;Madrid;441055;4476262
42;Ana Maria De Diego Lopez;CALLE;de San Bernardo;115;Madrid;440212;4476019
43;Javier Casado De La Sen;PASEO;de María Lejárraga;6;Getafe;436013;4461317
44;Belen Gutierrez Abbad;CALLE;de Alonso Heredia;22;Madrid;442970;4476345
45;Alba Maria Calvo Fernandez;CALLE;del General Ricardos;183;Madrid;437061;4470536
46;Juan Jose Pernia Valdes;PLAZA;del Ángel;14;Madrid;440395;4473982
47;Margarita Fernandez De Clerck;CALLE;de Moreto;15;Madrid;441441;4473851
48;Marta Rosa Munar Gelabert;CALLE;de Goya;19;Madrid;441737;4475214
49;Belen Blanco Tejedor;PASEO;de la Ermita del Santo;42;Madrid;438580;4473426
50;Belen Fernandez-Montes Moraleda;AVDA;de Portugal;155;Madrid;437403;4473659
51;Ana Maria Cubillas Triana;CALLE;de María Tubau;19;Madrid;442516;4484728
52;Carlos Jose Martinez Honduvilla;CALLE;del Mesón de Paredes;8;Madrid;440169;4473667
53;Maria Teresa Villegas Perez;CALLE;de García de Paredes;80;Madrid;441182;4476439
54;Juan José Gómez-Virseda Martínez;PLAZA;de Cascorro;2;Madrid;440004;4473639
55;Jose Maria  Rivera De Soto;CALLE;de Ferraz;13;Madrid;439105;4475348
56;Rosa Maria Serradilla Lancho;PLAZA;de Verín;3;Madrid;439917;4481035
57;Mª Soledad Martinez-Avial Dolz De Espejo;CALLE;de Serrano;112;Madrid;441796;4476326
58;Mercedes Bru Gorraiz;CALLE;de Sánchez Barcaiztegui;19;Madrid;442732;4472805
59;Monica Sevilleja Mendez;CALLE;de José Antonio de Armona;22;Madrid;440865;4472892
60;Mª Cristina Perez Sobejano;CALLE;de Quintana;20;Madrid;439103;4475489
61;Mª Blanca Caballero Salgado;CALLE;de Atocha;109;Madrid;441029;4473554
62;Victor Plaza Piñol;CALLE;de la Marquesa Viuda Aldama;12;Alcobendas;446505;4488215
64;Maria Grau De Oña;PASEO;de la Florida;47;Madrid;438580;4474998
65;Enrique Rodriguez Garcia;CALLE;Alfonso Senra;20;Guadarrama;407887;4503023
66;Rosario Piñol Santaeularia;CALLE;de la Magdalena;33;Madrid;440631;4473767
67;Maria Dolores Lopez Jimenez;CALLE;de Cartagena;121;Madrid;442734;4476991
68;Carlota Maria Pastor Sopelana;CALLE;de Carlos Morla Lynch;2;Madrid;434186;4485594
70;Tomas Andres Bueno Ibañez;PASEO;de Juan Antonio Vallejo-Nájera Botas;25;Madrid;439910;4472595
71;Mª Teresa Guerra Herrero;AVDA;de la Albufera;432;Madrid;446500;4470379
72;Mª Victoria Granados Jimenez;RONDA;de Atocha;24;Madrid;440753;4473099
73;Aitor Gregorio Purroy Garcia;AVDA;de los Andes;22;Madrid;447348;4478414
74;Agueda Calle Iglesias;AVDA;de Pablo Neruda;124;Madrid;444368;4470323
75;Maria Inmaculada Esteban Merinero;CALLE;del Pez;25;Madrid;440088;4475059
76;Elena Sole Duch;PASEO;de Extremadura;25;Madrid;438231;4473913
77;Jose Mª Mendez Gonzalez;BULEV;de José Prat;5;Madrid;447100;4472400
78;Jesus Echarri Torres;CALLE;de Atocha;114;Madrid;441170;4473433
