latitude,longitude,municipality,street_name,house_number,house_number_addition,postal_code,ChargingStation,operator,operating_mode,num_charging_points,types_charging_points,charging_cards,cost,opening_hours,all_day_open,website
54.088244,12.124536,Kröpeliner-Tor-Vorstadt,Gertrudenplatz,2,,18057,Gertrudenplatz 2,Stadtwerke Rostock AG,public,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,"0,39 €/kWh, Base 0,99 €",24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Gertrudenplatz-Gertrudenplatz-2/19328/
54.059539,12.118082,Südstadt,Lise-Meitner-Ring,1,,18059,team Tankstelle,team energie GmbH & Co. KG,public,5,4 x Combo Typ 2 (CCS) EU 300 kW; 1 x CHAdeMO 100 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge,,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/team-Tankstelle-Lise-Meitner-Ring-1/74320/
54.100504,12.181877,Brinckmansdorf,Alte Dorfstr.,25,,18146,BMW Autohaus Wigger,Total Deutschland GmbH,semipublic,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge,chargeable,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/BMW-Autohaus-Wigger-Alte-Dorfstrasse-25/46610/
54.109952,12.168471,Dierkow-Neu,Lorenzstr.,75,,18146,Shell Tankstelle,Shell EV Charging Solutions Germany GmbH,semipublic,4,Combo Typ 2 360 kW,ADAC e-Charge;EnBW mobility+;LogPay Charge&Fuel Card und App;Plugsurfing;Shell Recharge,,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Shell-Tankstelle-Lorenzstrasse-Lorenzstrasse-75/69089/
54.17606,12.05627,Seebad Warnemünde,Parkstr.,47,,18119,Parkplatz Strand Mitte,Stadtwerke Rostock AG,public,4,Typ 2 22kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Spontanladen,,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Parkplatz-Strand-Mitte-Parkstrasse-47/66527/
54.138796,12.074583,Schmarl,Zur Hansemesse,1,,18106,HanseMesse,Stadtwerke Rostock AG,public,4,"2x Typ 2 11 kW, 2x Schuko 2,3 kW",ohne Authentifizierung;Spontanladen,free of charge,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/HanseMesse-Zur-HanseMesse-1-2/8541/
54.112387,12.136906,Toitenwinkel,Joliot-Curie-Allee,25,,18147,Joliot-Curie-Allee,Stadtwerke Rostock AG,public,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,"0,39 €/kWh, Base 0,99 €",24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Joliot-Curie-Allee-Joliot-Curie-Allee-25/44004/
54.084009,12.126989,Stadtmitte,Am Vögenteich,30,,18055,Am Vögenteich 30,Stadtwerke Rostock AG,public,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,"0,39 €/kWh, Base 0,99 €",24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Am-Voegenteich-Am-Voegenteich-30/40041/
54.08915,12.149386,Stadtmitte,Küterbruch,5,,18055,Parkhaus Altstadt,Parkhaus Gesellschaft Rostock GmbH,semipublic,2,Typ 2 22 kW,beliebige RFID-Ladekarten;Spontanladen,Parking charges,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Parkhaus-Altstadt-Kueterbruch-5/43311/
54.08557,12.134524,Stadtmitte,August-Bebel-Str.,88,,18055,Parkhaus am Gericht,Wohnen in Rostock Wohnungsgesellschaft mbH,semipublic,2,Typ 2 11 kW,ohne Authentifizierung;Spontanladen,Parking charges,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Parkhaus-Am-Gericht-August-Bebel-Strasse-88/4657/
54.1109130056888,12.1645180731329,Toitenwinkel,Hinrichsdorfer Str.,7,d,18146,EUROMASTER,Allego GmbH,public,3,"1x CHAdeMO 50 kW, 1x Combo Typ 2 50 kW, 1x Typ 2 43 kW",EinfachStromLaden;EWE;GET CHARGE;Plugsurfing;Shell Recharge,chargeable,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Euromaster-Hinrichsdorfer-Strasse-7K/28508/
54.12169,12.061053,Evershagen,Henrik-Ibsen-Str.,27,,18106,Parkplatz Henrik-Ibsen-Str.,Stadtwerke Rostock AG,public,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Henrik-Ibsen-Strasse-Henrik-Ibsen-Strasse-20/46673/
54.114382,12.05593,Evershagen,Messestr.,16,,18106,Parkplatz Messestr.,Stadtwerke Rostock AG,public,2,Typ 2 22kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Messestrasse-Messestrasse-16/55554/
54.099596,12.07302,Reutershagen,Conrad-Blenkle-Str.,22,,18069,Reuterpassage,Allego GmbH,semipublic,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge,chargeable,24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Reuterpassage-Goerdelerstrasse-52/38470/
54.082496,12.194204,Brinckmansdorf,Timmermannsstrat,12,,18055,Handelshof,EDEKA Foodservice Handelshof Management GmbH,semipublic,10,Typ 2 11 kW,,,Mo-Fr 07:00-20:00; Sa 07:00-18:00,0,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Handelshof-Timmermannsstrat-12/52245/
54.087277,12.140742,Stadtmitte,Steinstr.,3,,18055,Steinstrasse,Stadtwerke Rostock AG,public,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,"0,39 €/kWh, Base 0,99 €",24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Steinstrasse-Steinstrasse-3/64354/
54.093514,12.118231,Stadtmitte,Warnowufer,58,,18057,Parkplatz Warnowufer,Stadtwerke Rostock AG,public,2,Typ 2 22 kW,ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock,"0,39 €/kWh, Base 0,99 €",24/7,1,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Warnowufer-Warnowufer-58/28894/
